Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Кувандыкская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657					
1	"Число избирателей, внесенных в списки"	41476	1168	152	235	170	727	174	369	453	160	744	175	583	417	173	584	94	124	47	975	228	98	83	563	430	472	113	1008	436	317	255	480	508	438	61	169	95	475	227	166	579	62	59	306	149	96	77	579	212	646	2711	1722	1855	2924	746	2247	1222	1748	626	2261	2424	1878	1675	526					
2	"Число бюллетеней, полученных участковыми комиссиями"	43884	1169	144	241	169	748	170	554	448	159	737	179	586	410	187	572	91	120	45	987	232	101	89	563	428	473	178	1024	439	319	252	448	516	424	63	159	106	435	272	160	562	59	60	307	152	91	75	577	203	651	3000	1800	1900	3000	800	2350	1250	1800	650	2350	2500	1850	2850	650					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20495	654	108	132	117	464	97	345	194	83	390	94	340	243	173	270	62	89	27	640	174	79	65	263	264	161	64	519	226	195	49	225	262	277	32	116	65	276	186	113	279	45	40	197	95	66	54	320	122	379	1010	780	788	1096	411	888	523	705	283	1018	1112	691	1222	238					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1384	20	5	11	5	14	10	24	11	4	29	13	0	0	0	38	0	0	0	37	0	0	18	52	23	17	49	49	73	21	84	20	61	10	7	10	0	61	41	5	26	0	3	7	10	0	0	13	12	8	44	13	15	67	7	28	17	17	24	48	35	110	49	9					
6	Число погашенных бюллетеней	22005	495	31	98	47	270	63	185	243	72	318	72	246	167	14	264	29	31	18	310	58	22	6	248	141	295	65	456	140	103	119	203	193	137	24	33	41	98	45	42	257	14	17	103	47	25	21	244	69	264	1946	1007	1097	1837	382	1434	710	1078	343	1284	1353	1049	1579	403					
7	Число бюллетеней в переносных ящиках для голосования	1384	20	5	11	5	14	10	24	11	4	29	13	0	0	0	38	0	0	0	37	0	0	18	52	23	17	49	49	73	21	84	20	61	10	7	10	0	61	41	5	26	0	3	7	10	0	0	13	12	8	44	13	15	67	7	28	17	17	24	48	35	110	49	9					
8	Число бюллетеней в стационарных ящиках для голосования	20465	654	108	132	117	464	97	345	194	83	390	94	340	243	173	270	62	89	27	640	174	79	65	263	264	161	64	519	226	195	49	225	262	277	32	116	65	276	186	113	279	45	40	197	95	66	54	320	122	379	1010	780	788	1094	411	860	523	705	283	1018	1112	691	1222	238					
9	Число недействительных бюллетеней	406	10	0	9	0	10	0	7	4	5	7	9	8	2	5	8	3	7	0	9	1	0	3	16	6	7	1	11	6	2	0	11	9	10	1	7	4	6	12	1	9	0	2	7	2	2	0	6	4	11	21	8	2	18	11	20	5	9	3	14	15	5	8	7					
10	Число действительных бюллетеней	21443	664	113	134	122	468	107	362	201	82	412	98	332	241	168	300	59	82	27	668	173	79	80	299	281	171	112	557	293	214	133	234	314	277	38	119	61	331	215	117	296	45	41	197	103	64	54	327	130	376	1033	785	801	1143	407	868	535	713	304	1052	1132	796	1263	240					
