Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Нижнеудинская городская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК  998	УИК  999					
1	"Число избирателей, внесенных в списки"	34755	2066	1091	1236	1012	904	2097	1106	952	2225	864	536	1500	2212	2697	707	1235	1508	1315	1592	1608	1128	929	1505	841	579	614	696					
2	"Число бюллетеней, полученных участковыми комиссиями"	33970	1900	1060	1200	1000	890	2060	1100	900	2180	850	530	1480	2180	2650	690	1220	1470	1290	1570	1590	1110	890	1460	800	560	640	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12120	1015	332	349	343	239	846	431	321	883	241	133	498	899	722	208	477	599	375	461	458	329	323	569	294	246	205	324					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	812	23	34	62	19	26	30	11	17	28	29	13	53	36	42	36	18	11	11	16	76	17	45	51	40	35	23	10					
6	Число погашенных бюллетеней	21038	862	694	789	638	625	1184	658	562	1269	580	384	929	1245	1886	446	725	860	904	1093	1056	764	522	840	466	279	412	366					
7	Число бюллетеней в переносных ящиках для голосования	812	23	34	62	19	26	30	11	17	28	29	13	53	36	42	36	18	11	11	16	76	17	45	51	40	35	23	10					
8	Число бюллетеней в стационарных ящиках для голосования	12118	1015	332	349	341	239	846	431	321	883	241	133	498	899	722	208	477	599	375	461	458	329	323	569	294	246	205	324					
9	Число недействительных бюллетеней	172	11	10	6	5	1	16	3	10	11	7	3	2	8	15	5	5	5	3	2	10	2	4	8	4	4	6	6					
10	Число действительных бюллетеней	12758	1027	356	405	355	264	860	439	328	900	263	143	549	927	749	239	490	605	383	475	524	344	364	612	330	277	222	328					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	405	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	68	7	0	1	3	2	10	2	2	9	1	0	4	6	2	2	2	2	2	2	1	0	0	5	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	56	3	0	2	2	1	6	2	0	6	2	0	3	5	8	4	1	0	0	2	2	0	4	0	0	1	2	0					
14	Число погашенных открепительных удостоверений	337	8	15	14	12	13	5	13	13	6	14	15	11	9	13	13	13	13	13	13	14	15	15	10	13	15	15	14					
15	Число открепительных удостоверений выданных ТИК	74	1	2	2	1	1	3	4	1	7	2	3	3	2	10	2	2	5	5	4	5	4	2	0	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	173	17	2	5	8	4	14	7	3	18	2	1	4	6	12	3	1	4	9	6	5	8	7	9	2	7	2	7					
		1.33%	1.63%	0.54%	1.21%	2.22%	1.50%	1.59%	1.58%	0.88%	1.97%	0.74%	0.68%	0.72%	0.64%	1.57%	1.22%	0.20%	0.65%	2.33%	1.25%	0.93%	2.31%	1.90%	1.45%	0.59%	2.49%	0.87%	2.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	223	25	6	4	6	5	11	7	10	30	6	2	7	14	12	5	6	16	11	13	8	5	2	9	2	0	0	1					
