Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Реутовская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485					
1	"Число избирателей, внесенных в списки избирателей"	64676	2010	1625	1622	1571	1813	1514	1597	1685	1385	1471	1592	1487	1685	1739	1331	1610	1472	1583	1967	1863	1833	1993	1526	1580	1560	1693	1640	1545	1429	1466	1483	1661	1486	1628	1365	2070	1518	1494	1543	1541					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	61550	2000	1600	1600	1400	1700	1500	1500	1650	1400	1450	1550	1400	1650	1700	1300	1550	1450	1500	1550	1650	1750	1700	1450	1500	1450	1600	1450	1500	1400	1400	1450	1500	1450	1550	1350	1950	1500	1500	1500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	40695	1205	1036	1038	1082	1171	990	1021	1059	895	956	977	937	1027	1088	861	1008	885	1034	1062	1243	1116	1205	956	976	1016	1120	1041	943	841	924	962	1113	891	1020	840	1287	992	937	952	988					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1206	42	18	12	17	15	12	14	11	19	12	15	12	18	17	20	27	35	27	176	42	25	35	17	31	31	40	40	35	29	25	51	79	24	38	23	17	29	23	30	23					
6	Число погашенных избирательных бюллетеней	19649	753	546	550	301	514	498	465	580	486	482	558	451	605	595	419	515	530	439	312	365	609	460	477	493	403	440	369	522	530	451	437	308	535	492	487	646	479	540	518	489					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1206	42	18	12	17	15	12	14	11	19	12	15	12	18	17	20	27	35	27	176	42	25	35	17	31	31	40	40	35	29	25	51	79	24	38	23	17	29	23	30	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40639	1204	1033	1030	1082	1171	990	1021	1059	893	956	973	937	1026	1087	856	1007	885	1031	1062	1240	1113	1204	955	976	1011	1117	1041	936	841	923	962	1113	891	1020	840	1287	992	937	949	988					
9	Число недействительных избирательных бюллетеней	645	20	15	16	17	23	15	14	15	5	19	8	16	15	15	15	17	21	17	12	25	21	16	16	14	10	12	50	8	7	8	6	14	15	13	14	19	13	14	44	11					
10	Число действительных избирательных бюллетеней	41200	1226	1036	1026	1082	1163	987	1021	1055	907	949	980	933	1029	1089	861	1017	899	1041	1226	1257	1117	1223	956	993	1032	1145	1031	963	863	940	1007	1178	900	1045	849	1285	1008	946	935	1000					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1436	64	37	28	41	40	50	50	50	35	30	30	30	35	32	24	30	30	30	30	40	49	30	26	33	37	40	40	38	30	30	50	32	35	30	28	33	30	34	40	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1336	62	36	27	35	36	42	43	48	35	30	24	19	34	32	18	29	30	30	30	40	49	28	26	33	37	35	40	38	16	23	37	32	35	29	27	33	30	34	40	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2396	9	45	59	151	129	37	52	59	8	23	28	60	40	50	12	61	23	41	74	191	67	151	86	58	101	132	149	73	15	38	41	43	43	60	13	37	35	9	42	51					
14	Число погашенных неиспользованных открепительных удостоверений	100	2	1	1	6	4	8	7	2	0	0	6	11	1	0	6	1	0	0	0	0	0	2	0	0	0	5	0	0	14	7	13	0	0	1	1	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	280	6	9	6	5	7	2	4	1	6	2	8	7	8	8	3	5	6	4	6	6	9	8	10	12	4	6	17	16	6	13	6	15	4	7	9	5	5	4	6	9					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	900	37	39	34	35	9	5	29	39	8	28	29	29	4	14	21	31	30	6	32	7	23	39	5	25	43	30	26	21	3	7	5	27	8	34	24	29	32	5	30	18					
		2.15%	2.97%	3.71%	3.26%	3.18%	0.76%	0.50%	2.80%	3.64%	0.88%	2.89%	2.94%	3.06%	0.38%	1.27%	2.40%	2.99%	3.26%	0.57%	2.58%	0.55%	2.02%	3.15%	0.51%	2.48%	4.13%	2.59%	2.41%	2.16%	0.34%	0.74%	0.49%	2.27%	0.87%	3.21%	2.78%	2.22%	3.13%	0.52%	3.06%	1.78%					
19	2.Всероссийская политическая партия «Гражданская Сила»	692	22	14	19	55	19	5	18	29	7	25	35	34	6	15	8	21	17	6	22	9	40	18	4	25	16	12	15	14	3	6	5	16	4	28	15	36	3	2	17	27					
		1.65%	1.77%	1.33%	1.82%	5.00%	1.60%	0.50%	1.74%	2.71%	0.77%	2.58%	3.54%	3.58%	0.57%	1.36%	0.91%	2.03%	1.85%	0.57%	1.78%	0.70%	3.51%	1.45%	0.41%	2.48%	1.54%	1.04%	1.39%	1.44%	0.34%	0.63%	0.49%	1.34%	0.44%	2.65%	1.74%	2.76%	0.29%	0.21%	1.74%	2.67%					
20	3.Политическая партия «Демократическая партия России»	80	3	3	3	1	1	0	0	1	2	2	0	2	3	2	0	1	1	2	2	3	0	2	4	3	2	3	0	1	0	2	1	1	1	13	0	6	4	1	1	3					
		0.19%	0.24%	0.29%	0.29%	0.09%	0.08%	0.00%	0.00%	0.09%	0.22%	0.21%	0.00%	0.21%	0.29%	0.18%	0.00%	0.10%	0.11%	0.19%	0.16%	0.23%	0.00%	0.16%	0.41%	0.30%	0.19%	0.26%	0.00%	0.10%	0.00%	0.21%	0.10%	0.08%	0.11%	1.23%	0.00%	0.46%	0.39%	0.10%	0.10%	0.30%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6338	180	196	151	167	137	147	159	143	144	160	148	169	181	143	165	169	145	160	193	182	162	167	152	144	190	169	113	114	125	114	191	180	138	126	161	197	165	194	142	155					
		15.15%	14.45%	18.65%	14.49%	15.20%	11.55%	14.67%	15.36%	13.36%	15.79%	16.53%	14.98%	17.81%	17.34%	12.95%	18.84%	16.34%	15.76%	15.12%	15.59%	14.20%	14.24%	13.48%	15.64%	14.30%	18.23%	14.61%	10.45%	11.74%	14.37%	12.03%	18.85%	15.10%	15.08%	11.91%	18.66%	15.11%	16.16%	20.21%	14.50%	15.33%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	775	21	13	30	22	20	19	32	25	10	19	32	21	16	38	5	19	15	21	16	15	40	3	11	24	14	14	18	11	23	21	22	25	6	12	27	31	26	14	11	13					
		1.85%	1.69%	1.24%	2.88%	2.00%	1.69%	1.90%	3.09%	2.34%	1.10%	1.96%	3.24%	2.21%	1.53%	3.44%	0.57%	1.84%	1.63%	1.98%	1.29%	1.17%	3.51%	0.24%	1.13%	2.38%	1.34%	1.21%	1.67%	1.13%	2.64%	2.22%	2.17%	2.10%	0.66%	1.13%	3.13%	2.38%	2.55%	1.46%	1.12%	1.29%					
23	6.Политическая партия «Партия социальной справедливости»	184	3	6	6	4	3	1	4	2	2	11	4	2	8	12	3	5	6	7	5	4	5	4	3	2	3	1	0	3	3	2	2	4	2	17	3	3	16	3	6	4					
