Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Грязовецкая																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №513	УИК №514	УИК №515					
1	"Число избирателей, внесенных в список"	31965	1041	1101	907	1063	1080	1056	1127	1208	936	975	1015	925	968	972	1157	1002	1028	755	276	119	615	101	229	202	505	298	271	550	327	345	428	161	980	598	137	223	436	208	1004	157	82	42	311	120	520	98	471	130	195	223	560	409	766	489	178	198	687					
2	Число полученных избирательных бюллетеней	30260	950	1050	850	1000	1050	1000	1050	1100	900	900	950	850	900	950	1100	950	1000	700	300	120	600	100	200	200	450	280	250	500	300	320	400	150	950	550	130	200	400	200	1000	160	75	45	300	115	500	100	450	135	200	200	500	400	750	450	180	200	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15853	510	509	490	605	574	565	728	574	393	458	540	480	405	461	541	556	434	405	175	79	235	21	90	81	249	116	132	254	116	193	205	64	465	223	51	131	301	77	508	100	54	28	127	60	248	40	275	24	85	101	311	177	342	215	99	120	453					
5	"Число избирательных бюллетеней, выданных вне помещения"	3210	27	35	52	15	22	9	30	93	43	34	21	14	23	51	25	11	28	0	61	23	128	54	52	51	54	126	89	46	51	8	45	62	195	144	48	47	52	43	55	15	12	9	107	27	100	40	45	87	72	83	111	81	205	127	26	31	65					
6	Число погашенных избирательных бюллетеней	11197	413	506	308	380	454	426	292	433	464	408	389	356	472	438	534	383	538	295	64	18	237	25	58	68	147	38	29	200	133	119	150	24	290	183	31	22	47	80	437	45	9	8	66	28	152	20	130	24	43	16	78	142	203	108	55	49	132					
7	Число избирательных бюллетеней в переносных ящиках	3209	27	35	52	15	22	9	30	93	42	34	21	14	23	51	25	11	28	0	61	23	128	54	52	51	54	126	89	46	51	8	45	62	195	144	48	47	52	43	55	15	12	9	107	27	100	40	45	87	72	83	111	81	205	127	26	31	65					
8	Число бюллетеней в стационарных ящиках для голосования	15852	510	509	490	605	574	565	728	574	393	458	540	480	405	461	541	556	434	405	175	79	235	21	90	81	249	116	132	254	116	193	205	64	465	223	51	131	301	77	507	100	54	28	127	60	248	40	275	24	85	101	311	177	342	215	99	120	453					
9	Число недействительных избирательных бюллетеней	133	10	5	4	7	7	4	0	5	3	2	2	5	6	3	1	7	4	2	0	0	7	0	0	1	0	2	1	5	0	0	2	0	1	4	1	1	2	0	2	0	0	0	1	0	5	0	4	0	1	0	5	0	3	0	1	3	4					
10	Число действительных избирательных бюллетеней	18928	527	539	538	613	589	570	758	662	432	490	559	489	422	509	565	560	458	403	236	102	356	75	142	131	303	240	220	295	167	201	248	126	659	363	98	177	351	120	560	115	66	37	233	87	343	80	316	111	156	184	417	258	544	342	124	148	514					
