Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Северская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93043	666	1165	2356	186	2157	2336	1974	2228	2058	2305	2102	2640	2291	2999	1995	2198	2408	2108	2543	2607	2470	2062	2138	2456	2044	2332	2639	2052	2495	2134	2679	2157	2223	2276	2354	749	2718	2683	237	2299	2742	614	2402	2246	520									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89400	600	1000	2100	200	2100	2300	2000	2100	2000	2200	2100	2500	2200	3000	1900	2100	2300	2100	2500	2500	2500	2000	2100	2400	2000	2300	2500	2000	2400	2000	2600	2000	2100	2200	2200	700	2700	2500	300	2200	2600	500	2200	2100	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40033	237	402	1052	3	883	1025	816	1004	912	926	819	1100	974	1371	782	911	946	895	1154	1079	1188	776	990	986	913	995	1248	735	1270	1066	1309	813	1118	951	1129	321	1302	1304	130	991	1248	257	725	795	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1126	16	5	21	148	12	36	69	22	36	18	3	23	22	21	19	10	29	16	11	19	14	22	16	19	15	9	18	39	21	19	8	48	10	27	22	1	18	10	44	20	26	3	65	31	45									
6	Число погашенных избирательных бюллетеней	48241	347	593	1027	49	1205	1239	1115	1074	1052	1256	1278	1377	1204	1608	1099	1179	1325	1189	1335	1402	1298	1202	1094	1395	1072	1296	1234	1226	1109	915	1283	1139	972	1222	1049	378	1380	1186	126	1189	1326	240	1410	1274	273									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1125	16	5	21	147	12	36	69	22	36	18	3	23	22	21	19	10	29	16	11	19	14	22	16	19	15	9	18	39	21	19	8	48	10	27	22	1	18	10	44	20	26	3	65	31	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	39911	237	402	1048	3	873	1020	815	1004	909	926	819	1099	973	1359	781	911	935	892	1150	1074	1188	776	990	981	911	994	1248	734	1269	1047	1303	801	1115	949	1125	321	1302	1304	129	991	1244	257	725	795	182									
9	Число недействительных избирательных бюллетеней	1523	6	17	43	3	45	35	31	28	22	24	33	68	22	45	33	33	37	24	43	43	60	40	41	40	33	42	27	22	44	49	42	36	42	56	35	10	44	63	8	36	35	10	28	37	8									
10	Число действительных избирательных бюллетеней	39513	247	390	1026	147	840	1021	853	998	923	920	789	1054	973	1335	767	888	927	884	1118	1050	1142	758	965	960	893	961	1239	751	1246	1017	1269	813	1083	920	1112	312	1276	1251	165	975	1235	250	762	789	219									
