Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Таловская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642					
1	"Число избирателей, внесенных в список избирателей"	33990	1370	1181	1643	1386	1560	286	370	779	1143	1844	351	430	548	407	919	1022	757	950	808	445	1085	811	447	278	588	654	305	231	451	721	651	1346	1233	682	1199	404	910	404	245	590	1069	1487					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	32725	1300	1100	1500	1300	1500	275	350	750	1100	1750	350	425	550	400	900	1000	750	900	750	450	1100	750	425	275	575	650	300	225	450	700	675	1300	1200	675	1100	400	850	400	250	575	1050	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	17543	742	550	775	699	755	120	202	356	516	1052	187	250	367	267	350	396	513	537	400	337	355	482	296	165	427	348	172	100	254	338	308	667	660	320	575	190	257	299	107	304	707	841					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6964	312	133	173	90	141	50	117	231	241	172	138	175	96	102	335	325	166	266	206	66	495	187	105	48	147	123	93	65	103	165	293	162	215	209	155	121	223	74	91	145	94	116					
6	Число погашенных избирательных бюллетеней	8218	246	417	552	511	604	105	31	163	343	526	25	0	87	31	215	279	71	97	144	47	250	81	24	62	1	179	35	60	93	197	74	471	325	146	370	89	370	27	52	126	249	443					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6963	312	133	173	90	141	50	117	231	241	172	138	175	96	102	335	325	166	266	206	66	495	187	105	48	147	123	93	65	103	165	293	162	215	209	155	120	223	74	91	145	94	116					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17542	742	550	775	699	755	120	202	356	516	1052	187	250	367	267	350	396	513	537	400	337	355	482	296	165	427	348	172	100	254	337	308	667	660	320	575	190	257	299	107	304	707	841					
9	Число недействительных избирательных бюллетеней	259	0	4	22	10	27	4	0	7	5	17	0	0	1	1	11	15	12	0	6	2	9	1	0	2	15	5	3	1	3	8	8	15	12	0	4	3	4	2	4	2	7	7					
10	Число действительных избирательных бюллетеней	24246	1054	679	926	779	869	166	319	580	752	1207	325	425	462	368	674	706	667	803	600	401	841	668	401	211	559	466	262	164	354	494	593	814	863	529	726	307	476	371	194	447	794	950					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1098	50	30	45	50	55	10	20	15	14	80	5	5	25	10	10	20	50	10	10	13	60	60	12	3	9	15	3	20	40	30	60	22	20	20	21	22	5	2	27	25	20	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1066	50	25	43	47	51	8	20	15	14	80	5	5	25	4	10	20	50	10	10	13	60	60	12	3	9	15	3	20	40	26	60	22	20	20	21	22	0	2	27	25	20	74					
