Выборы Президента Российской Федерации																																																																											
																																																																											
Наименование Избирательной комиссии:    Ковровская городская																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
1	"Число избирателей, внесенных в список"	126293	726	1403	1727	2906	856	1906	2089	2008	2467	487	1740	1704	983	1235	2246	1666	1953	1900	1649	1728	2233	2439	2049	2235	2048	1683	2021	2654	2567	2474	2094	1833	2101	1881	2884	1995	2533	2900	2057	1368	2336	2614	1733	2469	1355	2076	2123	1981	2047	1944	2511	2560	1682	2119	2324	1302	1184	2510	2346	1994	1656	1512	788	405	153	119	22	3000					
2	Число полученных избирательных бюллетеней	113960	640	1240	1560	2700	760	1720	1850	1780	2200	440	1500	1550	880	1110	2030	1500	1720	1720	1530	1550	2010	2200	1880	2030	1860	1600	1820	2390	2320	2220	1880	1610	1910	1700	2640	1790	2310	2550	1860	1230	2110	2350	1560	2250	1240	1880	1930	1780	1850	1730	2250	2310	1530	1920	2090	1200	1060	2270	2100	1790	1510	1360	750	350	140	130	30	2700					
3	"Число избирательных бюллетеней, выданных  досрочно"	444	0	0	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199					
4	"Число избирательных бюллетеней, выданных в день голосования"	65386	465	677	794	2069	421	929	1019	908	996	246	841	779	451	608	1112	839	975	937	772	938	1191	1252	1069	1265	1084	836	1160	1257	1354	1418	1036	903	1046	909	1402	1137	1303	1519	1109	580	1226	1138	951	1198	669	1059	990	1091	1039	925	1264	1277	929	1089	1148	648	590	1386	1440	1055	903	776	365	330	134	105	21	2034					
5	"Число избирательных бюллетеней, выданных вне помещения"	2984	78	29	141	77	52	46	75	74	81	43	110	50	61	19	21	58	43	46	66	17	32	35	61	40	38	28	38	71	33	16	78	65	76	59	55	35	56	44	36	16	24	33	10	22	56	46	53	39	47	40	35	27	29	42	39	49	34	36	27	49	24	40	12	0	0	0	0	72					
6	Число погашенных избирательных бюллетеней	45146	97	534	625	309	287	745	756	798	1123	151	549	721	368	483	897	603	702	737	692	595	787	913	750	725	738	736	622	1062	933	786	766	642	788	732	1183	618	951	987	715	634	860	1179	599	1030	515	775	887	650	764	765	951	1006	572	789	903	503	436	848	633	686	583	544	373	20	6	25	9	395					
7	Число избирательных бюллетеней в переносных ящиках	3428	78	29	141	322	52	46	75	74	81	43	110	50	61	19	21	58	43	46	66	17	32	35	61	40	38	28	38	71	33	16	78	65	76	59	55	35	56	44	36	16	24	33	10	22	56	46	53	39	47	40	35	27	29	42	39	49	34	36	27	49	24	40	12	0	0	0	0	271					
8	Число бюллетеней в стационарных ящиках для голосования	65336	465	677	794	2069	421	929	1019	908	996	246	841	779	451	608	1112	834	975	937	772	935	1191	1252	1069	1265	1084	836	1157	1257	1353	1418	1036	903	1046	909	1402	1137	1303	1518	1109	580	1225	1136	951	1198	669	1059	990	1091	1039	925	1264	1251	929	1089	1148	648	590	1385	1439	1054	903	776	365	330	134	105	21	2029					
9	Число недействительных избирательных бюллетеней	597	9	4	7	13	8	11	16	12	19	7	9	5	0	5	16	5	6	9	4	6	4	3	3	16	12	5	5	15	13	11	5	13	19	17	7	15	15	15	8	9	8	19	6	10	9	17	3	10	6	11	10	11	7	8	3	5	5	16	11	11	3	3	1	8	1	2	0	12					
10	Число действительных избирательных бюллетеней	68167	534	702	928	2378	465	964	1078	970	1058	282	942	824	512	622	1117	887	1012	974	834	946	1219	1284	1127	1289	1110	859	1190	1313	1373	1423	1109	955	1103	951	1450	1157	1344	1547	1137	587	1241	1150	955	1210	716	1088	1040	1120	1080	954	1289	1267	951	1123	1184	692	619	1405	1455	1092	924	813	376	322	133	103	21	2288					
11	Число полученных открепительных  удостоверений	1425	10	15	20	110	10	20	20	20	20	10	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	15	25	20	20	20	10	20	20	20	20	20	20	20	20	20	20	20	20	30	30	20	20	10	10	0	0	0	0	130					
12	Число выданных открепительных удостоверений	774	0	4	6	82	0	6	4	4	11	3	10	10	2	4	10	10	6	8	10	5	10	6	5	9	6	6	10	15	6	11	9	5	9	7	14	5	9	16	16	11	23	15	6	17	7	20	17	11	9	8	5	17	18	10	18	9	4	17	22	13	12	3	2	0	0	0	0	111					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	456	2	3	7	55	2	3	10	4	10	5	16	1	7	12	22	3	8	1	1	5	2	12	6	2	4	1	9	11	5	6	7	3	8	2	5	1	9	10	5	5	5	7	6	19	1	9	4	8	1	5	3	0	4	5	8	2	0	7	7	10	4	6	5	6	4	1	2	27					
14	Число неиспользованных открепительных удостоверений	651	10	11	14	28	10	14	16	16	9	7	10	10	8	16	10	10	14	12	10	15	10	14	15	11	14	14	10	5	14	9	11	15	11	13	6	15	11	4	4	4	2	5	14	3	3	0	3	9	11	12	15	3	2	10	2	11	16	13	8	7	8	7	8	0	0	0	0	19					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	3847	14	26	32	48	23	50	76	55	51	7	47	52	27	48	80	52	46	64	43	61	203	88	55	60	73	57	63	47	77	74	48	43	71	47	55	63	72	87	79	38	96	56	62	76	23	68	83	49	63	68	121	92	63	86	60	47	29	94	91	53	44	33	12	19	4	8	2	43					
		5.59%	2.58%	3.68%	3.42%	2.01%	4.86%	5.13%	6.95%	5.60%	4.74%	2.42%	4.94%	6.27%	5.27%	7.66%	7.06%	5.83%	4.52%	6.51%	5.13%	6.41%	16.60%	6.84%	4.87%	4.60%	6.51%	6.60%	5.27%	3.54%	5.56%	5.16%	4.31%	4.44%	6.33%	4.86%	3.77%	5.38%	5.30%	5.57%	6.90%	6.38%	7.69%	4.79%	6.45%	6.23%	3.17%	6.15%	7.96%	4.34%	5.80%	7.05%	9.31%	7.20%	6.58%	7.60%	5.05%	6.74%	4.65%	6.62%	6.21%	4.81%	4.75%	4.04%	3.18%	5.76%	2.99%	7.62%	9.52%	1.87%					
19	. Малышкин Олег Александрович	1653	23	24	32	35	14	39	15	14	29	11	27	18	19	8	24	20	20	23	28	8	25	22	21	32	25	21	17	36	30	41	33	27	37	26	39	21	34	30	23	20	31	38	16	19	33	31	28	45	30	25	29	32	22	36	33	19	14	26	27	19	16	9	15	14	4	3	1	47					
		2.40%	4.24%	3.40%	3.42%	1.46%	2.96%	4.00%	1.37%	1.43%	2.69%	3.81%	2.84%	2.17%	3.71%	1.28%	2.12%	2.24%	1.96%	2.34%	3.34%	0.84%	2.04%	1.71%	1.86%	2.45%	2.23%	2.43%	1.42%	2.71%	2.16%	2.86%	2.96%	2.79%	3.30%	2.69%	2.68%	1.79%	2.50%	1.92%	2.01%	3.36%	2.48%	3.25%	1.66%	1.56%	4.55%	2.81%	2.68%	3.98%	2.76%	2.59%	2.23%	2.50%	2.30%	3.18%	2.78%	2.73%	2.24%	1.83%	1.84%	1.72%	1.73%	1.10%	3.98%	4.24%	2.99%	2.86%	4.76%	2.04%					
20	. Миронов Сергей Михайлович	983	16	13	8	10	5	19	33	18	19	7	11	12	6	12	19	15	12	15	12	14	17	21	12	16	24	13	20	15	32	30	15	8	21	18	17	12	35	20	19	10	10	20	13	13	12	15	16	16	10	12	19	13	15	15	16	10	13	15	17	19	14	9	7	4	0	0	0	9					
		1.43%	2.95%	1.84%	0.86%	0.42%	1.06%	1.95%	3.02%	1.83%	1.76%	2.42%	1.16%	1.45%	1.17%	1.91%	1.68%	1.68%	1.18%	1.53%	1.43%	1.47%	1.39%	1.63%	1.06%	1.23%	2.14%	1.50%	1.67%	1.13%	2.31%	2.09%	1.35%	0.83%	1.87%	1.86%	1.17%	1.02%	2.58%	1.28%	1.66%	1.68%	0.80%	1.71%	1.35%	1.07%	1.66%	1.36%	1.53%	1.42%	0.92%	1.24%	1.46%	1.02%	1.57%	1.33%	1.35%	1.43%	2.08%	1.06%	1.16%	1.72%	1.51%	1.10%	1.86%	1.21%	0.00%	0.00%	0.00%	0.39%					
21	. Путин Владимир Владимирович	44170	386	420	652	1959	302	642	684	634	722	189	633	528	368	373	750	581	656	632	525	608	691	837	695	807	692	575	761	827	887	919	743	605	649	591	1017	785	883	1067	718	361	788	714	621	793	518	691	666	657	690	571	736	696	542	611	715	433	410	818	876	687	579	496	236	200	96	77	14	1885					
