Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Ики-Бурульская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7418	411	288	2086	808	375	176	309	733	565	442	228	475	337	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7470	410	290	2090	830	380	180	300	750	590	440	220	480	330	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5292	290	263	984	584	322	154	249	475	463	409	193	432	308	166									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	330	34	6	48	30	13	7	3	75	58	0	22	19	10	5									
6	Число погашенных избирательных бюллетеней	1848	86	21	1058	216	45	19	48	200	69	31	5	29	12	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	330	34	6	48	30	13	7	3	75	58	0	22	19	10	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5292	290	263	984	584	322	154	249	475	463	409	193	432	308	166									
9	Число недействительных избирательных бюллетеней	28	0	0	24	0	0	0	4	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	5594	324	269	1008	614	335	161	248	550	521	409	215	451	318	171									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	340	15	20	86	40	10	16	10	35	40	10	10	28	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	340	15	20	86	40	10	16	10	35	40	10	10	28	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	6	8	32	4	4	3	5	6	6	3	4	3	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	1	2	21	8	0	0	3	45	4	5	5	12	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	0	0	7	0	0	1	1	0	0	1	0	0	0	0									
		0.18%	0.00%	0.00%	0.68%	0.00%	0.00%	0.62%	0.40%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	34	0	1	15	7	2	0	5	1	0	0	0	0	3	0									
		0.60%	0.00%	0.37%	1.45%	1.14%	0.60%	0.00%	1.98%	0.18%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	14	0	0	5	4	0	0	2	1	1	0	0	0	1	0									
		0.25%	0.00%	0.00%	0.48%	0.65%	0.00%	0.00%	0.79%	0.18%	0.19%	0.00%	0.00%	0.00%	0.31%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4739	314	244	562	490	302	150	206	486	515	380	203	418	304	165									
		84.29%	96.91%	90.71%	54.46%	79.80%	90.15%	93.17%	81.75%	88.36%	98.85%	92.91%	94.42%	92.68%	95.60%	96.49%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	4	0	0	2	1	0	0	1	0	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.19%	0.16%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	1	0	0	1	2	1	1	0	0	0	0	0									
		0.11%	0.00%	0.00%	0.10%	0.00%	0.00%	0.62%	0.79%	0.18%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	39	1	1	10	8	0	1	8	5	1	0	1	0	3	0									
		0.69%	0.31%	0.37%	0.97%	1.30%	0.00%	0.62%	3.17%	0.91%	0.19%	0.00%	0.47%	0.00%	0.94%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	2	1	0	0	1	0	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.19%	0.16%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	0	0	7	3	0	0	1	0	0	0	0	0	0	0									
		0.20%	0.00%	0.00%	0.68%	0.49%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	3	0	0	1	0	0	0	0	0	0	0	0									
		0.07%	0.00%	0.00%	0.29%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
