Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Тонкинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6478	1828	2109	203	443	272	223	97	247	203	213	278	105	54	74	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6800	1873	2177	203	494	276	222	101	273	213	254	298	135	68	83	130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3800	968	1271	127	218	198	134	75	147	91	141	216	57	35	37	85									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1075	138	205	58	182	49	61	17	59	93	55	39	34	18	35	32									
6	Число погашенных избирательных бюллетеней	1925	767	701	18	94	29	27	9	67	29	58	43	44	15	11	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1075	138	205	58	182	49	61	17	59	93	55	39	34	18	35	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3800	968	1271	127	218	198	134	75	147	91	141	216	57	35	37	85									
9	Число недействительных избирательных бюллетеней	32	13	16	0	1	2	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	4843	1093	1460	185	399	245	195	92	206	184	196	255	91	53	72	117									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	373	50	65	20	35	25	23	15	25	20	25	30	20	5	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	223	36	65	1	35	4	1	5	11	11	20	7	10	5	5	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	48	6	20	1	2	1	1	2	1	1	2	1	1	3	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	150	14	0	19	0	21	22	10	14	9	5	23	10	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	7	11	0	0	0	0	0	2	0	2	0	5	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	7	9	0	3	4	2	0	1	0	1	1	0	0	0	0									
		0.57%	0.63%	0.61%	0.00%	0.75%	1.62%	1.03%	0.00%	0.49%	0.00%	0.51%	0.39%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	104	20	36	1	7	11	2	2	6	3	5	3	1	1	0	6									
