Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Старошайговская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613					
1	"Число избирателей, внесенных в списки избирателей"	11602	568	270	84	231	124	207	115	215	50	254	498	280	793	80	124	544	173	406	359	77	192	70	697	381	2318	1909	81	222	280					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11643	565	270	87	232	124	207	116	215	50	261	498	280	793	80	124	544	173	404	359	77	192	70	699	377	2318	1944	82	222	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10671	384	265	84	225	107	188	63	201	50	245	445	242	751	77	123	501	155	374	316	71	192	64	651	372	2226	1769	76	199	255					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	858	181	5	0	6	17	19	51	14	0	9	53	38	42	3	1	43	18	30	43	6	0	6	46	5	48	121	5	23	25					
6	Число погашенных избирательных бюллетеней	114	0	0	3	1	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	44	54	1	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	858	181	5	0	6	17	19	51	14	0	9	53	38	42	3	1	43	18	30	43	6	0	6	46	5	48	121	5	23	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10671	384	265	84	225	107	188	63	201	50	245	445	242	751	77	123	501	155	374	316	71	192	64	651	372	2226	1769	76	199	255					
9	Число недействительных избирательных бюллетеней	12	0	0	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0					
10	Число действительных избирательных бюллетеней	11517	565	270	83	230	122	207	114	215	50	252	498	280	793	80	124	544	173	404	359	77	191	69	697	377	2272	1888	81	222	280					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	174	5	5	5	5	5	5	3	5	5	5	5	5	10	5	5	5	5	5	5	5	5	3	5	5	20	20	3	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	72	5	1	0	1	2	3	0	0	0	4	4	1	6	0	0	2	0	1	1	1	0	0	1	0	20	18	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	49	3	0	0	1	0	1	0	0	0	2	1	1	6	0	0	9	0	2	3	1	1	0	2	3	4	4	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	102	0	4	5	4	3	2	3	5	5	1	1	4	4	5	5	3	5	4	4	4	5	3	4	5	0	2	2	5	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1					
		0.03%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	96	2	1	0	1	1	3	0	1	0	9	3	2	7	0	1	3	0	4	5	1	2	0	2	0	30	14	1	1	2					
		0.83%	0.35%	0.37%	0.00%	0.43%	0.81%	1.45%	0.00%	0.47%	0.00%	3.54%	0.60%	0.71%	0.88%	0.00%	0.81%	0.55%	0.00%	0.99%	1.39%	1.30%	1.04%	0.00%	0.29%	0.00%	1.32%	0.74%	1.23%	0.45%	0.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	35	2	3	1	0	1	0	0	0	0	6	0	0	1	0	0	1	2	0	3	1	0	1	0	0	10	3	0	0	0					
		0.30%	0.35%	1.11%	1.19%	0.00%	0.81%	0.00%	0.00%	0.00%	0.00%	2.36%	0.00%	0.00%	0.13%	0.00%	0.00%	0.18%	1.16%	0.00%	0.84%	1.30%	0.00%	1.43%	0.00%	0.00%	0.44%	0.16%	0.00%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.36%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.58%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	11369	560	266	82	229	120	204	114	213	50	231	495	278	783	80	123	540	170	400	349	75	189	67	695	377	2230	1871	80	221	277					
		98.61%	99.12%	98.52%	97.62%	99.13%	96.77%	98.55%	10.00%	99.07%	10.00%	90.94%	99.40%	99.29%	98.74%	10.00%	99.19%	99.26%	98.27%	99.01%	97.21%	97.40%	98.44%	95.71%	99.71%	10.00%	98.07%	98.99%	98.77%	99.55%	98.93%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
