Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Конаковская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №1196									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	72487	2044	1903	1846	2045	1443	201	405	1809	830	1049	1617	1593	1596	1591	1608	1687	1595	1636	1773	1593	2010	1942	1753	1477	1112	1119	1271	1334	1383	1453	1435	1563	951	1631	1040	674	1280	1333	1926	962	271	1934	1923	1433	487	1820	1821	1296	1701	1164	235	340	376	173									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	69912	2000	1900	1850	2000	1400	200	350	1700	800	1000	1600	1600	1550	1550	1600	1650	1550	1600	1700	1550	2000	1900	1700	1400	1050	1050	1200	1250	1300	1400	1400	1400	900	1600	1000	600	1200	1200	1900	900	200	1900	1900	1400	450	1800	1800	1250	1650	1100	150	300	350	162									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26263	668	660	656	671	452	93	178	610	255	391	538	662	595	634	709	672	695	658	562	622	796	838	652	608	321	328	310	383	432	569	481	744	297	456	335	271	435	397	752	353	102	736	739	518	174	795	672	441	476	480	115	112	125	39									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1352	46	8	5	11	11	0	9	11	1	12	18	5	10	7	9	6	9	8	9	4	2	6	8	24	12	23	18	8	15	9	14	143	40	208	74	45	24	96	52	21	56	16	4	23	6	17	21	6	14	61	26	32	29	0									
6	Число погашенных избирательных бюллетеней	42297	1286	1232	1189	1318	937	107	163	1079	544	597	1044	933	945	909	882	972	846	934	1129	924	1202	1056	1040	768	717	699	872	859	853	822	905	513	563	936	591	284	741	707	1096	526	42	1148	1157	859	270	988	1107	803	1160	559	9	156	196	123									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1352	46	8	5	11	11	0	9	11	1	12	18	5	10	7	9	6	9	8	9	4	2	6	8	24	12	23	18	8	15	9	14	143	40	208	74	45	24	96	52	21	56	16	4	23	6	17	21	6	14	61	26	32	29	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26228	668	660	651	670	452	93	178	610	255	389	536	661	595	634	709	672	695	658	558	622	796	838	652	608	321	328	310	383	432	569	481	744	297	456	335	271	435	397	752	353	102	736	728	517	174	791	669	441	476	480	115	112	124	39									
9	Число недействительных избирательных бюллетеней	913	66	23	18	26	11	0	6	15	9	12	20	14	27	19	15	15	27	31	17	19	20	40	7	9	7	9	6	7	8	19	13	30	21	17	15	14	76	3	17	8	1	22	20	28	18	27	22	8	11	18	1	1	0	0									
10	Число действительных избирательных бюллетеней	26667	648	645	638	655	452	93	181	606	247	389	534	652	578	622	703	663	677	635	550	607	778	804	653	623	326	342	322	384	439	559	482	857	316	647	394	302	383	490	787	366	157	730	712	512	162	781	668	439	479	523	140	143	153	39									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	891	20	25	33	26	17	5	5	22	16	13	19	24	19	23	19	17	19	19	20	18	45	22	14	17	7	4	12	14	13	31	7	15	20	25	11	10	11	12	13	10	10	30	22	17	6	26	22	20	20	12	2	4	8	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	485	19	24	33	18	6	5	2	13	11	5	19	12	12	20	13	11	11	17	12	10	13	21	12	9	3	1	4	6	2	13	3	5	13	20	4	2	4	4	4	3	1	12	8	14	1	6	5	8	6	5	0	0	0	0									
