Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Архаринская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13356	1529	1419	1480	1506	1465	294	583	159	140	263	442	256	168	130	655	348	268	169	155	685	119	291	105	314	413									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13000	1450	1450	1450	1450	1450	300	600	150	150	250	450	250	150	100	650	350	250	150	150	650	100	250	100	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5059	510	517	506	529	449	55	229	73	100	134	220	128	102	76	255	173	113	100	62	263	37	132	51	73	172									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1010	49	82	41	96	46	16	52	20	8	17	72	21	8	5	69	81	45	12	17	86	1	23	15	75	53									
6	Число погашенных избирательных бюллетеней	6931	891	851	903	825	955	229	319	57	42	99	158	101	40	19	326	96	92	38	71	301	62	95	34	152	175									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1010	49	82	41	96	46	16	52	20	8	17	72	21	8	5	69	81	45	12	17	86	1	23	15	75	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5056	510	515	505	529	449	55	229	73	100	134	220	128	102	76	255	173	113	100	62	263	37	132	51	73	172									
9	Число недействительных избирательных бюллетеней	173	20	17	20	8	8	4	6	0	2	4	5	1	6	4	6	32	3	1	1	6	6	4	0	3	6									
10	Число действительных избирательных бюллетеней	5893	539	580	526	617	487	67	275	93	106	147	287	148	104	77	318	222	155	111	78	343	32	151	66	145	219									
