Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Опаpинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891									
1	Число избирателей, внесенных в списки	10364	1730	1279	1064	1452	971	525	533	259	59	322	323	112	249	69	131	201	909	176									
2	Число бюллетеней, полученных участковыми комиссиями	9800	1500	1200	1000	1400	900	530	500	250	68	300	330	124	230	71	125	210	900	162									
3	Число бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число бюллетеней, выданных избирателям на избирательном участке	5515	992	627	524	609	501	310	304	153	44	201	178	76	120	55	80	124	461	156									
5	Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования	382	27	23	45	43	18	17	23	14	3	3	28	21	10	5	24	38	40	0									
6	Число погашенных бюллетеней	3903	481	550	431	748	381	203	173	83	21	96	124	27	100	11	21	48	399	6									
7	Число бюллетеней в переносных ящиках для голосования	382	27	23	45	43	18	17	23	14	3	3	28	21	10	5	24	38	40	0									
8	Число бюллетеней в стационарных ящиках для голосования	5512	989	627	524	609	501	310	304	153	44	201	178	76	120	55	80	124	461	156									
9	Число недействительных бюллетеней	85	7	14	4	8	3	16	3	0	0	8	5	3	0	0	6	3	4	1									
10	Число действительных бюллетеней	5809	1009	636	565	644	516	311	324	167	47	196	201	94	130	60	98	159	497	155									
11	Число открепительных удостоверений, полученных участковыми комиссиями	165	15	15	15	15	15	10	10	5	5	5	10	5	5	5	5	5	10	10									
12	Число открепительных удостоверений, выданных участковыми комиссиями	71	15	13	1	7	1	6	2	2	1	1	5	0	1	1	4	1	2	8									
13	Число избирателей, проголосовавших по открепительным удостоверениям	33	4	1	1	6	2	0	2	1	1	0	1	1	2	1	1	2	2	5									
