Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Ромодановская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №387	УИК №388	УИК №389	УИК №441	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15023	768	793	669	71	643	700	746	1615	1475	319	413	128	458	338	1633	154	292	296	212	142	318	175	188	130	227	375	212	272	505	525	231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15356	782	820	695	73	678	736	745	1658	1530	317	413	127	460	341	1640	156	304	312	209	139	324	180	197	130	227	397	212	273	521	520	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12345	600	626	556	54	478	473	609	1270	1219	267	384	110	394	317	1503	134	246	252	166	102	204	147	169	112	182	326	171	231	424	420	199									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1122	67	43	57	16	41	47	90	78	144	33	22	14	43	3	14	19	22	37	25	26	34	22	13	8	27	17	27	18	46	44	25									
6	Число погашенных избирательных бюллетеней	1889	115	151	82	3	159	216	46	310	167	17	7	3	23	21	123	3	36	23	18	11	86	11	15	10	18	54	14	24	51	56	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1122	67	43	57	16	41	47	90	78	144	33	22	14	43	3	14	19	22	37	25	26	34	22	13	8	27	17	27	18	46	44	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12324	599	626	556	54	478	473	609	1270	1219	267	384	110	394	317	1483	134	246	252	166	102	204	147	169	112	182	326	171	231	424	420	199									
9	Число недействительных избирательных бюллетеней	71	4	0	2	0	10	7	0	0	2	0	7	2	0	5	23	1	1	0	0	0	4	0	0	0	0	0	0	3	0	0	0									
10	Число действительных избирательных бюллетеней	13375	662	669	611	70	509	513	699	1348	1361	300	399	122	437	315	1474	152	267	289	191	128	234	169	182	120	209	343	198	246	470	464	224									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	378	21	25	20	3	22	21	20	25	25	5	10	5	10	5	15	5	10	10	5	3	10	10	10	5	10	13	10	10	15	15	5									
