Выборы Президента Российской Федерации																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Вологодская городская																																																																																																																																																
																																																																																																																																																
Итоги голосования 																																																																																																																																																
																																																																																																																																																
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
1	"Число избирателей, внесенных в список"	241770	1752	1730	1611	2033	1807	1580	1644	1169	1338	1635	1361	1884	1338	2161	2106	548	2584	2607	2269	2179	1514	1592	559	2612	2746	2672	2738	2820	1114	2247	2760	2583	2379	303	2575	2268	2838	2559	2122	2928	2889	2579	2304	2096	1957	2345	1741	2013	2827	1803	2017	1099	1051	854	1449	1446	2188	2221	1319	2018	2031	1759	2594	1581	2713	2225	1601	2417	2127	2514	2515	2780	262	1610	1948	967	2537	1653	1511	2010	2142	2038	2056	2063	1922	2356	2300	2304	1686	463	867	2718	2076	1702	2814	2329	2911	2584	2068	1466	1779	2228	2462	2510	1781	1558	2662	2630	2196	1625	2025	1139	2275	2480	2103	1927	1989	1761	1828	2341	384	571	131	351	191	66	102	24	34	84	24	106	134	150	69	55	294					
2	Число полученных избирательных бюллетеней	225095	1590	1610	1470	1900	1640	1400	1490	1070	1270	1520	1230	1760	1230	2120	1960	520	2300	2390	2060	1970	1400	1460	520	2380	2590	2390	2550	2660	1000	2050	2660	2390	2240	300	2370	2090	2620	2390	1950	2670	2620	2490	2090	1900	1770	1970	1690	1840	2540	1660	1960	1080	1000	780	1370	1450	2040	2040	1330	1830	1920	1610	2600	1430	2520	2040	1440	2200	1920	2500	2300	2540	250	1470	1910	900	2390	1550	1380	1830	1980	1890	1870	1870	1760	2190	2230	2110	1520	420	890	2570	1890	1420	2620	2120	2650	2340	1860	1710	1530	2000	2420	2300	1610	1420	2440	2390	2030	1470	1850	1020	2010	2250	2030	1760	1860	2100	1820	2120	490	650	140	300	220	200	100	80	40	150	35	110	150	200	80	80	400					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	138356	964	1115	995	1253	1087	955	1048	722	869	1061	812	1019	806	1145	1109	280	1325	1420	1253	1169	779	914	305	1490	1490	1459	1422	1605	604	1300	1438	1513	1280	171	1217	1094	1519	1586	1275	1754	1697	1501	1243	1082	1217	1459	943	1120	1632	904	920	523	485	363	875	865	1213	1238	736	1259	1087	936	1281	810	1604	1216	916	1415	1244	1355	1398	1609	155	1067	1170	624	1384	939	874	1183	1281	1189	1267	1420	1061	1247	1061	1228	772	213	432	1404	1083	1016	1498	1318	1638	1449	1243	1248	1065	1170	1377	1556	1033	928	1587	1568	1136	935	1268	659	1380	1519	1329	1162	1199	1177	987	1448	384	571	131	300	124	66	100	24	34	84	24	106	125	150	69	55	294					
5	"Число избирательных бюллетеней, выданных вне помещения"	3632	69	54	23	53	25	29	43	30	42	25	37	35	31	26	19	11	38	50	63	46	17	24	26	44	55	33	18	23	15	40	22	15	23	12	58	25	33	19	17	36	19	36	29	31	29	57	46	37	34	34	57	33	18	16	32	24	27	31	17	37	33	19	8	67	21	20	14	19	17	45	31	51	20	20	24	29	30	55	11	18	44	40	28	27	35	37	19	7	35	22	52	18	27	29	35	39	31	34	30	9	18	58	24	24	7	18	24	22	34	22	16	13	14	25	35	27	10	38	8	30	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	83107	557	441	452	594	528	416	399	318	359	434	381	706	393	949	832	229	937	920	744	755	604	522	189	846	1045	898	1110	1032	381	710	1200	862	937	117	1095	971	1068	785	658	880	904	953	818	787	524	454	701	683	874	722	983	524	497	401	463	561	800	771	577	534	800	655	1311	553	895	804	510	766	659	1100	871	880	75	383	716	247	976	556	495	629	655	661	575	423	664	906	1150	875	713	185	406	1148	780	375	1087	763	981	857	587	453	447	772	1019	720	570	474	829	800	860	513	566	348	616	706	666	571	651	885	825	642	106	79	9	0	29	134	0	56	6	66	11	4	25	50	11	25	106					
7	Число избирательных бюллетеней в переносных ящиках	3632	69	54	23	53	25	29	43	30	42	25	37	35	31	26	19	11	38	50	63	46	17	24	26	44	55	33	18	23	15	40	22	15	23	12	58	25	33	19	17	36	19	36	29	31	29	57	46	37	34	34	57	33	18	16	32	24	27	31	17	37	33	19	8	67	21	20	14	19	17	45	31	51	20	20	24	29	30	55	11	18	44	40	28	27	35	37	19	7	35	22	52	18	27	29	35	39	31	34	30	9	18	58	24	24	7	18	24	22	34	22	16	13	14	25	35	27	10	38	8	30	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	138248	962	1115	993	1253	1084	955	1048	722	869	1058	812	1019	806	1145	1109	280	1325	1420	1253	1168	779	914	305	1490	1488	1459	1422	1604	604	1300	1438	1513	1280	171	1217	1094	1514	1586	1275	1754	1697	1501	1240	1082	1213	1454	943	1120	1632	904	920	523	485	363	875	865	1213	1238	736	1258	1087	935	1281	810	1604	1216	916	1414	1243	1355	1398	1608	155	1067	1170	624	1384	938	873	1183	1281	1188	1267	1419	1061	1247	1060	1228	770	213	432	1404	1083	1015	1497	1318	1638	1449	1243	1211	1047	1169	1377	1556	1033	927	1587	1567	1136	935	1265	658	1380	1519	1329	1162	1199	1177	987	1448	384	571	131	300	124	66	100	24	34	84	24	106	125	150	69	55	293					
9	Число недействительных избирательных бюллетеней	803	7	6	7	13	10	8	4	5	3	5	8	4	3	10	5	1	10	18	12	5	3	7	6	5	4	7	8	10	4	15	3	6	11	7	5	11	4	3	6	8	8	4	7	18	2	10	6	4	8	5	5	5	1	4	6	5	7	8	5	7	9	8	1	4	8	9	8	5	8	10	6	5	1	3	7	5	14	7	5	6	5	7	8	2	4	7	11	6	4	1	10	5	11	8	11	2	6	10	7	2	3	7	14	10	7	2	7	10	12	4	5	0	6	8	9	8	6	3	0	5	2	6	0	0	0	0	1	0	0	0	1	2	0	1	2	1	3					
10	Число действительных избирательных бюллетеней	141077	1024	1163	1009	1293	1099	976	1087	747	908	1078	841	1050	834	1161	1123	290	1353	1452	1304	1209	793	931	325	1529	1539	1485	1432	1617	615	1325	1457	1522	1292	176	1270	1108	1543	1602	1286	1782	1708	1533	1262	1095	1240	1501	983	1153	1658	933	972	551	502	375	901	884	1233	1261	748	1288	1111	946	1288	873	1617	1227	922	1428	1252	1390	1423	1654	174	1084	1187	648	1400	986	879	1195	1320	1221	1287	1444	1092	1277	1068	1229	801	234	474	1417	1099	1036	1521	1355	1663	1473	1266	1218	1062	1220	1387	1570	1033	943	1604	1579	1158	953	1276	671	1388	1536	1355	1181	1203	1212	995	1473	382	565	131	300	191	66	99	24	34	84	23	104	125	149	67	54	290					
