Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Ольгинская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745					
1	"Число избирателей, внесенных в списки"	9225	347	525	2360	844	380	572	147	109	152	100	112	300	897	692	91	795	474	328					
2	"Число бюллетеней, полученных участковыми комиссиями"	8996	342	515	2368	831	337	552	143	114	155	99	102	285	855	695	90	763	456	294					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	34	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5112	220	307	1142	400	210	309	83	73	87	71	47	195	492	534	63	436	276	167					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	276	4	11	72	28	4	17	6	4	8	6	0	24	24	25	0	16	11	16					
6	Число погашенных бюллетеней	3574	118	197	1154	403	123	226	54	37	60	22	21	66	339	136	27	311	169	111					
7	Число бюллетеней в переносных ящиках для голосования	310	4	11	72	28	4	17	6	4	8	6	34	24	24	25	0	16	11	16					
8	Число бюллетеней в стационарных ящиках для голосования	5112	220	307	1142	400	210	309	83	73	87	71	47	195	492	534	63	436	276	167					
9	Число недействительных бюллетеней	79	5	1	10	3	2	8	5	2	2	0	0	6	8	14	3	5	4	1					
10	Число действительных бюллетеней	5343	219	317	1204	425	212	318	84	75	93	77	81	213	508	545	60	447	283	182					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	5	10	38	13	5	10	3	2	3	2	2	5	14	11	2	13	8	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	16	0	2	8	1	0	0	0	0	0	0	0	0	0	0	0	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	0	5	1	0	1	0	1	0	2	10	0	0	2	0	1	0	0					
14	Число погашенных открепительных удостоверений	134	5	8	30	12	5	10	3	2	3	2	2	5	14	11	2	10	7	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	73	0	11	9	6	3	3	1	3	2	2	1	6	4	14	2	3	3	0					
		1.34%	0.0%	3.45%	0.74%	1.40%	1.40%	0.92%	1.12%	3.89%	2.10%	2.59%	1.23%	2.73%	0.77%	2.50%	3.17%	0.66%	1.04%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	91	1	1	15	5	7	1	2	3	1	0	0	3	14	22	0	6	9	1					
		1.67%	0.44%	0.31%	1.23%	1.16%	3.27%	0.30%	2.24%	3.89%	1.05%	0.0%	0.0%	1.36%	2.71%	3.93%	0.0%	1.32%	3.13%	0.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	123	7	0	34	6	5	2	0	2	1	1	2	4	13	14	2	15	10	5					
		2.26%	3.12%	0.0%	2.80%	1.40%	2.33%	0.61%	0.0%	2.59%	1.05%	1.29%	2.46%	1.82%	2.51%	2.50%	3.17%	3.31%	3.48%	2.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	109	3	4	35	11	2	10	0	1	2	0	2	6	11	12	1	5	2	2					
		2.01%	1.33%	1.25%	2.88%	2.57%	0.93%	3.06%	0.0%	1.29%	2.10%	0.0%	2.46%	2.73%	2.13%	2.14%	1.58%	1.10%	0.69%	1.09%					
22	"5. ""За Русь Святую"""	40	2	1	15	5	1	0	0	0	0	0	0	1	1	6	2	3	1	2					
		0.73%	0.89%	0.31%	1.23%	1.16%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.19%	1.07%	3.17%	0.66%	0.34%	1.09%					
23	"6. ""Объединенная Российская партия ""Русь"""	15	0	1	4	0	1	2	0	0	1	0	0	0	2	1	1	2	0	0					
