Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
"Наименование Избирательной комиссии:    Архангельск, Исакогорская "																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27649	709	880	1326	2027	1436	1941	2079	1939	796	1007	1373	1531	1731	801	710	627	1320	2027	2184	1205									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20600	600	700	1000	1500	1100	1400	1500	1400	600	700	1000	1100	1300	600	600	500	1000	1500	1600	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6724	133	164	294	548	327	379	623	381	205	266	412	401	504	188	144	149	237	487	563	319									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	199	4	15	20	5	3	5	14	8	9	11	2	5	24	6	7	5	0	29	8	19									
6	Число погашенных избирательных бюллетеней	13677	463	521	686	947	770	1016	863	1011	386	423	586	694	772	406	449	346	763	984	1029	562									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	199	4	15	20	5	3	5	14	8	9	11	2	5	24	6	7	5	0	29	8	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6723	133	164	294	548	327	379	622	381	205	266	412	401	504	188	144	149	237	487	563	319									
9	Число недействительных избирательных бюллетеней	116	4	5	4	6	8	7	12	11	12	1	8	9	7	1	1	2	5	2	7	4									
10	Число действительных избирательных бюллетеней	6806	133	174	310	547	322	377	624	378	202	276	406	397	521	193	150	152	232	514	564	334									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	20	20	20	30	20	20	30	20	20	20	20	20	20	20	20	20	20	30	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	183	5	3	5	16	5	8	21	19	6	3	6	10	13	3	3	3	7	17	17	13									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	155	4	7	18	8	5	14	6	7	1	28	5	3	7	4	2	0	7	4	13	12									
14	Число погашенных неиспользованных открепительных удостоверений	247	15	17	15	14	15	12	9	1	14	17	14	10	7	17	17	17	13	13	3	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	1	1	0	0	1	0	0	0	1	5	1	2	1	0	1	0	4	0									
