Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Барышская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33538	1512	1294	1154	987	611	673	930	1310	641	1259	785	1277	1459	636	718	209	329	1168	1144	201	1367	678	300	219	109	395	552	167	1164	1682	554	1255	117	588	444	174	212	204	248	477	249	229	577	189	119	380	600	769	895	328									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34630	1548	1347	1175	1014	633	679	864	1361	660	1273	798	1329	1462	660	742	219	348	1210	1167	211	1416	695	310	227	117	417	577	176	1241	1765	586	1313	122	620	467	184	223	221	260	496	259	246	604	194	127	405	632	784	912	334									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15913	686	556	511	546	290	436	388	548	242	404	413	695	673	338	286	161	192	525	507	101	426	250	117	136	65	268	226	117	440	686	264	512	65	331	297	142	116	122	103	294	197	139	291	141	74	147	435	399	398	217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2915	59	74	76	64	47	20	99	71	42	80	65	61	53	22	100	5	50	78	76	32	7	18	51	25	16	77	50	26	192	164	72	86	30	63	61	15	40	70	59	21	10	9	86	19	13	71	35	47	258	50									
6	Число погашенных избирательных бюллетеней	15802	803	717	588	404	296	223	377	742	376	789	320	573	736	300	356	53	106	607	584	78	983	427	142	66	36	72	301	33	609	915	250	715	27	226	109	27	67	29	98	181	52	98	227	34	40	187	162	338	256	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2915	59	74	76	64	47	20	99	71	42	80	65	61	53	22	100	5	50	78	76	32	7	18	51	25	16	77	50	26	192	164	72	86	30	63	61	15	40	70	59	21	10	9	86	19	13	71	35	47	258	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15910	686	556	510	546	290	436	388	548	242	404	413	695	673	338	286	161	192	525	507	101	426	250	117	136	65	268	226	117	440	684	264	512	65	331	297	142	116	122	103	294	197	139	291	141	74	147	435	399	398	217									
9	Число недействительных избирательных бюллетеней	207	15	15	10	2	5	0	13	4	1	12	3	18	10	0	5	1	0	13	2	2	8	0	0	0	2	0	0	0	7	16	0	1	0	3	2	0	1	4	0	2	0	0	6	3	0	5	0	10	6	0									
10	Число действительных избирательных бюллетеней	18618	730	615	576	608	332	456	474	615	283	472	475	738	716	360	381	165	242	590	581	131	425	268	168	161	79	345	276	143	625	832	336	597	95	391	356	157	155	188	162	313	207	148	371	157	87	213	470	436	650	267									
