Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Сланцевская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840					
1	"Число избирателей, внесенных в списки"	39836	1567	1573	1384	1487	1573	1345	1581	1382	1409	1505	1423	1338	1773	1268	1373	1250	242	1685	1548	1355	1414	1310	578	120	790	1030	695	267	1789	1561	828	560	833					
2	"Число бюллетеней, полученных участковыми комиссиями"	39960	1560	1580	1400	1500	1580	1360	1600	1400	1420	1520	1430	1340	1780	1280	1370	1260	240	1650	1560	1360	1440	1310	570	110	790	1050	690	270	1790	1570	830	560	790					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17051	696	808	672	702	654	574	734	589	615	653	639	663	810	636	605	622	26	711	700	510	719	635	176	50	287	308	285	87	576	605	216	194	294					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1685	24	17	22	24	13	30	16	7	24	15	9	20	40	8	16	6	14	42	26	38	29	19	174	34	146	158	108	50	215	83	85	44	129					
6	Число погашенных бюллетеней	21224	840	755	706	774	913	756	850	804	781	852	782	657	930	636	749	632	200	897	834	812	692	656	220	26	357	584	297	133	999	882	529	322	367					
7	Число бюллетеней в переносных ящиках для голосования	1685	24	17	22	24	13	30	16	7	24	15	9	20	40	8	16	6	14	42	26	38	29	19	174	34	146	158	108	50	215	83	85	44	129					
8	Число бюллетеней в стационарных ящиках для голосования	17047	696	808	672	702	654	574	734	589	615	653	639	663	810	636	605	621	26	708	700	510	719	635	176	50	287	308	285	87	576	605	216	194	294					
9	Число недействительных бюллетеней	208	11	16	19	7	10	6	3	3	4	6	5	9	16	4	7	0	0	6	2	9	0	4	8	1	2	5	3	1	15	8	7	4	7					
10	Число действительных бюллетеней	18524	709	809	675	719	657	598	747	593	635	662	643	674	834	640	614	627	40	744	724	539	748	650	342	83	431	461	390	136	776	680	294	234	416					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	555	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	5	20	20	20	20	20	10	5	10	15	20	15	10	15	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	218	1	5	4	4	10	10	7	6	8	8	12	7	4	5	5	6	1	8	10	4	17	13	0	0	1	12	12	9	9	14	1	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	112	2	2	3	0	4	5	0	3	3	1	4	4	2	3	5	0	2	2	4	0	2	3	10	8	2	5	8	5	11	6	0	3	0					
14	Число погашенных открепительных удостоверений	337	19	15	16	16	10	10	13	14	12	12	8	13	16	15	15	14	4	12	10	16	3	7	10	5	9	3	8	6	1	1	9	9	6					
15	Число открепительных удостоверений выданных ТИК	8	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	212	7	14	8	4	4	9	10	4	5	5	12	8	8	6	10	6	0	6	9	9	10	7	2	3	5	4	7	3	7	5	11	1	3					
		1.13%	0.97%	1.69%	1.15%	0.55%	0.59%	1.49%	1.33%	0.67%	0.78%	0.74%	1.85%	1.17%	0.94%	0.93%	1.61%	0.95%	0.0%	0.8%	1.23%	1.64%	1.33%	1.07%	0.57%	3.57%	1.15%	0.85%	1.78%	2.18%	0.88%	0.72%	3.65%	0.42%	0.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	403	22	20	13	16	15	6	20	24	23	36	20	8	22	12	13	19	0	17	11	7	10	14	2	0	4	4	4	0	7	10	8	6	10					
		2.15%	3.05%	2.42%	1.87%	2.20%	2.24%	0.99%	2.66%	4.02%	3.59%	5.38%	3.08%	1.17%	2.58%	1.86%	2.09%	3.03%	0.0%	2.26%	1.51%	1.27%	1.33%	2.14%	0.57%	0.0%	0.92%	0.85%	1.01%	0.0%	0.88%	1.45%	2.65%	2.52%	2.36%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	853	27	27	27	30	43	29	31	23	45	24	14	36	46	53	24	19	1	43	36	47	61	38	15	0	5	9	11	4	34	15	12	4	20					
		4.55%	3.75%	3.27%	3.89%	4.13%	6.44%	4.80%	4.13%	3.85%	7.04%	3.59%	2.16%	5.27%	5.41%	8.22%	3.86%	3.03%	2.5%	5.73%	4.95%	8.57%	8.15%	5.81%	4.28%	0.0%	1.15%	1.93%	2.79%	2.91%	4.29%	2.18%	3.98%	1.68%	4.72%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	327	18	11	14	12	9	7	15	14	21	16	15	12	15	13	13	16	0	8	13	6	15	25	7	0	4	2	4	1	5	8	4	2	2					
		1.74%	2.5%	1.33%	2.01%	1.65%	1.34%	1.15%	2.0%	2.34%	3.28%	2.39%	2.31%	1.75%	1.76%	2.01%	2.09%	2.55%	0.0%	1.06%	1.79%	1.09%	2.00%	3.82%	2.0%	0.0%	0.92%	0.42%	1.01%	0.72%	0.63%	1.16%	1.32%	0.84%	0.47%					
22	"5. ""За Русь Святую"""	111	6	7	4	7	7	5	2	2	1	4	2	5	5	3	1	1	0	5	6	9	1	1	2	4	0	3	1	3	1	7	2	2	2					
		0.59%	0.83%	0.84%	0.57%	0.96%	1.04%	0.82%	0.26%	0.33%	0.15%	0.59%	0.30%	0.73%	0.58%	0.46%	0.16%	0.15%	0.0%	0.66%	0.82%	1.64%	0.13%	0.15%	0.57%	4.76%	0.0%	0.64%	0.25%	2.18%	0.12%	1.01%	0.66%	0.84%	0.47%					
23	"6. ""Объединенная Российская партия ""Русь"""	70	3	2	4	2	3	5	3	0	0	1	4	3	3	1	2	0	0	5	7	0	0	0	2	1	6	2	0	0	1	2	5	0	3					
		0.37%	0.41%	0.24%	0.57%	0.27%	0.44%	0.82%	0.4%	0.0%	0.0%	0.14%	0.61%	0.43%	0.35%	0.15%	0.32%	0.0%	0.0%	0.66%	0.96%	0.0%	0.0%	0.0%	0.57%	1.19%	1.38%	0.42%	0.0%	0.0%	0.12%	0.29%	1.66%	0.0%	0.70%					
24	"7. ""Новый курс - Автомобильная Россия"""	176	7	8	4	3	3	1	7	4	10	7	12	7	9	3	8	8	2	7	13	3	6	9	3	0	1	4	1	0	9	12	1	2	2					
		0.93%	0.97%	0.96%	0.57%	0.41%	0.44%	0.16%	0.93%	0.67%	1.56%	1.04%	1.85%	1.02%	1.05%	0.46%	1.28%	1.27%	5.0%	0.93%	1.79%	0.54%	0.80%	1.37%	0.85%	0.0%	0.23%	0.85%	0.25%	0.0%	1.13%	1.74%	0.33%	0.84%	0.47%					
25	"8. ""Народно-республиканская партия России"""	34	2	1	3	1	1	1	1	5	0	2	1	2	0	0	1	0	0	1	0	2	1	1	0	0	0	0	0	2	3	0	1	1	1					
		0.18%	0.27%	0.12%	0.43%	0.13%	0.14%	0.16%	0.13%	0.83%	0.0%	0.29%	0.15%	0.29%	0.0%	0.0%	0.16%	0.0%	0.0%	0.13%	0.0%	0.36%	0.13%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	1.45%	0.37%	0.0%	0.33%	0.42%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	1	0	1	2	1	0	0	0	0	0	1	1	4	1	2	0	0	1	0	1	0	0	2	2	0	0	0	1	1	0	0	0	2					
		0.12%	0.13%	0.0%	0.14%	0.27%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.14%	0.47%	0.15%	0.32%	0.0%	0.0%	0.13%	0.0%	0.18%	0.0%	0.0%	0.57%	2.38%	0.0%	0.0%	0.0%	0.72%	0.12%	0.0%	0.0%	0.0%	0.47%					
27	"10. ""Аграрная партия России"""	449	11	13	20	14	8	11	10	18	12	13	3	12	24	13	12	6	1	13	9	9	6	16	0	3	23	33	15	2	63	35	7	2	12					
		2.39%	1.52%	1.57%	2.88%	1.92%	1.19%	1.82%	1.33%	3.02%	1.87%	1.94%	0.46%	1.75%	2.82%	2.01%	1.93%	0.95%	2.5%	1.73%	1.23%	1.64%	0.80%	2.44%	0.0%	3.57%	5.31%	7.08%	3.81%	1.45%	7.96%	5.08%	2.32%	0.84%	2.83%					
28	"11. ""Истинные патриоты России"""	23	1	0	0	2	0	0	0	1	2	2	0	0	1	1	1	0	2	1	1	1	0	1	1	0	0	1	0	0	2	1	1	0	0					
		0.12%	0.13%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.16%	0.31%	0.29%	0.0%	0.0%	0.11%	0.15%	0.16%	0.0%	5.0%	0.13%	0.13%	0.18%	0.0%	0.15%	0.28%	0.0%	0.0%	0.21%	0.0%	0.0%	0.25%	0.14%	0.33%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	167	7	10	8	11	2	5	8	4	3	10	5	11	7	6	7	7	0	5	4	5	5	10	10	0	1	0	2	0	7	0	2	3	2					
		0.89%	0.97%	1.21%	1.15%	1.51%	0.29%	0.82%	1.06%	0.67%	0.46%	1.49%	0.77%	1.61%	0.82%	0.93%	1.12%	1.11%	0.0%	0.66%	0.55%	0.91%	0.66%	1.52%	2.85%	0.0%	0.23%	0.0%	0.50%	0.0%	0.88%	0.0%	0.66%	1.26%	0.47%					
30	"13. ""Демократическая партия России"""	57	0	5	2	1	0	4	2	1	0	2	0	2	3	0	4	1	0	3	5	0	0	4	1	0	1	3	2	2	2	2	3	0	2					
		0.30%	0.0%	0.60%	0.28%	0.13%	0.0%	0.66%	0.26%	0.16%	0.0%	0.29%	0.0%	0.29%	0.35%	0.0%	0.64%	0.15%	0.0%	0.4%	0.68%	0.0%	0.0%	0.61%	0.28%	0.0%	0.23%	0.64%	0.50%	1.45%	0.25%	0.29%	0.99%	0.0%	0.47%					
