Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Камызякская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
1	"Число избирателей, внесенных в список избирателей"	37622	1175	1186	660	1892	735	950	574	1072	1464	1078	1542	884	254	755	687	100	154	1747	803	934	139	309	86	1031	434	189	260	1677	466	323	1009	2025	692	134	1140	385	563	195	809	293	1218	912	308	215	785	1052	151	126	861	146	1043					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38293	1204	1180	578	1954	750	940	540	1018	1511	1111	1555	913	265	786	699	103	153	1774	835	937	147	314	90	1072	443	201	271	1738	487	325	1032	2070	704	139	1161	390	580	197	858	297	1251	938	312	219	790	1069	155	128	881	149	1079					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18296	557	472	408	878	373	437	281	494	860	523	707	394	141	338	350	57	65	785	343	382	87	184	75	458	186	84	106	804	248	234	474	735	366	73	446	99	424	147	454	190	645	271	174	132	583	463	80	77	574	99	479					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2525	14	106	19	20	27	17	13	39	16	25	19	61	16	48	41	13	28	69	111	72	0	19	0	110	40	0	17	90	21	18	102	456	66	3	67	77	30	9	106	30	112	86	28	34	33	98	0	12	42	22	23					
6	Число погашенных избирательных бюллетеней	17472	633	602	151	1056	350	486	246	485	635	563	829	458	108	400	308	33	60	920	381	483	60	111	15	504	217	117	148	844	218	73	456	879	272	63	648	214	126	41	298	77	494	581	110	53	174	508	75	39	265	28	577					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2525	14	106	19	20	27	17	13	39	16	25	19	61	16	48	41	13	28	69	111	72	0	19	0	110	40	0	17	90	21	18	102	456	66	3	67	77	30	9	106	30	112	86	28	34	33	98	0	12	42	22	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18290	557	472	408	878	373	431	281	494	860	523	707	394	141	338	350	57	65	785	343	382	87	184	75	458	186	84	106	804	248	234	474	735	366	73	446	99	424	147	454	190	645	271	174	132	583	463	80	77	574	99	479					
9	Число недействительных избирательных бюллетеней	365	11	12	12	21	12	6	5	12	19	10	9	11	0	5	0	3	1	17	1	6	0	5	0	10	4	1	5	15	12	3	10	8	13	6	16	5	3	1	3	2	14	15	8	2	0	9	0	1	6	2	13					
10	Число действительных избирательных бюллетеней	20450	560	566	415	877	388	442	289	521	857	538	717	444	157	381	391	67	92	837	453	448	87	198	75	558	222	83	118	879	257	249	566	1183	419	70	497	171	451	155	557	218	743	342	194	164	616	552	80	88	610	119	489					
