Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Камызякская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230					
1	"Число избирателей, внесенных в списки избирателей"	37244	980	1778	347	685	131	1098	368	1228	815	292	549	1863	759	903	555	1026	1517	1137	1398	935	276	757	679	164	94	248	1268	431	526	216	862	310	824	948	332	134	77	1250	901	308	199	787	1010	411	180	1052	130	143	1348	432	227	877	148	1009	322					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37624	1013	1802	355	710	135	1135	379	1208	814	286	551	1838	779	911	545	996	1514	1150	1421	951	275	767	690	159	92	255	1270	444	535	214	856	307	827	953	344	138	80	1267	917	303	203	792	1043	414	184	1050	135	146	1394	438	240	883	146	1044	326					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	20266	447	868	150	385	89	482	202	707	465	173	337	1011	452	520	325	582	954	655	736	464	149	324	360	104	58	128	625	184	361	120	494	195	339	387	176	99	58	608	402	197	122	591	475	211	130	546	104	100	777	252	142	514	96	615	219					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1842	99	139	184	41	4	47	10	27	46	0	0	22	27	24	22	56	12	27	14	52	19	28	32	17	5	18	25	33	12	7	73	24	49	57	19	0	0	37	97	16	20	38	73	31	1	68	0	9	46	21	18	42	17	18	19					
6	Число погашенных избирательных бюллетеней	15516	467	795	21	284	42	606	167	474	303	113	214	805	300	367	198	358	548	468	671	435	107	415	298	38	29	109	620	227	162	87	289	88	439	509	149	39	22	622	418	90	61	163	495	172	53	436	31	37	571	165	80	327	33	411	88					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1842	99	139	184	41	4	47	10	27	46	0	0	22	27	24	22	56	12	27	14	52	19	28	32	17	5	18	25	33	12	7	73	24	49	57	19	0	0	37	97	16	20	38	73	31	1	68	0	9	46	21	18	42	17	18	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20263	447	868	150	385	89	482	202	707	465	173	337	1011	452	520	325	582	954	655	736	464	149	324	360	104	58	128	625	184	361	120	494	195	339	387	176	99	58	608	402	197	122	591	475	211	130	546	104	100	775	252	142	514	96	614	219					
9	Число недействительных избирательных бюллетеней	417	16	11	5	16	3	12	10	9	12	11	8	5	13	7	12	12	14	12	16	7	0	3	12	0	2	3	12	4	7	4	7	4	5	2	5	0	1	19	19	3	10	5	19	3	1	8	3	0	11	8	7	3	1	13	2					
10	Число действительных избирательных бюллетеней	21688	530	996	329	410	90	517	202	725	499	162	329	1028	466	537	335	626	952	670	734	509	168	349	380	121	61	143	638	213	366	123	560	215	383	442	190	99	57	626	480	210	132	624	529	239	130	606	101	109	810	265	153	553	112	619	236					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	340	9	14	0	8	1	11	2	19	5	2	0	14	7	10	5	8	10	10	11	10	4	4	4	1	0	1	5	7	5	2	7	1	10	10	6	4	0	10	7	0	2	3	8	7	3	11	0	0	18	5	6	10	2	18	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	316	7	14	0	8	1	11	2	19	5	2	0	14	7	10	2	8	10	6	11	9	2	3	2	0	0	1	5	7	5	0	6	1	8	10	5	4	0	10	7	0	2	3	7	7	3	11	0	0	18	5	6	10	1	18	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	183	2	15	0	2	2	5	1	9	3	4	2	8	1	2	3	8	3	3	7	6	0	2	3	1	0	0	2	2	0	1	28	3	0	2	3	1	1	4	2	0	1	3	6	3	1	9	0	1	3	0	1	5	1	6	2					
14	Число погашенных неиспользованных открепительных удостоверений	24	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	1	2	1	2	1	0	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
