Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Максатихинская																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677	УИК  678	УИК  679	УИК  680	УИК  681	УИК  682	УИК  683	УИК  684	УИК  685	УИК  686	УИК  687	УИК  688	УИК  689	УИК  690	УИК  691	УИК  692	УИК  693	УИК  694	УИК  1366					
1	"Число избирателей, внесенных в списки"	16319	1765	2211	2403	1502	246	151	197	206	467	561	207	340	140	207	245	553	317	279	223	166	178	594	319	278	568	448	330	440	213	344	110	111					
2	"Число бюллетеней, полученных участковыми комиссиями"	16217	1730	2220	2370	1480	245	153	209	202	460	508	209	340	144	212	262	544	332	274	223	167	182	614	310	263	560	454	322	450	218	345	108	107					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7862	877	1148	1282	719	124	66	69	109	169	236	110	230	62	80	93	250	186	94	93	87	55	288	148	140	283	154	193	170	85	173	64	25					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1930	94	41	31	44	58	47	83	53	90	99	71	36	33	33	59	80	46	69	21	45	61	66	75	64	42	141	39	122	58	62	10	57					
6	Число погашенных бюллетеней	6425	759	1031	1057	717	63	40	57	40	201	173	28	74	49	99	110	214	100	111	109	35	66	260	87	59	235	159	90	158	75	110	34	25					
7	Число бюллетеней в переносных ящиках для голосования	1929	94	41	31	44	58	47	83	53	90	99	71	36	33	33	59	80	46	69	21	45	61	66	74	64	42	141	39	122	58	62	10	57					
8	Число бюллетеней в стационарных ящиках для голосования	7862	877	1148	1282	719	124	66	69	109	169	236	110	230	62	80	93	250	186	94	93	87	55	288	148	140	283	154	193	170	85	173	64	25					
9	Число недействительных бюллетеней	142	16	17	15	9	2	1	2	2	3	8	1	7	0	0	1	4	2	2	6	2	0	16	5	0	10	3	0	0	3	3	1	1					
10	Число действительных бюллетеней	9649	955	1172	1298	754	180	112	150	160	256	327	180	259	95	113	151	326	230	161	108	130	116	338	217	204	315	292	232	292	140	232	73	81					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	18	18	19	18	9	8	9	9	11	11	9	10	6	7	8	11	8	8	6	6	6	9	8	7	9	8	8	8	7	8	6	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	62	6	7	9	6	0	0	0	0	1	2	2	2	0	0	2	0	4	0	0	5	0	3	4	0	1	2	0	5	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	16	7	7	1	0	0	0	1	1	2	1	4	0	0	0	3	0	1	1	1	1	2	2	2	1	4	3	2	0	1	0	2					
14	Число погашенных открепительных удостоверений	237	12	11	10	12	9	8	9	9	10	9	7	8	6	7	6	11	4	8	6	1	6	6	4	7	8	6	8	3	7	7	6	6					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
18	"1. ""ЕДИНЕНИЕ"""	172	22	17	12	14	5	3	2	1	8	7	7	5	1	1	5	3	2	3	3	3	2	8	8	6	3	8	2	5	1	3	1	1					
		1.75%	2.26%	1.42%	0.91%	1.83%	2.74%	2.65%	1.31%	0.61%	3.08%	2.08%	3.86%	1.87%	1.05%	0.88%	3.28%	0.90%	0.86%	1.84%	2.63%	2.27%	1.72%	2.25%	3.60%	2.94%	0.92%	2.71%	0.86%	1.71%	0.69%	1.27%	1.35%	1.21%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	148	22	14	42	11	2	1	0	1	6	2	1	2	2	5	0	8	4	2	0	1	0	1	2	0	3	6	1	4	2	1	1	1					
