Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Фировская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365					
1	"Число избирателей, внесенных в список"	9345	2220	2171	512	248	222	616	371	476	939	261	318	286	369	164	172					
2	Число полученных избирательных бюллетеней	9120	2200	2150	520	230	210	610	350	460	900	240	300	270	340	161	179					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4910	1073	1118	363	141	97	399	217	351	484	147	164	141	64	80	71					
5	"Число избирательных бюллетеней, выданных вне помещения"	1109	97	106	31	34	28	92	82	24	157	51	42	36	195	66	68					
6	Число погашенных избирательных бюллетеней	3101	1030	926	126	55	85	119	51	85	259	42	94	93	81	15	40					
7	Число избирательных бюллетеней в переносных ящиках	1109	97	106	31	34	28	92	82	24	157	51	42	36	195	66	68					
8	Число бюллетеней в стационарных ящиках для голосования	4908	1073	1117	363	141	97	399	216	351	484	147	164	141	64	80	71					
9	Число недействительных избирательных бюллетеней	33	7	12	0	0	0	5	0	0	3	1	2	2	1	0	0					
10	Число действительных избирательных бюллетеней	5984	1163	1211	394	175	125	486	298	375	638	197	204	175	258	146	139					
11	Число полученных открепительных  удостоверений	193	23	30	50	5	5	10	5	10	10	5	5	5	0	20	10					
12	Число выданных открепительных удостоверений	128	20	15	50	0	0	7	2	1	5	0	2	0	0	20	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	49	7	8	3	3	0	2	0	3	6	4	1	2	3	5	2					
14	Число неиспользованных открепительных удостоверений	65	3	15	0	5	5	3	3	9	5	5	3	5	0	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	7	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	81	20	19	2	6	4	3	1	2	7	3	5	2	5	0	2					
		1.35%	1.71%	1.55%	0.51%	3.43%	3.20%	0.61%	0.34%	0.53%	1.09%	1.52%	2.43%	1.13%	1.93%	0.00%	1.44%					
19	. Малышкин Олег Александрович	104	22	20	8	4	9	5	2	8	4	2	7	3	3	3	4					
		1.73%	1.88%	1.64%	2.03%	2.29%	7.20%	1.02%	0.67%	2.13%	0.62%	1.01%	3.40%	1.69%	1.16%	2.05%	2.88%					
20	. Миронов Сергей Михайлович	55	17	9	2	4	2	0	1	1	6	1	4	1	5	0	2					
		0.91%	1.45%	0.74%	0.51%	2.29%	1.60%	0.00%	0.34%	0.27%	0.94%	0.51%	1.94%	0.56%	1.93%	0.00%	1.44%					
21	. Путин Владимир Владимирович	4893	913	1023	297	110	91	445	275	331	538	147	153	121	209	132	108					
		81.32%	78.03%	83.65%	75.38%	62.86%	72.80%	90.63%	92.28%	88.27%	83.93%	74.24%	74.27%	68.36%	80.69%	90.41%	77.70%					
22	. Хакамада Ирина Муцуовна	81	27	13	4	0	0	1	5	7	2	6	6	2	1	4	3					
		1.35%	2.31%	1.06%	1.02%	0.00%	0.00%	0.20%	1.68%	1.87%	0.31%	3.03%	2.91%	1.13%	0.39%	2.74%	2.16%					
23	. Харитонов Николай Михайлович	678	143	95	78	47	17	31	11	19	75	38	27	40	32	7	18					
		11.27%	12.22%	7.77%	19.80%	26.86%	13.60%	6.31%	3.69%	5.07%	11.70%	19.19%	13.11%	22.60%	12.36%	4.79%	12.95%					
																						
24	Против всех	92	21	32	3	4	2	1	3	7	6	0	2	6	3	0	2					
		1.53%	1.79%	2.62%	0.76%	2.29%	1.60%	0.20%	1.01%	1.87%	0.94%	0.00%	0.97%	3.39%	1.16%	0.00%	1.44%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
