Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Елабужская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8729	295	502	208	220	283	199	399	534	179	122	306	224	689	367	438	186	337	452	1548	196	387	219	439									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8672	288	507	216	229	282	198	391	526	183	121	307	218	696	365	444	187	337	448	1480	196	385	228	440									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7984	254	480	198	197	269	173	374	516	177	120	274	202	631	337	419	158	323	431	1278	185	368	196	424									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	504	34	12	6	12	7	23	17	10	0	0	26	16	46	22	12	24	8	8	179	8	12	16	6									
6	Число погашенных избирательных бюллетеней	184	0	15	12	20	6	2	0	0	6	1	7	0	19	6	13	5	6	9	23	3	5	16	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	504	34	12	6	12	7	23	17	10	0	0	26	16	46	22	12	24	8	8	179	8	12	16	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7984	254	480	198	197	269	173	374	516	177	120	274	202	631	337	419	158	323	431	1278	185	368	196	424									
9	Число недействительных избирательных бюллетеней	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	8486	288	492	204	209	275	196	391	526	177	120	300	218	677	358	431	182	331	439	1457	193	380	212	430									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	248	5	10	10	9	5	5	10	20	5	5	10	10	25	10	15	5	10	10	30	5	15	10	9									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	106	0	5	10	9	2	1	1	1	5	2	4	2	15	1	4	5	1	1	17	2	5	10	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	7	1	3	2	0	2	9	12	1	3	4	7	9	3	0	14	1	5	8	0	8	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	142	5	5	0	0	3	4	9	19	0	3	6	8	10	9	11	0	9	9	13	3	10	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	1	0	0	0	0	1	0	0	0	0	2	0	1	1	2	0	0	0	1	0	0	1	1									
		0.13%	0.35%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.15%	0.28%	0.46%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.47%	0.23%									
