Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Тарногская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745					
1	"Число избирателей, внесенных в список избирателей"	10876	2226	2270	499	184	414	280	376	100	410	220	174	417	114	176	512	160	521	273	262	350	119	88	513	218					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11450	2100	2100	550	200	400	350	450	100	500	250	200	500	150	200	500	150	600	300	250	550	150	100	550	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5594	1209	1167	249	121	196	150	181	62	183	81	102	187	76	104	185	89	324	124	130	257	79	54	207	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1742	150	170	44	21	87	44	94	13	132	79	30	134	15	29	180	30	93	53	66	93	9	8	123	45					
6	Число погашенных избирательных бюллетеней	4114	741	763	257	58	117	156	175	25	185	90	68	179	59	67	135	31	183	123	54	200	62	38	220	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1742	150	170	44	21	87	44	94	13	132	79	30	134	15	29	180	30	93	53	66	93	9	8	123	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5594	1209	1167	249	121	196	150	181	62	183	81	102	187	76	104	185	89	324	124	130	257	79	54	207	77					
9	Число недействительных избирательных бюллетеней	86	21	23	4	2	4	1	1	1	1	0	2	4	1	0	3	0	4	0	4	5	2	1	1	1					
10	Число действительных избирательных бюллетеней	7250	1338	1314	289	140	279	193	274	74	314	160	130	317	90	133	362	119	413	177	192	345	86	61	329	121					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	473	55	39	10	15	16	25	25	12	25	18	25	30	9	8	25	11	25	10	13	25	5	5	16	26					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	439	53	36	5	14	16	25	25	12	14	18	25	30	9	8	25	11	25	8	13	15	5	5	16	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	32	36	7	4	5	1	6	6	3	7	2	6	2	3	2	5	4	9	6	3	5	0	6	1					
14	Число погашенных неиспользованных открепительных удостоверений	34	2	3	5	1	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	10	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	5	4	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1653	414	445	57	30	41	49	43	20	83	18	19	43	15	12	64	21	87	39	21	61	4	9	33	25					
		22.53%	30.46%	33.28%	19.45%	21.13%	14.49%	25.26%	15.64%	26.67%	26.35%	11.25%	14.39%	13.40%	16.48%	9.02%	17.53%	17.65%	20.86%	22.03%	10.71%	17.43%	4.55%	14.52%	10.00%	20.49%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	968	153	140	45	17	41	40	41	9	52	19	22	47	17	24	60	20	39	15	28	49	18	18	41	13					
		13.20%	11.26%	10.47%	15.36%	11.97%	14.49%	20.62%	14.91%	12.00%	16.51%	11.88%	16.67%	14.64%	18.68%	18.05%	16.44%	16.81%	9.35%	8.47%	14.29%	14.00%	20.45%	29.03%	12.42%	10.66%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	80	20	10	1	2	2	1	4	0	6	2	1	1	3	1	4	0	7	3	1	3	2	0	4	2					
		1.09%	1.47%	0.75%	0.34%	1.41%	0.71%	0.52%	1.45%	0.00%	1.90%	1.25%	0.76%	0.31%	3.30%	0.75%	1.10%	0.00%	1.68%	1.69%	0.51%	0.86%	2.27%	0.00%	1.21%	1.64%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1023	202	231	56	12	46	23	21	3	57	30	12	40	28	13	42	26	40	17	21	40	9	10	25	19					
		13.94%	14.86%	17.28%	19.11%	8.45%	16.25%	11.86%	7.64%	4.00%	18.10%	18.75%	9.09%	12.46%	30.77%	9.77%	11.51%	21.85%	9.59%	9.60%	10.71%	11.43%	10.23%	16.13%	7.58%	15.57%					
