Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Арманская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52					
1	"Число избирателей, внесенных в список избирателей"	2119	1122	72	385	249	291					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2367	1167	83	416	305	396					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1357	702	57	242	164	192					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	153	103	0	28	14	8					
6	Число погашенных избирательных бюллетеней	857	362	26	146	127	196					
7	Число избирательных бюллетеней в переносных ящиках для голосования	153	103	0	28	14	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1357	702	57	242	164	192					
9	Число недействительных избирательных бюллетеней	9	5	1	0	1	2					
10	Число действительных избирательных бюллетеней	1501	800	56	270	177	198					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	117	47	10	20	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	88	42	2	4	20	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	16	6	1	6	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	29	5	8	16	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	112	44	0	19	9	40					
		7.42%	5.47%	0.00%	7.04%	5.06%	20.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	200	101	7	46	26	20					
		13.25%	12.55%	12.28%	17.04%	14.61%	10.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	13	0	3	3	4					
		1.52%	1.61%	0.00%	1.11%	1.69%	2.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	218	134	10	32	11	31					
		14.44%	16.65%	17.54%	11.85%	6.18%	15.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	9	0	2	3	1					
		0.99%	1.12%	0.00%	0.74%	1.69%	0.50%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	932	498	39	168	125	102					
		61.72%	61.86%	68.42%	62.22%	70.22%	51.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1	1	0	0	0	0					
		0.07%	0.12%	0.00%	0.00%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
