Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Богородская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4195	545	610	685	597	132	147	289	125	247	220	366	232									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4460	580	624	718	618	150	161	320	139	266	237	387	260									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1951	259	262	285	286	59	77	174	72	87	124	168	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	380	35	23	46	44	23	20	20	10	52	25	17	65									
6	Число погашенных избирательных бюллетеней	2129	286	339	387	288	68	64	126	57	127	88	202	97									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	380	35	23	46	44	23	20	20	10	52	25	17	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1949	257	262	285	286	59	77	174	72	87	124	168	98									
9	Число недействительных избирательных бюллетеней	52	5	4	11	8	3	2	2	3	1	6	6	1									
10	Число действительных избирательных бюллетеней	2277	287	281	320	322	79	95	192	79	138	143	179	162									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	207	21	8	24	16	10	10	35	9	20	15	20	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	207	21	8	24	16	10	10	35	9	20	15	20	19									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	3	6	4	5	1	1	4	1	1	1	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	11	4	6	8	0	0	0	3	0	0	0	11									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	0	4	3	4	2	1	1	2	4	0	0	2									
		0.99%	0.00%	1.40%	0.91%	1.21%	2.44%	1.03%	0.52%	2.44%	2.88%	0.00%	0.00%	1.23%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	48	2	4	3	9	3	2	4	3	3	4	6	5									
