Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Невьянская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546					
1	"Число избирателей, внесенных в списки"	35961	2343	2157	2205	2225	2592	1874	1555	1184	975	967	1032	777	1054	102	331	66	2316	2657	2325	674	328	321	1906	367	136	538	131	225	38	570	417	145	652	150	195	431					
2	"Число бюллетеней, полученных участковыми комиссиями"	32234	2130	1930	1990	2020	2335	1700	1390	1050	875	860	910	695	915	102	295	65	2100	2390	2055	585	297	285	1700	313	132	487	127	195	40	505	357	136	573	137	191	367					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16083	835	914	1121	1028	1276	982	795	516	283	369	350	307	433	96	133	39	1048	1051	972	265	131	150	816	183	80	287	70	127	32	279	226	79	382	84	106	238					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	854	40	48	38	44	30	29	77	22	65	17	32	13	19	6	9	7	15	28	47	9	18	23	10	13	22	17	9	34	1	45	9	6	13	7	5	27					
6	Число погашенных бюллетеней	15297	1255	968	831	948	1029	689	518	512	527	474	528	375	463	0	153	19	1037	1311	1036	311	148	112	874	117	30	183	48	34	7	181	122	51	178	46	80	102					
7	Число бюллетеней в переносных ящиках для голосования	854	40	48	38	44	30	29	77	22	65	17	32	13	19	6	9	7	15	28	47	9	18	23	10	13	22	17	9	34	1	45	9	6	13	7	5	27					
8	Число бюллетеней в стационарных ящиках для голосования	16082	835	914	1120	1028	1276	982	795	516	283	369	350	307	433	96	133	39	1048	1051	972	265	131	150	816	183	80	287	70	127	32	279	226	79	382	84	106	238					
9	Число недействительных бюллетеней	306	8	16	12	15	15	12	12	7	4	5	14	6	10	0	4	0	46	15	11	8	0	1	14	3	6	11	4	0	0	6	6	5	11	6	6	7					
10	Число действительных бюллетеней	16630	867	946	1146	1057	1291	999	860	531	344	381	368	314	442	102	138	46	1017	1064	1008	266	149	172	812	193	96	293	75	161	33	318	229	80	384	85	105	258					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	349	19	15	20	20	20	15	10	10	10	10	10	10	10	0	5	5	15	15	20	10	5	5	10	5	5	5	5	5	5	10	5	5	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	109	9	6	13	7	11	11	5	1	1	3	2	0	1	0	0	0	4	7	12	0	0	5	2	1	0	0	0	0	0	1	0	0	5	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	172	4	11	13	4	8	5	3	4	1	1	0	2	5	3	3	4	3	5	12	15	0	4	9	6	3	4	1	2	4	6	0	3	1	5	3	15					
14	Число погашенных открепительных удостоверений	240	10	9	7	13	9	4	5	9	9	7	8	10	9	0	5	5	11	8	8	10	5	0	8	4	5	5	5	5	5	9	5	5	5	5	3	10					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	177	7	7	11	11	16	9	3	2	5	2	2	5	8	1	0	1	9	10	7	2	0	1	12	2	3	8	0	2	1	6	2	3	9	2	3	5					
		1.04%	0.8%	0.72%	0.94%	1.02%	1.22%	0.89%	0.34%	0.37%	1.43%	0.51%	0.52%	1.56%	1.76%	0.98%	0.0%	2.17%	0.84%	0.92%	0.68%	0.72%	0.0%	0.57%	1.45%	1.02%	2.94%	2.63%	0.0%	1.24%	3.03%	1.85%	0.85%	3.52%	2.27%	2.19%	2.70%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	826	46	55	37	41	87	35	48	23	10	12	25	7	32	5	6	4	67	103	41	12	0	0	41	6	2	10	4	4	1	10	10	3	14	1	8	16					
		4.87%	5.25%	5.71%	3.19%	3.82%	6.66%	3.46%	5.50%	4.27%	2.87%	3.10%	6.54%	2.18%	7.07%	4.90%	4.22%	8.69%	6.30%	9.54%	4.02%	4.37%	0.0%	0.0%	4.96%	3.06%	1.96%	3.28%	5.06%	2.48%	3.03%	3.08%	4.25%	3.52%	3.54%	1.09%	7.20%	6.03%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	622	26	26	50	40	27	46	32	19	13	13	11	8	16	6	2	2	49	38	65	12	4	17	25	9	1	6	2	2	0	10	15	6	12	1	6	5					
		3.67%	2.97%	2.70%	4.31%	3.73%	2.06%	4.54%	3.66%	3.53%	3.73%	3.36%	2.87%	2.5%	3.53%	5.88%	1.40%	4.34%	4.60%	3.52%	6.37%	4.37%	2.68%	9.82%	3.02%	4.59%	0.98%	1.97%	2.53%	1.24%	0.0%	3.08%	6.38%	7.05%	3.03%	1.09%	5.40%	1.88%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	640	37	44	65	41	70	58	47	32	10	14	14	14	11	2	4	0	30	47	28	6	5	0	25	1	2	2	0	1	0	8	7	2	9	0	0	4					
		3.77%	4.22%	4.57%	5.61%	3.82%	5.35%	5.73%	5.38%	5.94%	2.87%	3.62%	3.66%	4.37%	2.43%	1.96%	2.81%	0.0%	2.82%	4.35%	2.74%	2.18%	3.35%	0.0%	3.02%	0.51%	1.96%	0.65%	0.0%	0.62%	0.0%	2.46%	2.97%	2.35%	2.27%	0.0%	0.0%	1.50%					
