Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    район Северный											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №776	УИК №777	УИК №778	УИК №779					
1	"Число избирателей, внесенных в списки избирателей"	6937	324	2282	2530	1801					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	5550	300	1800	2050	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4323	196	1459	1566	1102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	228	0	39	132	57					
6	Число погашенных избирательных бюллетеней	999	104	302	352	241					
7	Число избирательных бюллетеней в переносных ящиках для голосования	227	0	39	131	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4300	196	1440	1563	1101					
9	Число недействительных избирательных бюллетеней	85	0	36	35	14					
10	Число действительных избирательных бюллетеней	4442	196	1443	1659	1144					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	170	20	50	60	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	146	8	47	54	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	138	39	38	18	43					
14	Число погашенных неиспользованных открепительных удостоверений	24	12	3	6	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	1	13	8	8					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	169	4	50	78	37					
		3.73%	2.04%	3.38%	4.60%	3.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	92	6	21	43	22					
		2.03%	3.06%	1.42%	2.54%	1.90%					
20	3.Политическая партия «Демократическая партия России»	15	5	3	5	2					
		0.33%	2.55%	0.20%	0.30%	0.17%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	500	8	136	189	167					
		11.04%	4.08%	9.20%	11.16%	14.42%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	73	8	15	34	16					
		1.61%	4.08%	1.01%	2.01%	1.38%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	3	8	3					
		0.33%	0.51%	0.20%	0.47%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	418	16	162	142	98					
		9.23%	8.16%	10.95%	8.38%	8.46%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	393	8	120	156	109					
		8.68%	4.08%	8.11%	9.21%	9.41%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	72	0	24	34	14					
		1.59%	0.00%	1.62%	2.01%	1.21%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2555	135	863	926	631					
		56.44%	68.88%	58.35%	54.66%	54.49%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	140	5	46	44	45					
		3.09%	2.55%	3.11%	2.60%	3.89%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
