Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Абдулинская городская																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25823	2240	1648	1620	1516	1932	1905	1945	1428	1712	1712	257	259	655	205	309	153	258	216	510	189	140	358	241	312	841	250	267	606	99	192	484	444	527	393									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25420	2200	1600	1600	1500	1900	1900	1900	1400	1700	1700	250	250	650	200	300	150	250	200	500	180	130	350	240	300	840	250	260	600	90	190	480	440	530	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8831	644	436	437	444	523	577	599	378	640	551	136	145	225	94	160	61	126	123	172	90	64	146	105	108	333	128	92	268	56	107	185	215	305	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	802	33	22	16	19	20	15	18	18	12	28	4	12	46	20	14	16	22	10	66	20	11	63	18	11	51	16	38	50	9	7	43	27	13	14									
6	Число погашенных избирательных бюллетеней	15787	1523	1142	1147	1037	1357	1308	1283	1004	1048	1121	110	93	379	86	126	73	102	67	262	70	55	141	117	181	456	106	130	282	25	76	252	198	212	218									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	802	33	22	16	19	20	15	18	18	12	28	4	12	46	20	14	16	22	10	66	20	11	63	18	11	51	16	38	50	9	7	43	27	13	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8831	644	436	437	444	523	577	599	378	640	551	136	145	225	94	160	61	126	123	172	90	64	146	105	108	333	128	92	268	56	107	185	215	305	158									
9	Число недействительных избирательных бюллетеней	140	6	9	10	16	3	6	8	5	2	4	3	4	6	0	0	0	3	1	3	2	0	2	1	7	7	1	0	5	3	1	14	6	0	2									
10	Число действительных избирательных бюллетеней	9493	671	449	443	447	540	586	609	391	650	575	137	153	265	114	174	77	145	132	235	108	75	207	122	112	377	143	130	313	62	113	214	236	318	170									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	236	12	11	11	11	11	11	11	11	11	11	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	12	4	3	8	7	5	11	1	5	8	2	10	2	1	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	2	5	4	5	5	2	2	2	2	5	2	0	1	2	0	1	2	0	2	1	2	1	0	1	2	1	1	2	0	1	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	147	0	7	8	3	4	6	0	10	6	3	3	0	3	4	5	5	4	4	5	5	5	5	5	4	4	5	5	4	5	5	5	4	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	2	0	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	7	6	2	4	3	1	2	3	5	3	1	1	2	0	1	0	0	1	0	0	0	0	1	0	3	1	0	2	1	1	0	0	0	2									
		0.55%	1.03%	1.31%	0.44%	0.86%	0.55%	0.17%	0.32%	0.76%	0.77%	0.52%	0.71%	0.64%	0.74%	0.00%	0.57%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.81%	0.00%	0.78%	0.69%	0.00%	0.63%	1.54%	0.88%	0.00%	0.00%	0.00%	1.16%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	289	21	12	24	10	14	18	18	9	12	23	5	4	22	2	6	3	10	1	4	3	1	6	2	7	8	5	4	8	1	0	6	3	10	7									
