Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Суворовская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741					
1	"Число избирателей, внесенных в список избирателей"	29806	2036	1104	1609	1671	1925	1968	1281	1247	1300	1964	436	70	307	376	509	354	1001	924	1028	178	269	280	98	375	93	149	206	85	916	261	154	106	125	284	217	89	273	1080	386	988	589	305	481	467	242					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30620	2070	1110	1590	1680	2020	1920	1190	1240	1300	2010	430	80	340	400	550	380	1100	1000	1070	240	290	290	100	400	90	210	200	80	950	270	170	100	120	290	230	100	310	1130	420	1030	610	320	460	480	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20455	1361	796	1081	1223	1349	1707	911	1010	913	1349	208	7	231	261	454	258	723	626	743	100	141	200	90	231	56	63	121	61	436	137	95	43	72	113	75	60	88	800	265	775	483	162	232	216	129					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3692	99	138	247	85	111	41	48	80	63	154	94	63	43	44	27	24	52	72	43	52	81	78	8	71	23	75	25	14	154	86	49	57	23	102	87	22	175	138	74	120	59	131	165	208	87					
6	Число погашенных избирательных бюллетеней	6473	610	176	262	372	560	172	231	150	324	507	128	10	66	95	69	98	325	302	284	88	68	12	2	98	11	72	54	5	360	47	26	0	25	75	68	18	47	192	81	135	68	27	63	56	34					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3692	99	138	247	85	111	41	48	80	63	154	94	63	43	44	27	24	52	72	43	52	81	78	8	71	23	75	25	14	154	86	49	57	23	102	87	22	175	138	74	120	59	131	165	208	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20455	1361	796	1081	1223	1349	1707	911	1010	913	1349	208	7	231	261	454	258	723	626	743	100	141	200	90	231	56	63	121	61	436	137	95	43	72	113	75	60	88	800	265	775	483	162	232	216	129					
9	Число недействительных избирательных бюллетеней	205	11	4	6	6	20	21	10	7	10	11	4	1	4	6	2	2	8	10	5	2	2	0	0	4	0	1	1	1	6	13	0	0	2	2	0	0	0	1	0	6	5	2	2	2	5					
10	Число действительных избирательных бюллетеней	23942	1449	930	1322	1302	1440	1727	949	1083	966	1492	298	69	270	299	479	280	767	688	781	150	220	278	98	298	79	137	145	74	584	210	144	100	93	213	162	82	263	937	339	889	537	291	395	422	211					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	20	10	21	12	38	23	23	17	24	28	6	0	10	10	10	15	16	17	20	10	9	4	2	5	10	9	5	17	17	5	5	0	5	1	8	10	5	14	5	10	12	5	5	5	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	493	16	7	21	12	38	23	21	17	24	28	6	0	10	10	10	15	16	17	20	10	9	4	2	5	10	9	3	17	17	5	5	0	2	1	8	10	5	14	5	10	12	5	2	5	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1165	45	26	87	90	45	135	71	90	73	66	24	6	18	13	14	23	31	14	22	22	9	22	11	11	6	3	2	8	15	5	2	7	6	10	4	3	5	7	4	7	80	4	6	7	6					
14	Число погашенных неиспользованных открепительных удостоверений	17	4	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1485	68	31	56	72	82	60	40	60	36	73	8	0	30	31	49	41	105	57	38	72	23	32	0	31	0	59	0	0	29	9	10	1	1	18	14	7	32	44	25	44	31	15	17	23	11					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1339	96	67	69	70	137	26	66	54	40	161	22	8	14	22	31	36	43	32	74	4	10	2	2	46	0	3	10	5	52	12	8	3	1	16	3	5	0	17	9	35	13	2	6	0	7					
		5.55%	6.58%	7.17%	5.20%	5.35%	9.38%	1.49%	6.88%	4.95%	4.10%	10.71%	7.28%	11.43%	5.11%	7.21%	6.44%	12.77%	5.55%	4.58%	9.41%	2.63%	4.50%	0.72%	2.04%	15.23%	0.00%	2.17%	6.85%	6.67%	8.81%	5.38%	5.56%	3.00%	1.05%	7.44%	1.85%	6.10%	0.00%	1.81%	2.65%	3.91%	2.40%	0.68%	1.51%	0.00%	3.24%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1972	106	61	113	142	113	321	83	238	21	116	24	7	26	34	34	23	45	25	83	14	10	1	1	23	12	8	19	7	56	13	7	4	7	10	3	5	12	38	9	34	18	4	28	7	7					
		8.17%	7.26%	6.53%	8.51%	10.86%	7.74%	18.36%	8.65%	21.83%	2.15%	7.72%	7.95%	10.00%	9.49%	11.15%	7.07%	8.16%	5.81%	3.58%	10.56%	9.21%	4.50%	0.36%	1.02%	7.62%	15.19%	5.80%	13.01%	9.33%	9.49%	5.83%	4.86%	4.00%	7.37%	4.65%	1.85%	6.10%	4.56%	4.05%	2.65%	3.80%	3.32%	1.37%	7.05%	1.65%	3.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	3	8	5	6	14	7	1	6	9	13	4	1	5	3	0	1	2	4	5	1	1	0	0	3	0	1	2	1	7	1	2	0	0	0	0	1	0	1	1	2	1	0	0	0	0					
		0.51%	0.21%	0.86%	0.38%	0.46%	0.96%	0.40%	0.10%	0.55%	0.92%	0.86%	1.32%	1.43%	1.82%	0.98%	0.00%	0.35%	0.26%	0.57%	0.64%	0.66%	0.45%	0.00%	0.00%	0.99%	0.00%	0.72%	1.37%	1.33%	1.19%	0.45%	1.39%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.11%	0.29%	0.22%	0.18%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3303	258	191	211	190	208	177	186	88	151	257	51	12	55	59	46	49	101	124	148	6	13	14	4	34	6	14	17	13	130	25	12	10	9	27	17	7	16	68	33	95	40	34	43	38	16					
		13.68%	17.67%	20.45%	15.89%	14.53%	14.25%	10.13%	19.40%	8.07%	15.47%	17.10%	16.89%	17.14%	20.07%	19.34%	9.56%	17.38%	13.03%	17.77%	18.83%	3.95%	5.86%	5.04%	4.08%	11.26%	7.59%	10.14%	11.64%	17.33%	22.03%	11.21%	8.33%	10.00%	9.47%	12.56%	10.49%	8.54%	6.08%	7.25%	9.73%	10.61%	7.38%	11.60%	10.83%	8.96%	7.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	453	28	26	30	44	49	11	21	20	20	53	10	2	5	10	11	5	8	13	24	1	3	0	1	3	0	0	3	3	9	2	0	0	1	11	0	1	4	2	2	8	6	0	3	0	0					
		1.88%	1.92%	2.78%	2.26%	3.36%	3.36%	0.63%	2.19%	1.83%	2.05%	3.53%	3.31%	2.86%	1.82%	3.28%	2.29%	1.77%	1.03%	1.86%	3.05%	0.66%	1.35%	0.00%	1.02%	0.99%	0.00%	0.00%	2.05%	4.00%	1.53%	0.90%	0.00%	0.00%	1.05%	5.12%	0.00%	1.22%	1.52%	0.21%	0.59%	0.89%	1.11%	0.00%	0.76%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16673	956	572	889	846	914	1176	586	669	722	885	186	39	165	170	353	164	567	489	444	124	182	261	90	189	61	111	94	45	330	156	114	83	75	147	139	62	231	808	285	714	458	249	315	377	181					
		69.05%	65.48%	61.24%	66.94%	64.68%	62.60%	67.28%	61.11%	61.38%	73.98%	58.88%	61.59%	55.71%	60.22%	55.74%	73.39%	58.16%	73.16%	70.06%	56.49%	81.58%	81.98%	93.88%	91.84%	62.58%	77.22%	80.43%	64.38%	60.00%	55.93%	69.96%	79.17%	83.00%	78.95%	68.37%	85.80%	75.61%	87.83%	86.14%	84.07%	79.78%	84.50%	84.98%	79.35%	88.92%	83.80%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	80	2	5	5	4	5	9	6	8	3	7	1	0	0	1	4	2	1	1	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	3	0	1	1	2	0	0	0					
		0.33%	0.14%	0.54%	0.38%	0.31%	0.34%	0.51%	0.63%	0.73%	0.31%	0.47%	0.33%	0.00%	0.00%	0.33%	0.83%	0.71%	0.13%	0.14%	0.38%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.69%	0.00%	0.00%	0.93%	0.00%	1.22%	0.00%	0.32%	0.00%	0.11%	0.18%	0.68%	0.00%	0.00%	0.00%					
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
