Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Алтайская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577					
1	"Число избирателей, внесенных в списки"	20604	272	1875	783	2668	1777	1405	584	1453	1695	847	1118	409	1617	230	208	286	297	203	264	877	881	64	435	356					
2	"Число бюллетеней, полученных участковыми комиссиями"	18708	368	1678	695	2325	1526	1303	509	1273	1548	767	1010	410	1430	222	204	261	293	196	261	787	792	65	432	353					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11004	256	785	371	1475	938	710	349	781	805	511	573	259	791	159	128	172	215	141	127	495	475	53	245	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	809	16	47	31	74	98	27	48	47	51	47	38	19	57	7	6	18	32	0	29	10	80	0	19	8					
6	Число погашенных бюллетеней	6895	96	846	293	776	490	566	112	445	692	209	399	132	582	56	70	71	46	55	105	282	237	12	168	155					
7	Число бюллетеней в переносных ящиках для голосования	809	16	47	31	74	98	27	48	47	51	47	38	19	57	7	6	18	32	0	29	10	80	0	19	8					
8	Число бюллетеней в стационарных ящиках для голосования	11001	256	785	371	1473	937	710	349	781	805	511	573	259	791	159	128	172	215	141	127	495	475	53	245	190					
9	Число недействительных бюллетеней	143	2	11	6	6	6	10	1	7	5	13	10	4	10	0	4	6	1	1	7	8	3	0	14	8					
10	Число действительных бюллетеней	11667	270	821	396	1541	1029	727	396	821	851	545	601	274	838	166	130	184	246	140	149	497	552	53	250	190					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	247	9	8	5	22	50	10	5	10	20	10	10	5	10	5	5	5	10	5	5	10	10	3	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	87	5	4	3	21	10	6	2	1	11	2	6	1	8	0	0	0	0	0	0	2	4	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	4	3	0	4	7	2	1	5	3	2	6	1	7	1	1	5	2	0	0	2	0	1	1	1					
14	Число погашенных открепительных удостоверений	160	4	4	2	1	40	4	3	9	9	8	4	4	2	5	5	5	10	5	5	8	6	3	9	5					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
