Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Невинномысская городская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	89233	1687	1388	2434	1084	1151	1157	1441	1118	1111	2123	1143	1664	1173	1200	2243	1269	1130	2319	1300	1454	1565	2265	1359	1163	2419	2391	2044	2580	1113	1133	1104	2230	1866	1440	1299	2199	1302	2339	1753	1226	1352	2145	1478	1285	1976	1417	2568	1163	1863	1742	2111	1475	2369	1910									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74400	1300	1100	2000	1000	1000	1000	1100	1000	1000	2000	1000	1300	1000	1000	2000	1000	1000	2000	1000	1200	1200	1500	1100	1000	2000	2000	2000	2100	1000	1000	1000	2000	1400	1100	1000	2000	1000	2000	1500	1000	1100	2000	1200	1000	1600	1100	2000	1000	1500	1400	2000	1200	1900	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32431	543	467	789	409	497	455	329	281	482	835	367	684	431	446	853	504	462	1322	553	614	633	931	559	508	1000	1007	769	762	468	460	400	887	517	347	478	843	511	974	674	472	453	625	401	420	783	592	849	380	634	576	730	384	575	506									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	966	11	12	24	19	7	9	11	0	17	19	9	12	11	13	18	10	8	27	20	13	29	23	3	10	6	8	15	37	4	5	6	15	16	12	10	12	3	8	10	11	12	25	39	34	33	36	18	72	24	52	19	32	43	14									
6	Число погашенных избирательных бюллетеней	41003	746	621	1187	572	496	536	760	719	501	1146	624	604	558	541	1129	486	530	651	427	573	538	546	538	482	994	985	1216	1301	528	535	594	1098	867	741	512	1145	486	1018	816	517	635	1350	760	546	784	472	1133	548	842	772	1251	784	1282	980									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	966	11	12	24	19	7	9	11	0	17	19	9	12	11	13	18	10	8	27	20	13	29	23	3	10	6	8	15	37	4	5	6	15	16	12	10	12	3	8	10	11	12	25	39	34	33	36	18	72	24	52	19	32	43	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32392	543	467	785	409	497	455	329	280	480	835	365	684	431	446	853	504	462	1322	553	614	633	931	552	508	998	1007	767	762	468	460	400	887	517	347	468	843	511	974	674	472	453	625	401	417	783	592	849	377	634	576	730	383	573	506									
9	Число недействительных избирательных бюллетеней	1078	31	15	31	21	27	9	15	17	14	37	18	25	13	16	33	16	14	32	22	14	21	31	12	25	27	25	15	37	10	11	14	25	20	12	13	42	10	27	26	25	12	0	4	12	28	15	42	11	11	25	27	8	22	13									
10	Число действительных избирательных бюллетеней	32280	523	464	778	407	477	455	325	263	483	817	356	671	429	443	838	498	456	1317	551	613	641	923	543	493	977	990	767	762	462	454	392	877	513	347	465	813	504	955	658	458	453	650	436	439	788	613	825	438	647	603	722	407	594	507									
