Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Гатчинская городская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474					
1	"Число избирателей, внесенных в список"	69262	2129	3050	2097	2189	2857	2196	2001	2004	1995	2023	1887	1839	2047	1755	1803	1742	1983	2034	2043	2039	2082	1976	2143	2051	1957	1766	1799	2239	2381	2151	2399	2091	2514					
2	Число полученных избирательных бюллетеней	67900	2000	2700	2100	2200	2800	2100	2000	2000	2000	2000	1800	1800	2000	1700	1800	1700	1900	2000	2000	2100	2000	2000	2100	2000	1800	1800	1800	2200	2300	2200	2400	2100	2500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39720	1257	1618	1146	1399	1763	1399	1151	1237	1200	1250	1128	1035	1219	1090	1000	944	1121	1201	1089	1229	1244	950	1020	1077	990	936	684	1399	1355	1293	1518	1250	1528					
5	"Число избирательных бюллетеней, выданных вне помещения"	1774	28	295	254	41	19	23	17	25	48	36	14	47	40	23	17	61	55	20	78	30	24	60	80	85	29	37	152	16	10	48	22	17	23					
6	Число погашенных избирательных бюллетеней	26406	715	787	700	760	1018	678	832	738	752	714	658	718	741	587	783	695	724	779	833	841	732	990	1000	838	781	827	964	785	935	859	860	833	949					
7	Число избирательных бюллетеней в переносных ящиках	1773	28	295	254	41	19	23	17	25	48	36	14	47	40	23	17	61	55	20	78	30	24	60	80	85	29	37	151	16	10	48	22	17	23					
8	Число бюллетеней в стационарных ящиках для голосования	39655	1257	1618	1146	1399	1760	1399	1149	1237	1200	1250	1126	1035	1219	1089	1000	943	1121	1201	1089	1229	1244	950	1019	1072	990	936	684	1357	1350	1293	1515	1250	1528					
9	Число недействительных избирательных бюллетеней	174	5	5	3	0	14	3	2	7	1	9	5	0	4	7	7	2	0	5	3	7	8	4	6	12	7	5	2	3	11	7	7	5	8					
10	Число действительных избирательных бюллетеней	41254	1280	1908	1397	1440	1765	1419	1164	1255	1247	1277	1135	1082	1255	1105	1010	1002	1176	1216	1164	1252	1260	1006	1093	1145	1012	968	833	1370	1349	1334	1530	1262	1543					
11	Число полученных открепительных  удостоверений	1045	40	40	30	30	40	30	30	30	30	30	25	25	30	25	30	25	30	30	30	30	35	35	35	35	35	25	25	35	35	35	35	40	30					
12	Число выданных открепительных удостоверений	643	18	25	23	23	26	16	10	17	26	19	11	21	14	24	14	14	26	20	20	15	18	15	18	22	8	19	6	27	20	25	29	34	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	471	12	28	22	13	19	17	4	15	19	14	13	15	13	0	5	8	20	20	16	12	16	10	10	31	8	5	13	3	16	22	22	10	20					
14	Число неиспользованных открепительных удостоверений	402	22	15	7	7	14	14	20	13	4	11	14	4	16	1	16	11	4	10	10	15	17	20	17	13	27	6	19	8	15	10	6	6	10					
15	"Число открепительных удостоверений, выданных в ТИК"	25	0	3	0	3	1	0	0	1	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	2	0	0	0	0	1	1	3	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	1860	52	87	45	45	104	91	48	60	48	53	49	49	49	57	27	63	60	54	63	53	73	61	35	58	30	41	30	61	73	70	54	60	57					
		4.49%	4.05%	4.55%	3.21%	3.12%	5.85%	6.40%	4.12%	4.75%	3.85%	4.12%	4.30%	4.53%	3.89%	5.13%	2.65%	6.27%	5.10%	4.42%	5.40%	4.21%	5.76%	6.04%	3.18%	5.01%	2.94%	4.21%	3.59%	4.44%	5.37%	5.22%	3.51%	4.74%	3.68%					
19	. Малышкин Олег Александрович	419	16	14	12	13	21	9	8	13	10	11	13	10	10	9	16	8	14	11	15	18	14	13	10	13	14	8	7	15	16	18	9	14	17					
		1.01%	1.25%	0.73%	0.86%	0.90%	1.18%	0.63%	0.69%	1.03%	0.80%	0.86%	1.14%	0.92%	0.79%	0.81%	1.57%	0.80%	1.19%	0.90%	1.29%	1.43%	1.10%	1.29%	0.91%	1.12%	1.37%	0.82%	0.84%	1.09%	1.18%	1.34%	0.59%	1.10%	1.10%					
20	. Миронов Сергей Михайлович	476	14	20	8	14	24	18	23	10	7	11	22	15	15	18	13	10	18	16	15	11	14	19	11	11	8	8	5	19	9	20	19	14	17					
		1.15%	1.09%	1.05%	0.57%	0.97%	1.35%	1.27%	1.97%	0.79%	0.56%	0.86%	1.93%	1.39%	1.19%	1.62%	1.28%	1.00%	1.53%	1.31%	1.29%	0.87%	1.10%	1.88%	1.00%	0.95%	0.79%	0.82%	0.60%	1.38%	0.66%	1.49%	1.24%	1.10%	1.10%					
21	. Путин Владимир Владимирович	30208	948	1410	1038	1094	1288	967	819	898	907	910	773	784	938	805	799	704	861	890	857	913	912	723	825	859	782	704	645	1004	978	947	1145	924	1157					
		72.92%	73.77%	73.71%	74.14%	75.97%	72.40%	68.00%	70.24%	71.16%	72.68%	70.76%	67.81%	72.46%	74.50%	72.39%	78.56%	70.12%	73.21%	72.89%	73.44%	72.52%	71.92%	71.58%	75.07%	74.24%	76.74%	72.35%	77.25%	73.12%	71.91%	70.62%	74.50%	72.93%	74.60%					
22	. Хакамада Ирина Муцуовна	2216	89	110	98	69	101	124	80	65	59	88	92	65	70	68	45	53	52	65	49	55	53	58	42	51	32	41	39	56	65	69	70	70	73					
