Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Спас-Деменская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6491	1876	2150	150	176	135	126	352	98	108	90	186	177	146	95	482	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6550	1895	2110	155	195	135	135	385	95	100	90	195	190	135	85	505	145									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3238	877	851	89	116	104	83	213	66	83	53	108	45	83	70	272	125									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	479	27	48	18	29	22	9	58	5	12	20	37	90	30	4	68	2									
6	Число погашенных избирательных бюллетеней	2833	991	1211	48	50	9	43	114	24	5	17	50	55	22	11	165	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	479	27	48	18	29	22	9	58	5	12	20	37	90	30	4	68	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3238	877	851	89	116	104	83	213	66	83	53	108	45	83	70	272	125									
9	Число недействительных избирательных бюллетеней	70	28	22	0	0	3	0	2	1	0	0	6	1	3	0	2	2									
10	Число действительных избирательных бюллетеней	3647	876	877	107	145	123	92	269	70	95	73	139	134	110	74	338	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	413	70	70	15	20	15	15	45	10	10	10	25	28	20	10	40	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	374	70	52	15	20	15	15	45	5	0	10	25	28	20	4	40	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	5	9	1	8	4	2	6	3	4	7	5	4	1	3	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	39	0	18	0	0	0	0	0	5	10	0	0	0	0	6	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	69	14	31	1	7	3	0	4	1	0	0	2	1	2	0	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	11	14	1	2	1	0	0	1	1	1	0	5	1	3	9	0									
		1.35%	1.22%	1.56%	0.93%	1.38%	0.79%	0.00%	0.00%	1.41%	1.05%	1.37%	0.00%	3.70%	0.88%	4.05%	2.65%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	74	21	26	3	3	1	3	3	0	0	1	2	5	1	1	4	0									
		1.99%	2.32%	2.89%	2.80%	2.07%	0.79%	3.26%	1.11%	0.00%	0.00%	1.37%	1.38%	3.70%	0.88%	1.35%	1.18%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	60	24	18	0	1	0	2	1	2	0	0	1	7	0	1	3	0									
		1.61%	2.65%	2.00%	0.00%	0.69%	0.00%	2.17%	0.37%	2.82%	0.00%	0.00%	0.69%	5.19%	0.00%	1.35%	0.88%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2334	499	472	78	117	98	54	193	55	91	63	111	81	67	53	216	86									
		62.79%	55.20%	52.50%	72.90%	80.69%	77.78%	58.70%	71.22%	77.46%	95.79%	86.30%	76.55%	60.00%	59.29%	71.62%	63.53%	67.72%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	5	6	1	0	0	0	0	0	0	0	0	1	0	0	3	1									
		0.46%	0.55%	0.67%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.88%	0.79%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.08%	0.11%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	467	148	130	9	4	10	12	36	6	1	4	8	19	21	9	38	12									
		12.56%	16.37%	14.46%	8.41%	2.76%	7.94%	13.04%	13.28%	8.45%	1.05%	5.48%	5.52%	14.07%	18.58%	12.16%	11.18%	9.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	12	1	2	2	0	0	1	4	0	0	0	0	0	0	0	2	0									
		0.32%	0.11%	0.22%	1.87%	0.00%	0.00%	1.09%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	6	6	0	0	0	1	0	0	0	1	1	1	0	0	1	0									
		0.46%	0.66%	0.67%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	1.37%	0.69%	0.74%	0.00%	0.00%	0.29%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	3	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0									
		0.19%	0.33%	0.11%	0.93%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	7	7	1	0	0	1	0	0	1	0	0	3	0	0	6	0									
		0.70%	0.77%	0.78%	0.93%	0.00%	0.00%	1.09%	0.00%	0.00%	1.05%	0.00%	0.00%	2.22%	0.00%	0.00%	1.76%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	478	118	157	8	18	11	15	25	2	1	3	13	11	18	6	51	21									
		12.86%	13.05%	17.46%	7.48%	12.41%	8.73%	16.30%	9.23%	2.82%	1.05%	4.11%	8.97%	8.15%	15.93%	8.11%	15.00%	16.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	3	5	1	0	0	1	0	1	0	0	2	0	0	0	0	1									
		0.38%	0.33%	0.56%	0.93%	0.00%	0.00%	1.09%	0.00%	1.41%	0.00%	0.00%	1.38%	0.00%	0.00%	0.00%	0.00%	0.79%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	88	29	32	2	0	2	1	7	3	0	0	1	1	2	1	3	4									
		2.37%	3.21%	3.56%	1.87%	0.00%	1.59%	1.09%	2.58%	4.23%	0.00%	0.00%	0.69%	0.74%	1.77%	1.35%	0.88%	3.15%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
