Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Должанская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9355	331	288	262	141	618	336	224	187	499	222	206	214	158	386	1748	1855	277	278	297	397	290	141									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9538	334	292	266	146	631	348	231	191	511	224	206	212	163	392	1769	1884	291	293	314	405	293	142									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4627	145	124	140	73	402	199	116	76	316	132	129	109	58	148	760	820	85	152	149	214	177	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2011	113	86	76	46	128	73	72	101	88	48	35	67	84	170	167	106	149	84	100	89	99	30									
6	Число погашенных избирательных бюллетеней	2900	76	82	50	27	101	76	43	14	107	44	42	36	21	74	842	958	57	57	65	102	17	9									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2011	113	86	76	46	128	73	72	101	88	48	35	67	84	170	167	106	149	84	100	89	99	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4627	145	124	140	73	402	199	116	76	316	132	129	109	58	148	760	820	85	152	149	214	177	103									
9	Число недействительных избирательных бюллетеней	91	0	2	0	0	1	0	12	0	5	0	0	0	0	3	33	23	0	7	2	0	1	2									
10	Число действительных избирательных бюллетеней	6547	258	208	216	119	529	272	176	177	399	180	164	176	142	315	894	903	234	229	247	303	275	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	251	10	8	8	8	15	10	8	8	15	8	8	8	8	10	30	30	10	10	10	11	10	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	137	1	7	1	4	9	8	5	1	15	1	0	0	1	2	20	22	10	9	10	11	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	2	3	1	2	1	1	1	1	8	1	2	2	1	0	2	12	3	1	1	0	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	114	9	1	7	4	6	2	3	7	0	7	8	8	7	8	10	8	0	1	0	0	10	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	0	0	0	1	4	0	0	0	0	0	0	1	2	6	11	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	26	2	1	1	0	2	2	2	1	1	0	1	1	1	0	5	4	0	0	2	0	0	0									
		0.39%	0.78%	0.48%	0.46%	0.00%	0.38%	0.74%	1.06%	0.56%	0.25%	0.00%	0.61%	0.57%	0.70%	0.00%	0.54%	0.43%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	221	3	7	0	3	19	12	7	2	9	0	8	2	0	7	52	55	10	4	12	0	8	1									
		3.33%	1.16%	3.33%	0.00%	2.52%	3.58%	4.41%	3.72%	1.13%	2.23%	0.00%	4.88%	1.14%	0.00%	2.20%	5.61%	5.94%	4.27%	1.69%	4.82%	0.00%	2.90%	0.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	79	2	1	2	3	6	2	3	1	2	4	6	0	0	2	16	20	2	2	2	0	3	0									
		1.19%	0.78%	0.48%	0.93%	2.52%	1.13%	0.74%	1.60%	0.56%	0.50%	2.22%	3.66%	0.00%	0.00%	0.63%	1.73%	2.16%	0.85%	0.85%	0.80%	0.00%	1.09%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4075	230	131	153	90	342	130	130	133	270	108	84	119	112	214	365	369	168	182	161	275	197	112									
		61.39%	89.15%	62.38%	70.83%	75.63%	64.53%	47.79%	69.15%	75.14%	66.83%	60.00%	51.22%	67.61%	78.87%	67.30%	39.37%	39.85%	71.79%	77.12%	64.66%	90.76%	71.38%	84.21%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	1	1	0	0	1	0	0	0	0	0	0	1	0	0	4	4	0	0	1	0	2	0									
		0.23%	0.39%	0.48%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.43%	0.43%	0.00%	0.00%	0.40%	0.00%	0.72%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0									
