Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Петровская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326					
1	"Число избирателей, внесенных в список избирателей"	35391	1305	162	1057	1064	1305	1242	1188	1311	635	819	1260	1342	803	1048	1099	117	1112	488	425	1133	1006	1360	201	672	892	1187	497	586	234	403	551	235	626	197	393	677	625	523	1100	881	571	247	356	114	308	599	345	274	503	313					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	34161	1200	140	1000	1000	1250	1200	1150	1250	616	810	1200	1300	800	1000	1000	110	1070	480	410	1100	970	1300	190	650	850	1150	480	590	230	400	540	240	620	190	370	660	600	510	1070	870	550	240	370	110	330	580	340	260	500	315					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23404	926	98	435	814	712	787	526	603	256	498	678	667	421	651	496	57	779	278	236	782	741	953	115	325	519	713	211	530	196	350	499	107	547	144	314	564	502	446	980	814	496	229	308	98	265	486	314	232	418	288					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1688	27	9	54	20	89	39	30	24	13	31	49	32	5	45	59	6	20	6	11	34	21	35	6	18	22	23	6	56	15	42	33	18	54	20	42	83	74	51	79	33	49	11	36	5	43	72	24	22	72	20					
6	Число погашенных избирательных бюллетеней	9066	247	33	511	166	449	374	594	623	347	281	473	601	374	304	445	47	271	193	163	284	208	312	69	307	309	414	263	4	19	8	8	115	19	26	14	13	24	13	11	23	5	0	26	7	22	22	2	6	10	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1688	27	9	54	20	89	39	30	24	13	31	49	32	5	45	59	6	20	6	11	34	21	35	6	18	22	23	6	56	15	42	33	18	54	20	42	83	74	51	79	33	49	11	36	5	43	72	24	22	72	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23119	926	98	434	814	712	787	526	603	254	468	652	667	421	609	496	55	779	275	226	712	665	953	115	325	519	690	211	530	196	350	499	107	547	144	314	564	502	446	980	814	496	229	308	98	265	486	314	232	418	288					
9	Число недействительных избирательных бюллетеней	304	13	0	9	11	13	5	5	9	6	4	16	13	9	12	14	1	9	6	5	13	9	11	0	6	5	14	0	1	1	0	0	1	0	1	0	0	1	67	3	4	0	0	0	1	0	1	0	5	0	0					
10	Число действительных избирательных бюллетеней	24503	940	107	479	823	788	821	551	618	261	495	685	686	417	642	541	60	790	275	232	733	677	977	121	337	536	699	217	585	210	392	532	124	601	163	356	647	575	430	1056	843	545	240	344	102	308	557	338	249	490	308					
