Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Каширская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925					
1	"Число избирателей, внесенных в списки избирателей"	21146	1539	1499	816	146	1649	663	606	1582	693	333	1774	1411	1642	674	543	182	1249	607	1008	445	608	265	471	516	225					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20950	1450	1450	800	150	1650	650	600	1500	700	450	1600	1300	1600	600	600	200	1300	600	1000	500	700	250	500	550	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10451	937	893	435	70	588	295	258	730	323	165	851	665	783	314	299	82	590	354	448	274	294	165	335	218	85					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3953	152	151	150	42	316	209	179	223	168	79	143	187	156	174	114	61	312	135	231	135	194	52	76	217	97					
6	Число погашенных избирательных бюллетеней	6546	361	406	215	38	746	146	163	547	209	206	606	448	661	112	187	57	398	111	321	91	212	33	89	115	68					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3953	152	151	150	42	316	209	179	223	168	79	143	187	156	174	114	61	312	135	231	135	194	52	76	217	97					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10451	937	893	435	70	588	295	258	730	323	165	851	665	783	314	299	82	590	354	448	274	294	165	335	218	85					
9	Число недействительных избирательных бюллетеней	103	9	13	2	0	0	8	2	14	0	0	12	2	6	5	1	1	9	7	1	4	1	1	3	1	1					
10	Число действительных избирательных бюллетеней	14301	1080	1031	583	112	904	496	435	939	491	244	982	850	933	483	412	142	893	482	678	405	487	216	408	434	181					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	563	50	27	9	2	33	8	7	31	18	54	22	5	6	3	21	12	62	27	15	61	44	11	13	16	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	533	34	27	9	0	29	8	7	31	18	54	14	5	6	3	21	12	62	27	15	61	44	11	13	16	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	10	9	4	5	9	2	8	4	6	10	13	12	6	9	2	1	15	7	9	3	6	2	6	3	4					
14	Число погашенных неиспользованных открепительных удостоверений	30	16	0	0	2	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	388	35	22	35	2	36	11	13	17	16	12	31	18	19	6	8	4	25	9	20	0	28	2	7	12	0					
		2.69%	3.21%	2.11%	5.98%	1.79%	3.98%	2.18%	2.97%	1.78%	3.26%	4.92%	3.12%	2.11%	2.02%	1.23%	1.94%	2.80%	2.77%	1.84%	2.95%	0.00%	5.74%	0.92%	1.70%	2.76%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	58	6	12	3	1	6	1	0	3	0	0	4	4	7	0	0	1	0	2	3	0	1	1	0	3	0					
		0.40%	0.55%	1.15%	0.51%	0.89%	0.66%	0.20%	0.00%	0.31%	0.00%	0.00%	0.40%	0.47%	0.75%	0.00%	0.00%	0.70%	0.00%	0.41%	0.44%	0.00%	0.20%	0.46%	0.00%	0.69%	0.00%					
20	3.Политическая партия «Демократическая партия России»	15	2	3	2	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0					
		0.10%	0.18%	0.29%	0.34%	0.00%	0.11%	0.20%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.20%	0.00%	0.70%	0.11%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1724	133	132	50	15	61	56	60	159	79	26	157	105	146	40	36	9	116	50	95	28	30	30	50	42	19					
		11.97%	12.21%	12.64%	8.55%	13.39%	6.75%	11.11%	13.73%	16.68%	16.09%	10.66%	15.79%	12.32%	15.55%	8.20%	8.72%	6.29%	12.86%	10.22%	13.99%	6.85%	6.15%	13.82%	12.17%	9.66%	10.44%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	9	0	2	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
		0.06%	0.00%	0.19%	0.00%	0.00%	0.11%	0.00%	0.00%	0.10%	0.00%	0.00%	0.30%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	22	2	1	1	0	0	0	0	2	1	0	2	3	0	2	2	0	2	2	0	0	0	0	1	0	1					
		0.15%	0.18%	0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.21%	0.20%	0.00%	0.20%	0.35%	0.00%	0.41%	0.48%	0.00%	0.22%	0.41%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.55%					
24	7.Политическая партия «Либерально-демократическая партия России»	1350	95	106	55	5	86	54	46	89	31	15	107	80	104	54	32	17	58	51	69	23	46	36	31	34	26					
		9.37%	8.72%	10.15%	9.40%	4.46%	9.51%	10.71%	10.53%	9.34%	6.31%	6.15%	10.76%	9.39%	11.08%	11.07%	7.75%	11.89%	6.43%	10.43%	10.16%	5.62%	9.43%	16.59%	7.54%	7.82%	14.29%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1190	79	132	63	9	66	37	43	89	36	19	100	77	106	28	48	12	61	31	43	21	32	16	18	21	3					
		8.26%	7.25%	12.64%	10.77%	8.04%	7.30%	7.34%	9.84%	9.34%	7.33%	7.79%	10.06%	9.04%	11.29%	5.74%	11.62%	8.39%	6.76%	6.34%	6.33%	5.13%	6.56%	7.37%	4.38%	4.83%	1.65%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	75	6	2	3	0	10	3	3	5	3	0	3	6	6	1	2	0	3	4	4	2	1	2	2	2	2					
		0.52%	0.55%	0.19%	0.51%	0.00%	1.11%	0.60%	0.69%	0.52%	0.61%	0.00%	0.30%	0.70%	0.64%	0.20%	0.48%	0.00%	0.33%	0.82%	0.59%	0.49%	0.20%	0.92%	0.49%	0.46%	1.10%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	9430	720	617	371	80	632	331	268	570	322	170	574	553	543	348	280	98	625	331	443	331	347	129	298	320	129					
		65.47%	66.12%	59.10%	63.42%	71.43%	69.91%	65.67%	61.33%	59.81%	65.58%	69.67%	57.75%	64.91%	57.83%	71.31%	67.80%	68.53%	69.29%	67.69%	65.24%	80.93%	71.11%	59.45%	72.51%	73.56%	70.88%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	40	2	2	0	0	5	2	1	4	3	2	1	4	1	2	4	0	2	1	1	0	1	0	1	0	1					
		0.28%	0.18%	0.19%	0.00%	0.00%	0.55%	0.40%	0.23%	0.42%	0.61%	0.82%	0.10%	0.47%	0.11%	0.41%	0.97%	0.00%	0.22%	0.20%	0.15%	0.00%	0.20%	0.00%	0.24%	0.00%	0.55%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
