Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																	
Дата голосования: 07.12.2003 0:00:00																																																	
																																																	
Наименование Избирательной комиссии:    Чистопольская 																																																	
																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																	
																																																	
		Сумма	УИК  2855	УИК  2856	УИК  2857	УИК  2858	УИК  2859	УИК  2860	УИК  2861	УИК  2862	УИК  2863	УИК  2864	УИК  2865	УИК  2866	УИК  2867	УИК  2868	УИК  2869	УИК  2870	УИК  2871	УИК  2872	УИК  2873	УИК  2874	УИК  2875	УИК  2876	УИК  2877	УИК  2878	УИК  2879	УИК  2880	УИК  2881	УИК  2882	УИК  2883	УИК  2884	УИК  2885	УИК  2886	УИК  2887	УИК  2888	УИК  2889	УИК  2890	УИК  2891	УИК  2892	УИК  2893	УИК  2894	УИК  2895	УИК  2896					
1	"Число избирателей, внесенных в списки"	15218	695	126	288	388	277	281	580	114	231	475	543	562	587	541	167	402	335	243	184	365	270	591	115	507	214	407	257	134	416	608	545	221	241	460	532	111	404	105	504	155	498	539					
2	"Число бюллетеней, полученных участковыми комиссиями"	15356	670	114	290	390	270	280	580	112	230	490	550	570	600	540	170	430	330	250	182	360	280	590	118	510	210	407	260	134	430	620	550	220	240	470	550	119	430	107	490	158	510	545					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12912	645	107	234	358	227	262	481	99	199	422	518	424	465	420	133	352	301	207	174	303	264	558	113	468	172	385	250	129	267	411	314	217	235	405	490	101	356	96	344	129	393	484					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	791	20	0	45	9	25	0	21	3	24	36	20	15	11	22	23	38	17	28	7	13	4	32	0	30	16	4	6	5	21	13	34	3	2	48	40	10	22	6	63	11	20	24					
6	Число погашенных бюллетеней	1653	5	7	11	23	18	18	78	10	7	32	12	131	124	98	14	40	12	15	1	44	12	0	5	12	22	18	4	0	142	196	202	0	3	17	20	8	52	5	83	18	97	37					
7	Число бюллетеней в переносных ящиках для голосования	791	20	0	45	9	25	0	21	3	24	36	20	15	11	22	23	38	17	28	7	13	4	32	0	30	16	4	6	5	21	13	34	3	2	48	40	10	22	6	63	11	20	24					
8	Число бюллетеней в стационарных ящиках для голосования	12912	645	107	234	358	227	262	481	99	199	422	518	424	465	420	133	352	301	207	174	303	264	558	113	468	172	385	250	129	267	411	314	217	235	405	490	101	356	96	344	129	393	484					
9	Число недействительных бюллетеней	189	6	6	22	0	2	0	3	2	8	0	7	2	14	5	0	0	4	0	0	1	0	5	2	5	9	8	0	0	4	10	7	0	21	0	0	4	5	6	4	3	4	10					
10	Число действительных бюллетеней	13514	659	101	257	367	250	262	499	100	215	458	531	437	462	437	156	390	314	235	181	315	268	585	111	493	179	381	256	134	284	414	341	220	216	453	530	107	373	96	403	137	409	498					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	30	10	10	10	10	10	60	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	151	3	0	5	3	1	3	1	0	3	2	1	8	5	2	3	11	1	2	1	2	0	3	0	3	0	5	0	1	8	9	2	0	0	4	9	1	22	3	10	0	8	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	2	2	4	3	7	3	2	2	3	0	5	0	0	8	7	8	2	1	4	2	2	2	2	3	3	1	7	0	0	1	1	0	0	0	2	3	6	3	4	0	2	0					
