Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Сасовская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24399	1214	1427	1417	1075	1246	1236	1278	1129	1234	1400	1285	1075	1485	1163	1066	1105	1082	1082	1094	1306									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22100	1100	1300	1200	1000	1100	1100	1100	1000	1100	1300	1200	1000	1400	1000	1000	1000	1000	1000	1000	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14519	691	661	825	663	715	491	616	587	617	1004	812	713	916	807	718	800	689	845	667	682									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1304	122	171	94	126	45	106	105	66	136	20	16	5	46	31	71	14	16	5	47	62									
6	Число погашенных избирательных бюллетеней	6277	287	468	281	211	340	503	379	347	347	276	372	282	438	162	211	186	295	150	286	456									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1304	122	171	94	126	45	106	105	66	136	20	16	5	46	31	71	14	16	5	47	62									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14519	691	661	825	663	715	491	616	587	617	1004	812	713	916	807	718	800	689	845	667	682									
9	Число недействительных избирательных бюллетеней	90	9	0	3	7	10	2	11	14	0	0	9	9	0	2	0	10	0	0	4	0									
10	Число действительных избирательных бюллетеней	15733	804	832	916	782	750	595	710	639	753	1024	819	709	962	836	789	804	705	850	710	744									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	4	8	6	6	3	5	4	6	4	5	4	4	3	1	7	4	1	3	3	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	46	1	3	2	5	2	1	9	3	0	4	1	2	0	1	1	1	0	1	2	7									
14	Число погашенных неиспользованных открепительных удостоверений	132	7	3	5	5	8	6	7	5	7	6	7	7	8	10	4	7	10	8	8	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	2	5	4	7	1	1	3	2	4	3	7	2	6	1	2	1	0	4	6	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	76	1	4	2	7	5	5	8	0	3	2	0	6	0	19	0	8	0	0	3	3									
		0.48%	0.12%	0.48%	0.22%	0.89%	0.66%	0.84%	1.11%	0.00%	0.40%	0.20%	0.00%	0.84%	0.00%	2.27%	0.00%	0.98%	0.00%	0.00%	0.42%	0.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	143	0	2	10	22	19	17	22	13	1	6	0	11	0	2	0	6	2	0	3	7									
		0.90%	0.00%	0.24%	1.09%	2.79%	2.50%	2.85%	3.05%	1.99%	0.13%	0.59%	0.00%	1.53%	0.00%	0.24%	0.00%	0.74%	0.28%	0.00%	0.42%	0.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	1	0	1	9	18	8	6	9	2	6	0	4	0	18	2	9	0	0	1	3									
		0.61%	0.12%	0.00%	0.11%	1.14%	2.37%	1.34%	0.83%	1.38%	0.27%	0.59%	0.00%	0.56%	0.00%	2.15%	0.25%	1.11%	0.00%	0.00%	0.14%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12685	643	676	795	555	452	376	506	477	603	881	698	585	825	704	703	683	605	724	588	606									
		80.17%	79.09%	81.25%	86.51%	70.34%	59.47%	62.98%	70.18%	73.05%	80.08%	86.04%	84.30%	81.48%	85.76%	84.01%	89.10%	83.91%	85.82%	85.18%	82.35%	81.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	1	3	0	2	5	2	4	3	0	0	0	0	0	1	1	2	0	0	2	0									
		0.16%	0.12%	0.36%	0.00%	0.25%	0.66%	0.34%	0.55%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.13%	0.25%	0.00%	0.00%	0.28%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	0	0	1	2	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0									
		0.05%	0.00%	0.00%	0.00%	0.13%	0.26%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.14%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	774	40	30	45	77	92	69	70	55	24	23	48	7	28	37	33	19	21	23	14	19									
		4.89%	4.92%	3.61%	4.90%	9.76%	12.11%	11.56%	9.71%	8.42%	3.19%	2.25%	5.80%	0.97%	2.91%	4.42%	4.18%	2.33%	2.98%	2.71%	1.96%	2.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	19	1	2	0	5	1	0	2	0	3	2	0	1	0	1	0	0	0	0	0	1									
		0.12%	0.12%	0.24%	0.00%	0.63%	0.13%	0.00%	0.28%	0.00%	0.40%	0.20%	0.00%	0.14%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	1	2	1	0	6	6	7	2	0	2	0	0	0	5	0	9	0	0	0	0									
		0.26%	0.12%	0.24%	0.11%	0.00%	0.79%	1.01%	0.97%	0.31%	0.00%	0.20%	0.00%	0.00%	0.00%	0.60%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0									
		0.04%	0.12%	0.00%	0.00%	0.00%	0.26%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	0	1	1	6	4	2	3	2	3	2	0	3	0	2	1	1	0	0	0	3									
		0.21%	0.00%	0.12%	0.11%	0.76%	0.53%	0.34%	0.42%	0.31%	0.40%	0.20%	0.00%	0.42%	0.00%	0.24%	0.13%	0.12%	0.00%	0.00%	0.00%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1263	72	81	44	64	98	71	58	62	68	70	41	57	100	23	25	48	47	75	85	74									
		7.98%	8.86%	9.74%	4.79%	8.11%	12.89%	11.89%	8.04%	9.49%	9.03%	6.84%	4.95%	7.94%	10.40%	2.74%	3.17%	5.90%	6.67%	8.82%	11.90%	9.95%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	19	0	2	0	1	1	3	0	0	1	0	0	1	0	4	2	3	0	0	1	0									
		0.12%	0.00%	0.24%	0.00%	0.13%	0.13%	0.50%	0.00%	0.00%	0.13%	0.00%	0.00%	0.14%	0.00%	0.48%	0.25%	0.37%	0.00%	0.00%	0.14%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	541	43	29	17	33	45	34	24	15	45	30	32	33	9	16	21	16	30	28	13	28									
		3.42%	5.29%	3.49%	1.85%	4.18%	5.92%	5.70%	3.33%	2.30%	5.98%	2.93%	3.86%	4.60%	0.94%	1.91%	2.66%	1.97%	4.26%	3.29%	1.82%	3.76%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
