Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																													
Дата голосования: 04.12.2011																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Балаковская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588					
1	"Число избирателей, внесенных в список избирателей"	173406	2659	2357	2221	2679	1667	2254	2228	2331	1990	2105	1750	2131	1930	2445	1927	2099	2296	1960	1995	2465	2098	1973	2309	2000	498	2408	2154	2483	2094	2801	2839	1365	2795	2204	2061	2146	898	2797	2824	1667	1640	2646	3053	2798	2593	2213	2114	1871	1931	2079	1694	2825	2515	2931	2754	2711	2664	1863	1929	2046	2547	1999	2837	2837	2047	2851	2451	1713	491	2488	506	1038	888	663	890	1254	907	518	362	1061	369	305	144	415	419	355	785	127	87	630	155	580	159	526	572	342	925	1384	600	407	558	441					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	158223	2408	2120	1996	2410	1522	2066	2023	2130	1742	1901	1587	1936	1754	2231	1749	1907	2086	1783	1660	2100	1914	1800	2048	1814	900	2172	1953	1957	1904	2545	2582	1215	2544	1997	1861	1911	810	2556	2555	1517	1508	2375	2694	2535	2356	2018	1884	1678	1747	1885	1533	2547	2374	2655	2498	2405	2407	1651	1745	1854	2255	1833	2577	2569	1850	2478	2163	1567	430	2082	474	984	886	645	905	1312	887	538	362	1095	374	314	144	423	424	350	773	124	90	632	157	571	162	521	581	346	937	1376	597	410	571	439					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	86382	1188	1125	956	945	785	1144	1145	1116	919	1114	809	1019	926	1148	979	1101	1129	1079	1049	1244	906	874	1109	993	258	1321	980	1304	1019	1342	1335	592	1336	713	712	989	310	1156	1272	707	827	1189	1439	1274	1268	1059	1202	1072	948	1180	924	1362	1400	1558	1625	1541	1375	1033	925	1060	1264	1053	1441	1499	876	1253	1168	899	197	1344	313	518	512	243	256	692	454	259	210	622	284	178	92	228	376	258	431	81	40	362	102	460	96	257	506	295	524	1186	392	221	311	220					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3392	47	41	19	21	11	18	34	15	13	19	17	19	29	19	36	17	19	11	27	14	47	56	38	52	231	43	57	59	30	48	42	32	25	34	23	59	18	35	47	22	24	15	50	31	20	12	19	24	8	23	31	11	26	15	11	14	19	6	7	6	12	11	18	17	21	20	19	19	9	12	123	62	54	69	125	107	45	91	41	76	28	12	11	74	10	17	37	5	4	21	3	37	11	32	33	25	41	73	57	32	38	24					
6	Число погашенных избирательных бюллетеней	68441	1173	954	1019	1444	726	904	844	999	810	768	761	898	796	1064	734	789	938	693	584	842	961	870	901	769	411	808	916	594	855	1155	1205	591	1183	1250	1126	863	482	1365	1236	788	657	1171	1205	1230	1068	947	663	582	791	682	578	1174	948	1082	862	850	1011	612	813	788	978	769	1118	1053	953	1205	976	649	224	726	38	404	320	333	524	513	388	188	111	397	62	124	41	121	38	75	305	38	46	249	52	74	55	232	42	26	372	117	148	157	222	195					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3392	47	41	19	21	11	18	34	15	13	19	17	19	29	19	36	17	19	11	27	14	47	56	38	52	231	43	57	59	30	48	42	32	25	34	23	59	18	35	47	22	24	15	50	31	20	12	19	24	8	23	31	11	26	15	11	14	19	6	7	6	12	11	18	17	21	20	19	19	9	12	123	62	54	69	125	107	45	91	41	76	28	12	11	74	10	17	37	5	4	21	3	37	11	32	33	25	41	73	57	32	38	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	86317	1188	1125	956	945	785	1144	1094	1116	919	1114	809	1019	923	1147	978	1101	1129	1079	1049	1244	906	874	1108	992	258	1321	980	1304	1019	1342	1335	592	1336	713	710	989	310	1156	1272	707	827	1189	1439	1274	1268	1059	1202	1072	948	1180	924	1362	1400	1557	1624	1541	1375	1033	924	1059	1264	1053	1441	1499	876	1252	1168	899	197	1344	313	518	512	243	256	692	454	259	210	622	284	178	92	228	376	258	431	81	40	362	102	460	96	257	506	295	524	1186	392	221	311	220					
9	Число недействительных избирательных бюллетеней	1404	17	15	9	15	22	12	14	15	28	14	10	20	3	13	16	19	18	20	15	24	7	15	18	19	9	18	22	14	14	21	22	9	18	8	13	16	6	19	25	13	14	16	24	17	25	18	22	17	19	19	11	20	27	24	25	29	15	13	16	18	10	12	30	20	6	12	22	22	6	17	6	14	13	6	3	9	26	4	5	16	5	3	0	10	7	4	6	1	1	6	3	1	0	7	52	1	10	0	5	1	5	3					
10	Число действительных избирательных бюллетеней	88305	1218	1151	966	951	774	1150	1114	1116	904	1119	816	1018	949	1153	998	1099	1130	1070	1061	1234	946	915	1128	1025	480	1346	1015	1349	1035	1369	1355	615	1343	739	720	1032	322	1172	1294	716	837	1188	1465	1288	1263	1053	1199	1079	937	1184	944	1353	1399	1548	1610	1526	1379	1026	915	1047	1266	1052	1429	1496	891	1260	1165	896	200	1339	430	566	553	306	378	790	473	346	246	682	307	187	103	292	379	271	462	85	43	377	102	496	107	282	487	319	555	1259	444	252	344	241					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2865	35	35	35	35	35	35	35	45	25	35	25	35	25	35	30	35	35	35	25	45	35	35	35	35	0	40	35	35	35	45	40	25	40	35	35	35	20	35	40	25	30	35	45	40	35	35	35	25	25	35	25	35	45	40	35	35	45	25	35	35	40	35	45	55	35	55	40	35	10	45	0	20	10	10	15	50	10	20	10	30	10	10	10	10	10	10	10	10	10	30	10	10	10	10	10	10	20	25	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2410	27	25	22	33	25	25	31	41	25	34	23	35	20	35	29	35	30	35	25	45	31	35	31	35	0	37	28	17	28	42	40	25	38	18	25	15	15	35	37	25	26	29	44	39	27	35	35	19	25	28	21	29	39	38	35	35	40	20	31	32	38	33	45	53	27	53	40	35	3	44	0	19	6	10	15	50	5	20	1	30	2	4	3	1	5	3	4	0	4	13	4	3	4	2	6	6	9	8	4	3	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1784	6	13	11	10	6	4	14	15	14	18	11	6	2	38	8	8	10	14	144	13	8	13	62	10	179	17	11	277	9	16	8	15	5	8	12	10	10	7	15	8	11	18	74	4	7	12	42	13	3	4	3	7	10	13	11	66	11	13	10	8	6	19	17	15	10	146	11	7	14	10	18	8	9	9	2	3	3	1	1	8	0	1	1	1	2	5	5	2	1	7	2	4	3	3	2	1	2	3	7	4	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	455	8	10	13	2	10	10	4	4	0	1	2	0	5	0	1	0	5	0	0	0	4	0	4	0	0	3	7	18	7	3	0	0	2	17	10	20	5	0	3	0	4	6	1	1	8	0	0	6	0	7	4	6	6	2	0	0	5	5	4	3	2	2	0	2	8	2	0	0	7	1	0	1	4	0	0	0	5	0	9	0	8	6	7	9	5	7	6	10	6	17	6	7	6	8	4	4	11	17	6	7	0	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	124	0	2	0	3	1	1	1	2	1	0	3	1	1	3	1	1	2	1	0	3	4	0	0	1	0	1	4	1	2	0	3	0	3	2	3	0	0	1	1	2	3	2	1	1	2	2	2	0	3	1	3	1	1	1	1	2	1	1	2	1	4	1	4	0	2	7	0	3	0	4	0	1	0	0	1	0	0	0	0	1	0	0	5	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	8	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13907	181	210	203	153	138	195	206	213	160	219	155	193	176	193	196	203	221	209	144	215	125	134	168	158	79	179	151	193	166	270	211	87	209	107	97	162	43	187	227	113	106	173	228	214	197	167	204	190	153	230	177	249	247	291	273	243	233	152	144	175	221	161	253	261	142	191	191	144	26	230	29	86	68	74	43	71	53	44	21	96	26	17	5	14	29	27	49	6	3	48	12	48	17	22	15	20	59	38	61	26	36	29					
		15.50%	14.66%	18.01%	20.82%	15.84%	17.34%	16.78%	18.26%	18.83%	17.17%	19.33%	18.77%	18.59%	18.49%	16.55%	19.33%	18.16%	19.25%	19.17%	13.38%	17.09%	13.12%	14.41%	14.66%	15.13%	16.16%	13.12%	14.56%	14.16%	15.82%	19.42%	15.32%	13.94%	15.36%	14.32%	13.23%	15.46%	13.11%	15.70%	17.21%	15.50%	12.46%	14.37%	15.31%	16.40%	15.30%	15.59%	16.71%	17.34%	16.00%	19.12%	18.53%	18.14%	17.32%	18.51%	16.70%	15.63%	16.71%	14.63%	15.47%	16.43%	17.32%	15.13%	17.34%	17.22%	15.83%	15.02%	16.09%	15.69%	12.62%	16.96%	6.65%	14.83%	12.01%	23.72%	11.29%	8.89%	10.62%	12.57%	8.37%	13.75%	8.33%	8.95%	4.85%	4.64%	7.51%	9.82%	10.47%	6.98%	6.82%	12.53%	11.43%	9.66%	15.89%	7.61%	2.78%	6.25%	10.44%	3.02%	13.59%	10.28%	10.32%	11.89%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10524	170	131	130	154	128	147	148	158	118	142	101	111	122	147	132	131	140	132	102	172	111	106	137	119	52	172	90	173	112	150	169	77	158	54	94	98	51	139	149	117	98	136	185	168	156	139	140	136	119	135	117	180	191	190	177	184	160	159	120	149	184	136	197	184	105	159	160	126	25	187	25	116	54	24	41	66	42	28	23	69	6	19	6	19	19	30	40	4	8	34	11	3	12	26	16	32	50	38	43	21	25	28					
