Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Велижская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445					
1	"Число избирателей, внесенных в списки"	11944	283	555	333	343	440	887	236	321	226	188	207	310	552	2620	2403	2040					
2	"Число бюллетеней, полученных участковыми комиссиями"	11954	289	566	337	346	441	882	239	318	225	186	202	322	557	2625	2374	2045					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5552	170	193	156	227	127	394	139	188	119	105	110	157	176	1211	1121	959					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1043	22	127	70	30	148	115	16	19	7	36	33	51	132	68	83	86					
6	Число погашенных бюллетеней	5359	97	246	111	89	166	373	84	111	99	45	59	114	249	1346	1170	1000					
7	Число бюллетеней в переносных ящиках для голосования	1043	22	127	70	30	148	115	16	19	7	36	33	51	132	68	83	86					
8	Число бюллетеней в стационарных ящиках для голосования	5548	170	193	156	227	127	394	139	188	119	105	110	157	176	1211	1117	959					
9	Число недействительных бюллетеней	84	3	5	7	4	6	5	4	5	6	4	7	0	0	11	11	6					
10	Число действительных бюллетеней	6507	189	315	219	253	269	504	151	202	120	137	136	208	308	1268	1189	1039					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	194	10	10	10	10	10	10	10	10	10	10	10	10	10	22	21	21					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	57	1	5	0	4	0	2	3	2	0	0	1	1	3	15	11	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	0	4	2	2	1	2	2	3	1	4	3	3	1	5	3	2					
14	Число погашенных открепительных удостоверений	137	9	5	10	6	10	8	7	8	10	10	9	9	7	7	10	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	106	6	3	7	7	7	11	5	9	2	0	2	4	9	12	13	9					
		1.60%	3.12%	0.93%	3.09%	2.72%	2.54%	2.16%	3.22%	4.34%	1.58%	0.0%	1.39%	1.92%	2.92%	0.93%	1.08%	0.86%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	0	2	1	3	1	2	1	6	0	0	1	3	1	18	20	5					
		0.97%	0.0%	0.62%	0.44%	1.16%	0.36%	0.39%	0.64%	2.89%	0.0%	0.0%	0.69%	1.44%	0.32%	1.40%	1.66%	0.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	167	5	8	4	5	11	16	7	7	2	2	7	2	10	32	31	18					
