Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Кочубеевская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640					
1	"Число избирателей, внесенных в списки избирателей"	57797	2490	2342	1767	1245	1975	2362	1566	1717	1538	1995	1272	2597	2661	940	1173	317	215	2203	2341	332	564	307	842	123	233	1095	1129	1619	2081	1056	479	252	838	769	1644	1476	190	358	369	411	220	408	213	874	329	162	539	1628	566	400	1786	680	1109					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	46200	1800	1700	1300	900	1450	1700	1100	1200	1100	1400	900	1800	1900	720	900	300	200	1800	1900	300	500	300	800	120	220	1000	900	1300	1700	900	550	200	700	650	1400	1300	180	320	350	350	200	370	200	800	300	150	500	1500	500	370	1600	600	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31274	1179	1236	934	779	1046	1613	857	860	794	903	655	1254	1265	541	547	188	123	1015	1156	258	420	245	575	101	156	544	609	931	904	531	327	160	543	286	969	822	143	241	274	237	145	239	159	588	223	102	341	869	310	206	995	353	523					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2531	62	59	52	88	39	37	48	58	38	70	17	64	71	26	103	20	4	31	29	29	23	16	22	0	12	40	131	190	124	44	60	10	41	214	53	49	19	21	9	21	0	62	12	39	8	6	18	50	40	41	95	37	79					
6	Число погашенных избирательных бюллетеней	12395	559	405	314	33	365	50	195	282	268	427	228	482	564	153	250	92	73	754	715	13	57	39	203	19	52	416	160	179	672	325	163	30	116	150	378	429	18	58	67	92	55	69	29	173	69	42	141	581	150	123	510	210	398					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2531	62	59	52	88	39	37	48	58	38	70	17	64	71	26	103	20	4	31	29	29	23	16	22	0	12	40	131	190	124	44	60	10	41	214	53	49	19	21	9	21	0	62	12	39	8	6	18	50	40	41	95	37	79					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31274	1179	1236	934	779	1046	1613	857	860	794	903	655	1254	1265	541	547	188	123	1015	1156	258	420	245	575	101	156	544	609	931	904	531	327	160	543	286	969	822	143	241	274	237	145	239	159	588	223	102	341	869	310	206	995	353	523					
9	Число недействительных избирательных бюллетеней	230	7	7	11	2	6	6	5	2	8	13	4	6	10	3	6	2	1	8	0	3	2	6	0	1	0	2	4	10	10	5	1	5	4	2	8	5	2	2	5	2	0	0	2	3	4	1	6	3	4	0	11	5	5					
10	Число действительных избирательных бюллетеней	33575	1234	1288	975	865	1079	1644	900	916	824	960	668	1312	1326	564	644	206	126	1038	1185	284	441	255	597	100	168	582	736	1111	1018	570	386	165	580	498	1014	866	160	260	278	256	145	301	169	624	227	107	353	916	346	247	1079	385	597					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	436	10	12	10	10	31	20	10	10	10	10	10	10	10	10	6	4	5	6	14	5	6	4	10	5	5	5	7	13	10	10	5	5	5	5	20	10	5	5	5	5	5	5	5	8	5	5	5	10	5	5	10	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	304	9	12	10	8	29	20	8	8	6	7	3	9	9	3	6	4	0	6	14	2	6	4	10	2	0	4	4	12	8	1	5	2	1	1	19	7	0	1	4	2	0	1	0	6	0	4	2	2	4	3	10	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	296	8	5	8	26	13	8	17	11	9	8	7	5	5	2	3	2	1	7	9	1	5	3	2	1	1	3	6	5	5	3	4	3	4	4	7	12	11	4	4	3	2	4	3	3	5	0	3	12	3	1	6	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	132	1	0	0	2	2	0	2	2	4	3	7	1	1	7	0	0	5	0	0	3	0	0	0	3	5	1	3	1	2	9	0	3	4	4	1	3	5	4	1	3	5	4	5	2	5	1	3	8	1	2	0	2	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	8	5	9	8	9	10	14	4	4	3	3	1	2	0	0	1	0	3	4	0	0	2	1	0	0	1	0	2	6	4	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
18	1.Политическая партия «Аграрная партия России»	609	16	26	12	6	12	21	18	7	8	11	7	34	54	19	15	3	7	30	42	8	15	3	7	0	8	17	5	13	27	15	4	1	6	4	15	6	0	6	3	5	2	3	2	7	2	2	5	9	3	0	28	11	19					
		1.80%	1.29%	2.01%	1.22%	0.69%	1.11%	1.27%	1.99%	0.76%	0.96%	1.13%	1.04%	2.58%	4.04%	3.35%	2.31%	1.44%	5.51%	2.87%	3.54%	2.79%	3.39%	1.15%	1.17%	0.00%	4.76%	2.91%	0.68%	1.16%	2.63%	2.61%	1.03%	0.59%	1.03%	0.80%	1.47%	0.69%	0.00%	2.29%	1.06%	1.94%	1.38%	0.99%	1.17%	1.12%	0.87%	1.85%	1.39%	0.98%	0.86%	0.00%	2.57%	2.82%	3.16%					
19	2.Всероссийская политическая партия «Гражданская Сила»	120	13	8	8	2	8	5	8	6	2	5	3	4	0	8	1	0	0	2	0	0	1	0	1	0	0	1	0	2	10	1	0	0	2	1	3	0	1	0	1	0	0	1	1	0	0	0	3	0	1	0	5	2	0					
		0.35%	1.05%	0.62%	0.81%	0.23%	0.74%	0.30%	0.88%	0.65%	0.24%	0.51%	0.45%	0.30%	0.00%	1.41%	0.15%	0.00%	0.00%	0.19%	0.00%	0.00%	0.23%	0.00%	0.17%	0.00%	0.00%	0.17%	0.00%	0.18%	0.97%	0.17%	0.00%	0.00%	0.34%	0.20%	0.29%	0.00%	0.62%	0.00%	0.35%	0.00%	0.00%	0.33%	0.58%	0.00%	0.00%	0.00%	0.84%	0.00%	0.29%	0.00%	0.46%	0.51%	0.00%					
20	3.Политическая партия «Демократическая партия России»	26	0	2	0	0	0	0	0	0	0	1	0	5	4	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	1	0	2	0	0	0	0	1	0					
