Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Район  Коптево																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №3055	УИК №3056	УИК №3057					
1	"Число избирателей, внесенных в списки"	61468	2837	2412	2525	2775	2799	2117	2662	2474	2866	2310	2511	2440	2483	2447	2741	2603	2645	2348	2318	2704	2473	2700	1877	2639	116	161	485					
2	"Число бюллетеней, полученных участковыми комиссиями"	55510	2450	2100	2150	2500	2550	1900	2430	2250	2500	2100	2240	2200	2350	2340	2500	2400	2400	2050	2100	2440	2200	2430	1650	2370	150	200	560					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	34746	1667	1400	1491	1628	1515	1111	1526	1407	1603	1167	1417	1425	1463	1311	1433	1314	1573	1328	1236	1529	1410	1489	1176	1417	116	110	484					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1025	78	32	46	30	54	33	39	43	37	31	32	47	55	49	55	39	69	37	35	46	27	39	38	34	0	0	0					
6	Число погашенных бюллетеней	19739	705	668	613	842	981	756	865	800	860	902	791	728	832	980	1012	1047	758	685	829	865	763	902	436	919	34	90	76					
7	Число бюллетеней в переносных ящиках для голосования	1012	78	32	45	30	54	33	27	43	37	31	32	47	55	49	55	39	69	37	35	46	27	39	38	34	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	34416	1599	1400	1490	1614	1495	1111	1427	1405	1596	1156	1417	1407	1458	1288	1425	1314	1573	1291	1236	1527	1410	1484	1176	1407	116	110	484					
9	Число недействительных бюллетеней	438	24	15	19	20	21	17	0	18	11	13	9	49	15	21	20	24	26	12	19	21	13	11	14	21	1	0	4					
10	Число действительных бюллетеней	34990	1653	1417	1516	1624	1528	1127	1454	1430	1622	1174	1440	1405	1498	1316	1460	1329	1616	1316	1252	1552	1424	1512	1200	1420	115	110	480					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1200	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	786	38	33	31	46	25	33	27	30	32	28	28	24	36	30	46	32	34	32	32	41	37	44	16	31	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1253	82	162	30	27	35	74	63	16	23	36	30	26	27	17	19	15	26	39	23	13	28	16	19	19	4	8	376					
14	Число погашенных открепительных удостоверений	414	12	17	19	4	25	17	23	20	18	22	22	26	14	20	4	18	16	18	18	9	13	6	34	19	0	0	0					
15	Число открепительных удостоверений выданных ТИК	19	0	1	0	1	0	2	0	1	0	2	0	1	1	0	0	0	1	1	0	0	1	3	1	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	183	11	8	7	3	6	10	3	8	7	2	5	7	16	8	6	13	6	5	6	6	8	9	3	15	1	2	2					
		0.51%	0.65%	0.55%	0.45%	0.18%	0.38%	0.87%	0.20%	0.55%	0.42%	0.16%	0.34%	0.48%	1.05%	0.59%	0.40%	0.96%	0.36%	0.37%	0.47%	0.38%	0.55%	0.59%	0.24%	1.04%	0.86%	1.81%	0.41%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2714	155	158	132	101	122	68	119	124	174	63	116	100	111	93	81	67	108	124	91	91	113	160	98	108	13	13	11					
		7.66%	9.24%	11.03%	8.59%	6.14%	7.87%	5.94%	8.18%	8.56%	10.65%	5.30%	8.00%	6.87%	7.33%	6.95%	5.47%	4.95%	6.57%	9.33%	7.15%	5.78%	7.86%	10.50%	8.07%	7.49%	11.20%	11.81%	2.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	745	36	26	33	21	31	20	29	30	29	32	37	32	33	23	28	35	54	22	30	39	37	28	26	29	3	1	1					
		2.10%	2.14%	1.81%	2.14%	1.27%	2.00%	1.74%	1.99%	2.07%	1.77%	2.69%	2.55%	2.20%	2.18%	1.72%	1.89%	2.58%	3.28%	1.65%	2.36%	2.47%	2.57%	1.83%	2.14%	2.01%	2.58%	0.90%	0.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3693	210	151	217	154	146	107	163	148	163	108	161	193	175	124	144	133	140	142	112	141	162	195	117	163	3	6	15					
		10.42%	12.52%	10.54%	14.13%	9.36%	9.42%	9.35%	11.21%	10.22%	9.98%	9.09%	11.11%	13.27%	11.56%	9.27%	9.72%	9.83%	8.52%	10.69%	8.81%	8.96%	11.27%	12.80%	9.63%	11.31%	2.58%	5.45%	3.09%					
22	"5. ""За Русь Святую"""	196	16	3	7	7	8	3	6	4	7	9	7	6	12	8	15	8	8	3	15	10	9	8	7	6	0	0	4					
		0.55%	0.95%	0.20%	0.45%	0.42%	0.51%	0.26%	0.41%	0.27%	0.42%	0.75%	0.48%	0.41%	0.79%	0.59%	1.01%	0.59%	0.48%	0.22%	1.18%	0.63%	0.62%	0.52%	0.57%	0.41%	0.0%	0.0%	0.82%					
23	"6. ""Объединенная Российская партия ""Русь"""	74	4	6	3	5	3	2	2	2	2	5	3	1	3	6	4	5	3	3	3	2	3	3	1	0	0	0	0					
		0.20%	0.23%	0.41%	0.19%	0.30%	0.19%	0.17%	0.13%	0.13%	0.12%	0.42%	0.20%	0.06%	0.19%	0.44%	0.27%	0.36%	0.18%	0.22%	0.23%	0.12%	0.20%	0.19%	0.08%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	525	23	17	20	15	21	22	17	23	27	20	27	26	20	16	22	23	27	24	18	18	25	29	10	24	1	0	10					
		1.48%	1.37%	1.18%	1.30%	0.91%	1.35%	1.92%	1.16%	1.58%	1.65%	1.68%	1.86%	1.78%	1.32%	1.19%	1.48%	1.69%	1.64%	1.80%	1.41%	1.14%	1.73%	1.90%	0.82%	1.66%	0.86%	0.0%	2.06%					
25	"8. ""Народно-республиканская партия России"""	19	0	2	0	0	1	2	0	0	1	0	2	1	1	1	2	0	0	2	0	2	0	0	1	1	0	0	0					
		0.05%	0.0%	0.13%	0.0%	0.0%	0.06%	0.17%	0.0%	0.0%	0.06%	0.0%	0.13%	0.06%	0.06%	0.07%	0.13%	0.0%	0.0%	0.15%	0.0%	0.12%	0.0%	0.0%	0.08%	0.06%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	260	11	10	10	12	13	7	8	9	3	8	10	11	17	6	13	8	14	6	9	16	12	22	13	7	2	1	2					
		0.73%	0.65%	0.69%	0.65%	0.72%	0.83%	0.61%	0.55%	0.62%	0.18%	0.67%	0.69%	0.75%	1.12%	0.44%	0.87%	0.59%	0.85%	0.45%	0.70%	1.01%	0.83%	1.44%	1.07%	0.48%	1.72%	0.90%	0.41%					
27	"10. ""Аграрная партия России"""	581	40	23	21	27	18	22	36	17	25	29	24	16	24	12	28	16	36	21	33	28	21	22	11	23	0	1	7					
		1.63%	2.38%	1.60%	1.36%	1.64%	1.16%	1.92%	2.47%	1.17%	1.53%	2.44%	1.65%	1.10%	1.58%	0.89%	1.89%	1.18%	2.19%	1.58%	2.59%	1.78%	1.46%	1.44%	0.90%	1.59%	0.0%	0.90%	1.44%					
28	"11. ""Истинные патриоты России"""	32	2	1	0	4	0	0	1	1	2	0	1	3	1	2	1	6	0	3	0	2	1	0	0	0	0	0	1					
		0.09%	0.11%	0.06%	0.0%	0.24%	0.0%	0.0%	0.06%	0.06%	0.12%	0.0%	0.06%	0.20%	0.06%	0.14%	0.06%	0.44%	0.0%	0.22%	0.0%	0.12%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	397	17	12	18	16	15	12	20	8	16	20	17	14	21	18	17	16	18	18	11	18	20	17	17	16	0	1	4					
		1.12%	1.01%	0.83%	1.17%	0.97%	0.96%	1.04%	1.37%	0.55%	0.97%	1.68%	1.17%	0.96%	1.38%	1.34%	1.14%	1.18%	1.09%	1.35%	0.86%	1.14%	1.39%	1.11%	1.40%	1.11%	0.0%	0.90%	0.82%					
30	"13. ""Демократическая партия России"""	54	5	1	5	4	0	2	1	2	1	0	0	3	2	0	3	7	1	1	1	4	3	3	3	1	1	0	0					
		0.15%	0.29%	0.06%	0.32%	0.24%	0.0%	0.17%	0.06%	0.13%	0.06%	0.0%	0.0%	0.20%	0.13%	0.0%	0.20%	0.51%	0.06%	0.07%	0.07%	0.25%	0.20%	0.19%	0.24%	0.06%	0.86%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	70	2	2	3	7	7	3	7	3	2	3	1	1	1	2	2	2	5	0	2	1	1	6	4	0	0	2	1					
		0.19%	0.11%	0.13%	0.19%	0.42%	0.45%	0.26%	0.48%	0.20%	0.12%	0.25%	0.06%	0.06%	0.06%	0.14%	0.13%	0.14%	0.30%	0.0%	0.15%	0.06%	0.06%	0.39%	0.32%	0.0%	0.0%	1.81%	0.20%					
32	"15. ""Партия СЛОН"""	70	4	4	0	4	4	7	4	2	4	1	2	1	5	2	3	1	4	3	0	6	3	3	0	3	0	0	0					
		0.19%	0.23%	0.27%	0.0%	0.24%	0.25%	0.61%	0.27%	0.13%	0.24%	0.08%	0.13%	0.06%	0.33%	0.14%	0.20%	0.07%	0.24%	0.22%	0.0%	0.38%	0.20%	0.19%	0.0%	0.20%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5183	263	212	254	242	241	129	149	228	237	161	220	260	236	194	234	174	226	199	183	230	231	218	180	215	3	15	49					
		14.62%	15.68%	14.80%	16.54%	14.72%	15.55%	11.27%	10.24%	15.74%	14.51%	13.56%	15.18%	17.88%	15.59%	14.51%	15.81%	12.86%	13.76%	14.98%	14.39%	14.62%	16.07%	14.31%	14.82%	14.92%	2.58%	13.63%	10.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	40	2	1	1	1	1	3	1	1	2	7	3	1	0	2	4	1	2	2	1	0	2	0	0	0	0	1	1					
		0.11%	0.11%	0.06%	0.06%	0.06%	0.06%	0.26%	0.06%	0.06%	0.12%	0.58%	0.20%	0.06%	0.0%	0.14%	0.27%	0.07%	0.12%	0.15%	0.07%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.90%	0.20%					
