Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Киселевская городская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428					
1	"Число избирателей, внесенных в список"	71950	1034	1677	631	601	670	799	467	711	1056	1104	1585	2100	2105	1230	692	1881	941	683	931	801	1391	1223	1579	1878	1516	1238	824	1082	637	1076	1613	826	1114	1196	1395	1338	1521	1589	764	1850	2617	1725	1286	2220	462	639	579	1187	337	863	1482	722	617	946	1115	755	990	860	1034	989	1063	1131	982					
2	Число полученных избирательных бюллетеней	81200	1000	1800	700	600	700	900	700	700	1200	1200	2000	2300	2700	1300	800	2300	1100	700	1000	1000	1600	1000	1700	2000	2000	1400	1100	1300	600	1200	2000	700	1000	1000	1500	2100	1500	1800	900	2000	2700	2000	2000	2600	500	800	800	1400	300	1000	1600	800	600	1300	1200	1000	1000	1200	1000	1000	1100	1200	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47363	836	906	359	279	495	439	327	368	618	697	998	1705	1380	730	501	1337	521	411	523	563	1075	895	1247	1353	952	828	540	649	405	622	1115	520	562	876	1006	1156	1111	815	522	1223	1681	1188	906	1240	301	565	403	836	260	693	1099	412	457	639	945	411	604	470	396	488	613	722	569					
5	"Число избирательных бюллетеней, выданных вне помещения"	5946	35	134	165	133	48	121	49	139	57	56	74	38	123	155	57	74	207	86	132	33	54	32	101	150	55	100	89	102	97	50	176	107	244	69	67	37	83	138	72	116	145	24	61	88	78	36	26	75	16	21	127	63	45	72	84	156	223	222	282	116	44	35	52					
6	Число погашенных избирательных бюллетеней	27891	129	760	176	188	157	340	324	193	525	447	928	557	1197	415	242	889	372	203	345	404	471	73	352	497	993	472	471	549	98	528	709	73	194	55	427	907	306	847	306	661	874	788	1033	1272	121	199	371	489	24	286	374	325	98	589	171	433	173	508	322	396	443	443	379					
7	Число избирательных бюллетеней в переносных ящиках	5944	35	134	165	133	48	121	49	139	57	56	74	38	123	155	57	74	207	86	132	33	54	32	101	150	55	100	89	102	97	50	176	107	244	69	67	37	83	138	72	116	145	24	61	88	78	36	26	75	16	21	127	63	45	72	84	156	223	222	280	116	44	35	52					
8	Число бюллетеней в стационарных ящиках для голосования	47273	836	906	359	279	495	439	327	368	618	697	998	1705	1380	730	501	1337	521	411	523	563	1075	895	1247	1351	952	828	540	649	405	622	1115	520	562	876	1006	1156	1111	815	522	1223	1681	1188	906	1240	301	565	403	836	260	693	1099	412	457	639	861	411	604	469	394	488	612	722	569					
9	Число недействительных избирательных бюллетеней	503	3	8	0	2	0	6	2	0	5	3	1	19	7	9	5	20	8	1	26	1	4	13	15	5	8	15	4	9	0	5	103	12	3	4	6	13	13	0	6	5	0	8	4	8	2	1	2	0	0	3	43	5	2	9	0	0	14	4	6	4	6	7	6					
10	Число действительных избирательных бюллетеней	52714	868	1032	524	410	543	554	374	507	670	750	1071	1724	1496	876	553	1391	720	496	629	595	1125	914	1333	1496	999	913	625	742	502	667	1188	615	803	941	1067	1180	1181	953	588	1334	1826	1204	963	1320	377	600	427	911	276	711	1183	470	500	702	945	567	813	687	668	600	650	750	615					
