Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Сысертская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51248	925	1453	1515	1539	1841	1784	2164	1620	1247	1776	1341	364	295	1962	1664	785	913	2520	1058	1074	1859	2112	1775	312	215	825	242	463	2323	678	1379	1528	979	1049	656	844	2437	224	399	1800	1309									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49600	900	1400	1500	1550	1850	1750	2100	1450	1200	1750	1350	300	250	1900	1600	750	850	2350	1000	1000	1800	2100	1700	300	200	800	200	450	2300	650	1350	1500	950	1000	650	800	2450	200	350	1750	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18097	321	428	487	612	772	617	856	631	541	617	443	147	120	701	492	247	338	758	284	425	774	762	675	108	60	291	88	160	851	253	406	575	304	395	181	269	840	91	152	596	429									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	979	13	15	7	12	14	14	11	110	4	11	9	45	2	53	26	11	3	26	23	10	38	19	46	8	23	24	10	11	39	4	27	7	21	12	3	27	152	23	14	42	10									
6	Число погашенных избирательных бюллетеней	30524	566	957	1006	926	1064	1119	1233	709	655	1122	898	108	128	1146	1082	492	509	1566	693	565	988	1319	979	184	117	485	102	279	1410	393	917	918	625	593	467	504	1458	85	184	1112	861									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	978	13	15	7	12	14	14	11	110	4	11	9	45	2	53	26	11	3	26	23	10	38	19	46	8	23	24	10	11	39	4	27	7	21	12	3	27	151	23	14	42	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18094	321	428	487	612	772	617	856	631	541	617	443	147	120	701	492	247	338	758	284	425	774	761	675	108	60	291	88	160	851	253	406	575	304	395	179	269	840	91	152	596	429									
9	Число недействительных избирательных бюллетеней	688	4	16	12	33	33	20	25	26	11	11	13	6	6	36	22	6	6	21	10	17	31	26	31	2	2	17	6	4	21	15	17	9	13	8	8	12	79	4	12	22	15									
10	Число действительных избирательных бюллетеней	18384	330	427	482	591	753	611	842	715	534	617	439	186	116	718	496	252	335	763	297	418	781	754	690	114	81	298	92	167	869	242	416	573	312	399	174	284	912	110	154	616	424									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	920	20	30	30	30	30	30	40	30	20	30	30	10	10	30	30	15	15	40	20	20	30	30	30	10	5	15	5	10	40	10	20	30	20	20	10	15	40	10	10	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	404	3	6	10	15	21	16	17	9	4	24	15	1	0	15	26	4	7	18	6	8	19	10	14	2	1	4	1	0	26	6	15	18	7	7	1	6	11	1	3	13	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	455	8	4	2	9	6	13	21	2	7	11	2	5	7	34	6	5	4	14	5	40	18	3	41	12	6	7	13	3	9	1	4	10	6	11	7	31	21	13	6	25	3									
14	Число погашенных неиспользованных открепительных удостоверений	516	17	24	20	15	9	14	23	21	16	6	15	9	10	15	4	11	8	22	14	12	11	20	16	8	4	11	4	10	14	4	5	12	13	13	9	9	29	9	7	17	6									
