Выборы Президента Российской Федерации																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561	УИК  1562	УИК  1563	УИК  1564	УИК  1565	УИК  1566	УИК  1567	УИК  1568	УИК  1569	УИК  1570	УИК  1571	УИК  1572	УИК  1573	УИК  1574	УИК  1575	УИК  1576	УИК  1577	УИК  1578	УИК  1579	УИК  1580	УИК  1581	УИК  1582	УИК  1583	УИК  1584	УИК  1585	УИК  1586	УИК  1587	УИК  1588	УИК  1589	УИК  1590	УИК  1591	УИК  1592	УИК  1593	УИК  1594	УИК  1595	УИК  1596	УИК  1597	УИК  1598	УИК  1599	УИК  1600	УИК  1601	УИК  1602	УИК  1603	УИК  1604	УИК  1605	УИК  1606	УИК  1607	УИК  1608	УИК  1609	УИК  1610	УИК  1611					
1	"Число избирателей, внесенных в список"	111056	1316	2359	2287	1900	1859	2327	2106	1797	2018	1890	1692	1935	2037	1792	1754	1974	2007	2087	849	2107	2114	1850	1941	2111	2033	1769	2591	1927	2647	1931	2570	1515	2289	1733	1663	1474	1526	1566	1623	1849	1714	2158	1710	411	2330	2097	1809	1853	1982	1991	2314	2043	2147	2172	1962	2107	1973	1468					
2	Число полученных избирательных бюллетеней	109000	1300	2300	2300	1900	1800	2300	2000	1800	2000	1900	1700	1900	2000	1800	1700	1900	2000	2000	800	2100	2100	1800	1900	2000	2000	1700	2600	1900	2600	1900	2500	1500	2300	1700	1600	1400	1500	1500	1600	1800	1700	2100	1700	400	2300	2100	1800	1800	2000	2000	2300	2000	2000	2100	1900	2000	1900	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54441	434	1187	1135	995	909	1192	1083	942	1148	960	897	886	924	863	880	1163	922	1014	516	992	895	851	1004	1025	1022	893	1290	962	1361	921	1251	634	930	887	836	943	703	715	841	917	887	986	557	176	1076	1087	1008	983	835	979	1150	994	890	1061	962	1084	950	853					
5	"Число избирательных бюллетеней, выданных вне помещения"	1921	85	31	50	26	38	33	39	26	40	17	25	52	59	19	35	14	31	78	26	78	65	34	20	20	47	40	36	15	26	46	59	36	19	21	25	48	21	17	39	25	21	17	17	20	23	21	17	28	26	13	31	38	30	26	26	39	37	30					
6	Число погашенных избирательных бюллетеней	52638	781	1082	1115	879	853	1075	878	832	812	923	778	962	1017	918	785	723	1047	908	258	1030	1140	915	876	955	931	767	1274	923	1213	933	1190	830	1351	792	739	409	776	768	720	858	792	1097	1126	204	1201	992	775	789	1139	1008	1119	968	1080	1013	912	877	913	617					
7	Число избирательных бюллетеней в переносных ящиках	1920	85	31	50	26	38	33	39	26	40	17	25	52	59	19	35	14	31	78	26	78	65	34	20	20	47	40	36	15	26	46	58	36	19	21	25	48	21	17	39	25	21	17	17	20	23	21	17	28	26	13	31	38	30	26	26	39	37	30					
8	Число бюллетеней в стационарных ящиках для голосования	54422	433	1186	1135	995	909	1192	1083	942	1148	960	897	886	924	863	880	1163	922	1014	516	992	894	850	1002	1025	1022	893	1290	962	1361	921	1251	634	930	887	836	943	703	715	841	917	887	986	556	176	1076	1081	1007	983	835	979	1149	994	889	1061	962	1084	950	850					
9	Число недействительных избирательных бюллетеней	239	3	4	6	6	6	0	3	1	6	4	4	4	5	6	2	3	4	4	2	4	3	1	2	3	11	4	1	0	7	9	6	4	3	8	1	5	2	3	0	8	6	6	1	1	4	4	9	9	4	4	3	6	1	2	1	8	6	6					
10	Число действительных избирательных бюллетеней	56103	515	1213	1179	1015	941	1225	1119	967	1182	973	918	934	978	876	913	1174	949	1088	540	1066	956	883	1020	1042	1058	929	1325	977	1380	958	1303	666	946	900	860	986	722	729	880	934	902	997	572	195	1095	1098	1015	1002	857	988	1177	1026	918	1085	987	1115	981	874					
