Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
1	"Число избирателей, включенных в списки избирателей"	109464	116	151	1212	2270	2172	1853	1778	2430	1968	1729	1972	1832	2164	1924	1399	1726	1736	1954	2018	2027	812	2117	2079	1860	1878	2072	2054	1739	2000	1888	2807	2739	2489	646	1546	2292	1637	1426	1417	1656	1497	1776	1655	2522	1289	352	2315	2048	1750	1829	1654	1893	2135	1977	2043	2126	1886	3033	1982	2117					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	91500	200	200	1000	2000	2000	1500	1500	2000	1700	1500	1500	1500	2000	1500	1000	1500	1500	1500	1700	1700	700	2000	1700	1500	1500	1700	1700	1500	1700	1500	2500	2200	2200	500	1300	2000	1300	1100	1100	1500	1200	1500	1500	2000	1000	300	2000	1700	1500	1500	1300	1500	2000	1500	1700	1700	1500	2500	1700	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	66356	116	145	664	1417	1305	1202	1068	1525	1238	1075	1246	1136	1345	1220	791	1046	1074	1199	1141	1249	569	1202	1148	1056	1135	1289	1328	999	1229	1135	1637	1527	1314	382	889	1383	1010	1018	879	1001	1021	1047	965	1505	693	262	1405	1273	1187	1117	1036	1172	1292	1146	1149	1249	1101	1869	1157	1378					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3423	0	0	88	65	140	70	44	39	72	44	66	67	74	79	28	35	45	31	24	69	40	78	67	53	45	47	71	67	25	54	63	119	67	16	33	92	77	48	20	22	15	70	81	50	52	15	43	45	51	46	82	49	56	59	86	69	92	153	92	33					
6	Число погашенных избирательных бюллетеней	21720	84	55	248	518	555	228	388	436	390	381	188	297	581	201	181	419	381	270	535	382	91	720	485	391	320	364	301	434	446	311	800	554	819	102	377	525	213	34	201	477	164	383	454	445	255	23	552	382	262	337	182	279	652	295	465	382	307	478	451	289					
