Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Козьмодемьянская городская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169					
1	"Число избирателей, внесенных в список"	18150	798	1382	868	1123	1271	1335	954	1058	982	946	869	1062	484	692	930	839	1402	920	235					
2	Число полученных избирательных бюллетеней	16980	750	1250	800	1010	1170	1240	900	1000	900	900	810	1010	450	670	850	800	1300	900	270					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10240	482	788	482	693	703	802	601	729	567	507	451	628	230	301	527	442	696	477	134					
5	"Число избирательных бюллетеней, выданных вне помещения"	1043	15	41	45	43	49	23	44	48	103	80	87	35	42	54	93	34	69	37	101					
6	Число погашенных избирательных бюллетеней	5697	253	421	273	274	418	415	255	223	230	313	272	347	178	315	230	324	535	386	35					
7	Число избирательных бюллетеней в переносных ящиках	1043	15	41	45	43	49	23	44	48	103	80	87	35	42	54	93	34	69	37	101					
8	Число бюллетеней в стационарных ящиках для голосования	10240	482	788	482	693	703	802	601	729	567	507	451	628	230	301	527	442	696	477	134					
9	Число недействительных избирательных бюллетеней	75	3	2	7	3	6	0	7	2	9	3	3	1	4	5	7	2	5	6	0					
10	Число действительных избирательных бюллетеней	11208	494	827	520	733	746	825	638	775	661	584	535	662	268	350	613	474	760	508	235					
11	Число полученных открепительных  удостоверений	167	8	9	11	12	9	11	13	9	9	9	8	9	8	8	9	8	9	8	0					
12	Число выданных открепительных удостоверений	117	6	9	8	12	5	10	11	9	3	2	4	9	3	4	4	5	8	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	3	13	9	3	4	9	1	3	6	11	4	1	3	4	10	2	4	1	61					
14	Число неиспользованных открепительных удостоверений	50	2	0	3	0	4	1	2	0	6	7	4	0	5	4	5	3	1	3	0					
15	"Число открепительных удостоверений, выданных в ТИК"	29	4	3	1	0	2	2	1	1	0	2	0	1	3	4	1	1	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	440	24	30	24	23	31	35	37	50	26	15	17	33	5	9	14	21	26	15	5					
		3.90%	4.83%	3.62%	4.55%	3.12%	4.12%	4.24%	5.74%	6.44%	3.88%	2.56%	3.16%	4.98%	1.84%	2.54%	2.26%	4.41%	3.40%	2.92%	2.13%					
19	. Малышкин Олег Александрович	241	17	15	13	16	6	25	14	14	12	7	9	7	11	8	21	10	20	8	8					
		2.14%	3.42%	1.81%	2.47%	2.17%	0.80%	3.03%	2.17%	1.80%	1.79%	1.19%	1.67%	1.06%	4.04%	2.25%	3.39%	2.10%	2.61%	1.56%	3.40%					
20	. Миронов Сергей Михайлович	109	5	7	2	7	18	9	2	11	7	6	6	2	2	3	5	2	9	4	2					
		0.97%	1.01%	0.84%	0.38%	0.95%	2.39%	1.09%	0.31%	1.42%	1.04%	1.02%	1.12%	0.30%	0.74%	0.85%	0.81%	0.42%	1.18%	0.78%	0.85%					
21	. Путин Владимир Владимирович	8110	357	640	349	547	557	586	402	517	472	440	403	471	200	262	458	356	525	384	184					
		71.88%	71.83%	77.20%	66.22%	74.32%	74.07%	71.03%	62.33%	66.54%	70.45%	74.96%	74.91%	71.04%	73.53%	73.80%	73.87%	74.79%	68.63%	74.71%	78.30%					
22	. Хакамада Ирина Муцуовна	258	16	18	17	23	7	15	13	16	10	8	18	13	12	7	17	7	22	15	4					
		2.29%	3.22%	2.17%	3.23%	3.12%	0.93%	1.82%	2.02%	2.06%	1.49%	1.36%	3.35%	1.96%	4.41%	1.97%	2.74%	1.47%	2.88%	2.92%	1.70%					
23	. Харитонов Николай Михайлович	1665	63	89	94	97	109	118	141	134	109	90	71	108	30	51	74	56	134	71	26					
		14.76%	12.68%	10.74%	17.84%	13.18%	14.49%	14.30%	21.86%	17.25%	16.27%	15.33%	13.20%	16.29%	11.03%	14.37%	11.94%	11.76%	17.52%	13.81%	11.06%					
																										
24	Против всех	385	12	28	21	20	18	37	29	33	25	18	11	28	8	10	24	22	24	11	6					
		3.41%	2.41%	3.38%	3.98%	2.72%	2.39%	4.48%	4.50%	4.25%	3.73%	3.07%	2.04%	4.22%	2.94%	2.82%	3.87%	4.62%	3.14%	2.14%	2.55%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
