Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Кежемская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  1432	УИК  1433	УИК  1434	УИК  1435	УИК  1436	УИК  1437	УИК  1438	УИК  1439	УИК  1440	УИК  1441	УИК  1442	УИК  1443	УИК  1444	УИК  1445	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454					
1	"Число избирателей, внесенных в список"	16424	292	67	144	444	478	604	315	125	295	194	2620	2320	2506	2653	342	104	1003	134	882	495	144	228	35					
2	Число полученных избирательных бюллетеней	16396	290	63	151	454	476	608	325	123	299	177	2628	2343	2485	2586	344	111	993	139	884	505	138	235	39					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7898	168	30	114	179	203	385	80	65	154	93	1298	1007	1189	1192	142	93	518	70	378	263	102	142	33					
5	"Число избирательных бюллетеней, выданных вне помещения"	321	0	0	10	6	16	25	0	2	1	5	39	63	28	40	0	0	30	11	18	22	5	0	0					
6	Число погашенных избирательных бюллетеней	8177	122	33	27	269	257	198	245	56	144	79	1291	1273	1268	1354	202	18	445	58	488	220	31	93	6					
7	Число избирательных бюллетеней в переносных ящиках	321	0	0	10	6	16	25	0	2	1	5	39	63	28	40	0	0	30	11	18	22	5	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	7896	168	30	114	179	203	385	80	65	154	93	1297	1007	1188	1192	142	93	518	70	378	263	102	142	33					
9	Число недействительных избирательных бюллетеней	69	3	0	3	3	2	4	3	1	2	0	10	7	8	11	0	0	4	0	3	4	1	0	0					
10	Число действительных избирательных бюллетеней	8148	165	30	121	182	217	406	77	66	153	98	1326	1063	1208	1221	142	93	544	81	393	281	106	142	33					
11	Число полученных открепительных  удостоверений	247	8	8	8	8	8	9	9	9	9	9	20	20	20	20	15	8	12	5	10	9	7	8	8					
12	Число выданных открепительных удостоверений	46	0	0	0	0	1	6	2	3	0	5	6	4	5	8	0	0	3	0	0	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	0	3	0	0	0	0	1	0	0	2	7	3	4	2	0	0	0	0	2	4	2	0	0					
14	Число неиспользованных открепительных удостоверений	201	8	8	8	8	7	3	7	6	9	4	14	16	15	12	15	8	9	5	10	7	7	7	8					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	1415	6	0	18	18	25	38	4	2	26	7	289	213	323	273	22	17	47	14	40	19	7	3	4					
		17.22%	3.57%	0.00%	14.52%	9.73%	11.42%	9.27%	5.00%	2.99%	16.77%	7.14%	21.63%	19.91%	26.56%	22.16%	15.49%	18.28%	8.58%	17.28%	10.10%	6.67%	6.54%	2.11%	12.12%					
19	. Малышкин Олег Александрович	122	7	1	4	0	2	6	1	0	0	0	13	20	11	17	2	0	14	0	8	3	6	4	3					
		1.48%	4.17%	3.33%	3.23%	0.00%	0.91%	1.46%	1.25%	0.00%	0.00%	0.00%	0.97%	1.87%	0.90%	1.38%	1.41%	0.00%	2.55%	0.00%	2.02%	1.05%	5.61%	2.82%	9.09%					
20	. Миронов Сергей Михайлович	52	3	0	0	0	0	0	0	0	1	0	12	9	5	5	1	0	5	1	4	4	0	1	1					
