Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Северо-Эвенская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  91	УИК  92	УИК  93	УИК  95	УИК  96	УИК  97					
1	"Число избирателей, внесенных в списки"	2502	1500	386	160	163	127	166					
2	"Число бюллетеней, полученных участковыми комиссиями"	2420	1404	398	157	163	140	158					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	49	0	21	0	10	0	18					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1649	1024	230	93	124	83	95					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	110	64	9	25	8	4	0					
6	Число погашенных бюллетеней	612	316	138	39	21	53	45					
7	Число бюллетеней в переносных ящиках для голосования	159	64	30	25	18	4	18					
8	Число бюллетеней в стационарных ящиках для голосования	1648	1024	229	93	124	83	95					
9	Число недействительных бюллетеней	65	30	21	0	9	1	4					
10	Число действительных бюллетеней	1742	1058	238	118	133	86	109					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	69	39	10	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	26	6	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	16	3	1	4	1	2					
14	Число погашенных открепительных удостоверений	35	13	4	5	3	5	5					
15	Число открепительных удостоверений выданных ТИК	21	8	0	0	4	8	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	53	26	10	4	8	2	3					
		2.93%	2.38%	3.86%	3.38%	5.63%	2.29%	2.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	47	34	7	0	1	1	4					
		2.60%	3.12%	2.70%	0.0%	0.70%	1.14%	3.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	63	35	10	2	9	0	7					
		3.48%	3.21%	3.86%	1.69%	6.33%	0.0%	6.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	50	43	1	1	0	1	4					
		2.76%	3.95%	0.38%	0.84%	0.0%	1.14%	3.53%					
22	"5. ""За Русь Святую"""	8	6	1	1	0	0	0					
		0.44%	0.55%	0.38%	0.84%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	2	0	1	1	0	0					
		0.22%	0.18%	0.0%	0.84%	0.70%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	1	1	0	1	0	0					
		0.16%	0.09%	0.38%	0.0%	0.70%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	2	1	0	0	1	0	0					
		0.11%	0.09%	0.0%	0.0%	0.70%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	1	4	0	1	0	0					
		0.33%	0.09%	1.54%	0.0%	0.70%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	27	20	4	0	3	0	0					
		1.49%	1.83%	1.54%	0.0%	2.11%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	6	3	0	0	2	1	0					
		0.33%	0.27%	0.0%	0.0%	1.40%	1.14%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	45	32	0	1	2	1	9					
		2.49%	2.94%	0.0%	0.84%	1.40%	1.14%	7.96%					
30	"13. ""Демократическая партия России"""	5	3	2	0	0	0	0					
		0.27%	0.27%	0.77%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	14	12	1	0	0	0	1					
		0.77%	1.10%	0.38%	0.0%	0.0%	0.0%	0.88%					
32	"15. ""Партия СЛОН"""	3	2	0	0	0	0	1					
		0.16%	0.18%	0.0%	0.0%	0.0%	0.0%	0.88%					
33	"16. ""Родина"" (народно-патриотический союз)"""	90	79	5	3	3	0	0					
		4.98%	7.26%	1.93%	2.54%	2.11%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	7	3	1	0	1	1	1					
		0.38%	0.27%	0.38%	0.0%	0.70%	1.14%	0.88%					
35	"18. ""ЛДПР"""	239	169	28	20	8	8	6					
		13.22%	15.53%	10.81%	16.94%	5.63%	9.19%	5.30%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	17	11	3	1	2	0	0					
		0.94%	1.01%	1.15%	0.84%	1.40%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	773	425	93	71	76	62	46					
		42.77%	39.06%	35.90%	60.16%	53.52%	71.26%	40.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	1	1	0	0	0	0	0					
		0.05%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1	0	1	0	0	0	0					
		0.05%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	165	75	57	9	4	1	19					
		9.13%	6.89%	22.00%	7.62%	2.81%	1.14%	16.81%					
													
41	Против всех	113	74	9	4	10	8	8					
		6.25%	6.80%	3.47%	3.38%	7.04%	9.19%	7.07%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
