Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Перемышльская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9562	550	178	738	218	273	198	558	874	267	2563	160	134	382	595	1150	442	282									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9300	600	200	750	225	300	275	600	800	325	2100	175	150	400	550	1100	450	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4656	309	116	361	121	105	119	300	404	198	1140	86	88	172	201	594	159	183									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1561	98	32	91	45	137	73	94	148	46	184	42	24	88	129	120	175	35									
6	Число погашенных избирательных бюллетеней	3083	193	52	298	59	58	83	206	248	81	776	47	38	140	220	386	116	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1561	98	32	91	45	137	73	94	148	46	184	42	24	88	129	120	175	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4654	309	116	361	121	105	119	300	404	198	1138	86	88	172	201	594	159	183									
9	Число недействительных избирательных бюллетеней	120	7	5	10	4	6	3	5	14	2	36	0	0	7	3	6	7	5									
10	Число действительных избирательных бюллетеней	6095	400	143	442	162	236	189	389	538	242	1286	128	112	253	327	708	327	213									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1020	80	35	60	25	40	55	60	45	75	150	30	35	50	50	130	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	862	74	35	60	25	37	55	50	45	75	78	30	28	50	12	112	46	50									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	125	11	3	4	4	2	2	5	14	5	27	2	10	1	13	6	8	8									
14	Число погашенных неиспользованных открепительных удостоверений	158	6	0	0	0	3	0	10	0	0	72	0	7	0	38	18	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	1	0	3	0	3	25	0	2	0	20	0	6	2	1	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	2	0	4	0	0	0	4	4	2	11	3	1	1	2	7	1	0									
		0.68%	0.49%	0.00%	0.88%	0.00%	0.00%	0.00%	1.02%	0.72%	0.82%	0.83%	2.34%	0.89%	0.38%	0.61%	0.98%	0.30%	0.00%									
