Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Белореченская городская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663					
1	"Число избирателей, внесенных в списки"	82955	2086	2230	2303	2600	2017	2187	1220	2148	2517	2425	2366	2471	2328	2123	2283	2207	2273	1141	2269	2274	2451	735	2536	522	1623	2148	586	387	360	586	1160	1054	745	199	330	1430	1641	1283	336	307	973	228	474	142	2228	2006	345	310	1494	314	231	1010	1171	459	369	794	976	1359	226	206	1867	1326	560					
2	"Число бюллетеней, полученных участковыми комиссиями"	81000	2000	2000	2100	2450	1950	2100	1150	2000	2300	2200	2200	2200	2100	2000	2100	2000	2100	1000	2100	2100	2200	700	2400	530	1600	2000	600	430	350	700	1100	1100	780	220	350	1600	1750	1450	380	350	1000	250	530	160	2300	2200	470	280	1600	340	220	1000	1300	550	370	1100	1050	1400	220	210	1850	1300	560					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37243	908	922	1013	1057	882	1063	573	945	1057	1119	1149	1113	973	854	882	909	1055	482	871	789	945	248	1102	302	731	884	177	241	169	302	629	581	365	105	128	638	835	611	182	174	613	156	287	88	896	820	157	138	632	189	129	664	603	280	202	416	399	717	139	108	876	501	268					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1774	28	44	12	25	29	6	12	42	67	86	29	28	29	13	163	43	27	23	27	52	49	24	36	0	10	12	51	0	23	18	5	25	16	20	17	10	25	36	18	13	12	0	31	3	19	43	53	76	60	6	3	5	21	10	11	14	32	107	0	14	8	43	10					
6	Число погашенных бюллетеней	41983	1064	1034	1075	1368	1039	1031	565	1013	1176	995	1022	1059	1098	1133	1055	1048	1018	495	1202	1259	1206	428	1262	228	859	1104	372	189	158	380	466	494	399	95	205	952	890	803	180	163	375	94	212	69	1385	1337	260	66	908	145	88	331	676	260	157	670	619	576	81	88	966	756	282					
7	Число бюллетеней в переносных ящиках для голосования	1774	28	44	12	25	29	6	12	42	67	86	29	28	29	13	163	43	27	23	27	52	49	24	36	0	10	12	51	0	23	18	5	25	16	20	17	10	25	36	18	13	12	0	31	3	19	43	53	76	60	6	3	5	21	10	11	14	32	107	0	14	8	43	10					
8	Число бюллетеней в стационарных ящиках для голосования	37222	908	922	1013	1055	882	1056	573	945	1057	1119	1149	1110	973	854	882	909	1055	482	871	789	941	248	1102	302	731	884	177	241	169	302	629	581	365	105	128	638	835	611	182	174	608	156	287	88	896	820	157	138	632	189	129	664	603	280	202	416	399	717	139	108	876	501	268					
9	Число недействительных бюллетеней	941	20	13	9	27	114	15	2	0	24	18	11	20	8	45	0	13	42	4	18	21	8	1	48	17	15	9	40	7	5	1	10	6	7	2	5	27	37	11	1	4	12	0	9	10	24	11	3	0	19	4	0	26	19	5	17	5	14	25	9	0	16	9	19					
10	Число действительных бюллетеней	38055	916	953	1016	1053	797	1047	583	987	1100	1187	1167	1118	994	822	1045	939	1040	501	880	820	982	271	1090	285	726	887	188	234	187	319	624	600	374	123	140	621	823	636	199	183	608	156	309	81	891	852	207	214	673	191	132	643	605	285	196	425	417	799	130	122	868	535	259					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	650	10	10	10	10	10	10	10	10	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	124	3	6	6	3	1	6	3	6	18	9	7	2	3	1	3	1	3	8	1	1	2	0	2	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	3	1	1	0	1	0	6	7	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	2	1	4	3	0	5	2	2	1	3	5	4	1	2	1	0	2	9	0	0	4	1	0	0	1	0	0	0	0	2	2	1	1	0	0	0	0	1	2	0	3	2	1	0	7	3	1	0	1	2	1	0	0	2	0	0	0	0	1	0	2	1	0					
14	Число погашенных открепительных удостоверений	526	7	4	4	7	9	4	7	4	12	1	3	8	7	9	7	9	7	2	9	9	8	10	8	9	10	10	10	10	10	9	9	10	10	10	10	10	8	10	7	9	9	10	9	10	4	3	10	10	9	10	10	10	9	10	10	10	10	9	10	10	10	10	8					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	"1. ""ЕДИНЕНИЕ"""	678	13	9	11	9	7	12	4	13	18	16	18	14	12	15	12	10	18	5	17	30	10	4	47	7	19	3	12	9	4	1	4	8	5	8	7	14	3	9	3	0	3	8	4	4	9	9	6	1	13	3	0	16	16	8	5	8	19	24	5	2	34	32	9					
		1.73%	1.38%	0.93%	1.07%	0.83%	0.76%	1.12%	0.68%	1.31%	1.60%	1.32%	1.52%	1.23%	1.19%	1.73%	1.14%	1.05%	1.66%	0.99%	1.89%	3.56%	1.01%	1.47%	4.13%	2.31%	2.56%	0.33%	5.26%	3.73%	2.08%	0.31%	0.63%	1.32%	1.31%	6.4%	4.82%	2.16%	0.34%	1.39%	1.5%	0.0%	0.48%	5.12%	1.25%	4.39%	0.98%	1.04%	2.85%	0.46%	1.87%	1.53%	0.0%	2.39%	2.56%	2.75%	2.34%	1.86%	4.40%	2.91%	3.59%	1.63%	3.84%	5.88%	3.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	761	23	28	22	19	30	38	21	20	35	33	22	15	30	13	34	32	40	10	30	13	15	4	29	7	10	12	6	3	1	3	3	3	6	0	6	5	14	7	0	2	5	0	0	1	8	6	3	2	2	0	0	4	10	3	6	8	13	10	1	1	14	12	8					
		1.95%	2.45%	2.89%	2.14%	1.75%	3.29%	3.57%	3.58%	2.02%	3.11%	2.73%	1.86%	1.31%	2.99%	1.49%	3.25%	3.36%	3.69%	1.98%	3.34%	1.54%	1.51%	1.47%	2.54%	2.31%	1.34%	1.33%	2.63%	1.24%	0.52%	0.93%	0.47%	0.49%	1.57%	0.0%	4.13%	0.77%	1.62%	1.08%	0.0%	1.06%	0.80%	0.0%	0.0%	1.09%	0.87%	0.69%	1.42%	0.93%	0.28%	0.0%	0.0%	0.59%	1.60%	1.03%	2.81%	1.86%	3.01%	1.21%	0.71%	0.81%	1.58%	2.20%	2.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	859	13	12	32	23	34	15	25	30	21	18	20	26	26	22	23	17	17	13	11	18	37	6	27	9	20	6	4	1	2	20	11	11	6	1	2	9	22	20	5	1	4	0	13	1	35	36	3	4	11	5	0	7	6	15	6	8	10	16	0	0	23	9	11					
		2.20%	1.38%	1.24%	3.12%	2.12%	3.73%	1.41%	4.27%	3.03%	1.86%	1.49%	1.69%	2.28%	2.59%	2.53%	2.20%	1.78%	1.57%	2.57%	1.22%	2.14%	3.73%	2.20%	2.37%	2.98%	2.69%	0.66%	1.75%	0.41%	1.04%	6.25%	1.73%	1.81%	1.57%	0.8%	1.37%	1.38%	2.55%	3.09%	2.5%	0.53%	0.64%	0.0%	4.08%	1.09%	3.82%	4.17%	1.42%	1.86%	1.58%	2.56%	0.0%	1.04%	0.96%	5.17%	2.81%	1.86%	2.32%	1.94%	0.0%	0.0%	2.60%	1.65%	3.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1035	28	34	48	41	41	55	21	31	38	41	27	24	23	45	37	26	22	15	36	18	21	9	16	5	14	17	4	1	3	4	13	6	0	2	3	9	23	10	6	4	4	1	11	2	13	15	0	5	6	1	3	56	12	7	6	2	8	20	12	0	14	2	14					
		2.65%	2.99%	3.51%	4.68%	3.79%	4.50%	5.17%	3.58%	3.14%	3.38%	3.40%	2.29%	2.10%	2.29%	5.19%	3.54%	2.73%	2.03%	2.97%	4.00%	2.14%	2.12%	3.30%	1.40%	1.65%	1.88%	1.89%	1.75%	0.41%	1.56%	1.25%	2.05%	0.99%	0.0%	1.6%	2.06%	1.38%	2.67%	1.54%	3.0%	2.13%	0.64%	0.64%	3.45%	2.19%	1.42%	1.73%	0.0%	2.33%	0.86%	0.51%	2.27%	8.37%	1.92%	2.41%	2.81%	0.46%	1.85%	2.42%	8.63%	0.0%	1.58%	0.36%	5.03%					
22	"5. ""За Русь Святую"""	286	12	7	7	2	3	6	6	7	7	7	10	16	8	1	10	4	10	8	1	5	17	1	8	2	4	7	0	1	2	2	3	2	0	1	4	4	7	3	6	0	7	0	4	0	3	3	3	1	3	2	0	0	5	0	0	1	4	26	1	0	6	1	5					
		0.73%	1.28%	0.72%	0.68%	0.18%	0.32%	0.56%	1.02%	0.70%	0.62%	0.58%	0.84%	1.40%	0.79%	0.11%	0.95%	0.42%	0.92%	1.58%	0.11%	0.59%	1.71%	0.36%	0.70%	0.66%	0.53%	0.78%	0.0%	0.41%	1.04%	0.62%	0.47%	0.33%	0.0%	0.8%	2.75%	0.61%	0.81%	0.46%	3.0%	0.0%	1.12%	0.0%	1.25%	0.0%	0.32%	0.34%	1.42%	0.46%	0.43%	1.02%	0.0%	0.0%	0.80%	0.0%	0.0%	0.23%	0.92%	3.15%	0.71%	0.0%	0.67%	0.18%	1.79%					
23	"6. ""Объединенная Российская партия ""Русь"""	77	0	2	4	1	3	0	0	0	1	3	1	2	2	1	3	0	4	0	2	1	0	0	1	1	3	6	0	2	0	1	0	3	1	0	0	2	0	0	1	0	0	0	0	0	6	0	0	1	1	0	1	3	3	1	0	0	1	9	0	0	0	0	0					
		0.19%	0.0%	0.20%	0.39%	0.09%	0.32%	0.0%	0.0%	0.0%	0.08%	0.24%	0.08%	0.17%	0.19%	0.11%	0.28%	0.0%	0.36%	0.0%	0.22%	0.11%	0.0%	0.0%	0.08%	0.33%	0.40%	0.66%	0.0%	0.82%	0.0%	0.31%	0.0%	0.49%	0.26%	0.0%	0.0%	0.30%	0.0%	0.0%	0.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.46%	0.14%	0.0%	0.75%	0.44%	0.48%	0.34%	0.0%	0.0%	0.23%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	276	17	8	3	6	3	6	2	3	7	8	11	8	14	9	0	4	3	2	9	10	8	0	14	1	7	5	2	0	0	0	1	4	2	0	2	2	6	5	2	0	0	0	3	0	12	10	1	3	7	3	1	9	3	1	2	3	2	4	0	0	13	1	4					
		0.70%	1.81%	0.82%	0.29%	0.55%	0.32%	0.56%	0.34%	0.30%	0.62%	0.66%	0.93%	0.70%	1.39%	1.03%	0.0%	0.42%	0.27%	0.39%	1.00%	1.18%	0.80%	0.0%	1.23%	0.33%	0.94%	0.55%	0.87%	0.0%	0.0%	0.0%	0.15%	0.66%	0.52%	0.0%	1.37%	0.30%	0.69%	0.77%	1.0%	0.0%	0.0%	0.0%	0.94%	0.0%	1.31%	1.15%	0.47%	1.40%	1.01%	1.53%	0.75%	1.34%	0.48%	0.34%	0.93%	0.69%	0.46%	0.48%	0.0%	0.0%	1.47%	0.18%	1.43%					
25	"8. ""Народно-республиканская партия России"""	92	2	1	1	0	0	2	0	0	0	1	1	0	0	2	1	3	1	0	0	5	2	1	3	1	3	0	0	0	1	0	3	1	1	0	0	1	0	21	2	0	2	2	0	0	2	3	1	1	3	0	1	2	1	1	0	5	3	3	0	0	0	2	0					
		0.23%	0.21%	0.10%	0.09%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.08%	0.08%	0.0%	0.0%	0.23%	0.09%	0.31%	0.09%	0.0%	0.0%	0.59%	0.20%	0.36%	0.26%	0.33%	0.40%	0.0%	0.0%	0.0%	0.52%	0.0%	0.47%	0.16%	0.26%	0.0%	0.0%	0.15%	0.0%	3.24%	1.0%	0.0%	0.32%	1.28%	0.0%	0.0%	0.21%	0.34%	0.47%	0.46%	0.43%	0.0%	0.75%	0.29%	0.16%	0.34%	0.0%	1.16%	0.69%	0.36%	0.0%	0.0%	0.0%	0.36%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	95	3	0	1	2	1	8	1	2	2	6	0	3	5	1	4	2	1	1	1	4	2	1	3	1	1	2	1	0	0	3	0	1	3	1	0	3	0	1	0	0	2	1	3	1	0	6	1	0	2	0	0	0	2	1	0	3	1	0	0	0	0	0	1					
		0.24%	0.32%	0.0%	0.09%	0.18%	0.10%	0.75%	0.17%	0.20%	0.17%	0.49%	0.0%	0.26%	0.49%	0.11%	0.38%	0.21%	0.09%	0.19%	0.11%	0.47%	0.20%	0.36%	0.26%	0.33%	0.13%	0.22%	0.43%	0.0%	0.0%	0.93%	0.0%	0.16%	0.78%	0.8%	0.0%	0.46%	0.0%	0.15%	0.0%	0.0%	0.32%	0.64%	0.94%	1.09%	0.0%	0.69%	0.47%	0.0%	0.28%	0.0%	0.0%	0.0%	0.32%	0.34%	0.0%	0.69%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%					
27	"10. ""Аграрная партия России"""	1235	17	26	17	24	24	21	21	21	23	36	40	32	28	21	40	31	34	17	23	30	24	4	37	6	32	20	0	17	3	13	51	26	10	6	6	19	40	15	5	4	30	9	9	3	55	46	10	6	40	8	5	14	22	16	8	18	2	19	3	8	19	16	5					
		3.16%	1.81%	2.69%	1.65%	2.22%	2.63%	1.97%	3.58%	2.12%	2.04%	2.98%	3.39%	2.81%	2.79%	2.42%	3.82%	3.25%	3.14%	3.36%	2.56%	3.56%	2.42%	1.47%	3.25%	1.98%	4.31%	2.23%	0.0%	7.05%	1.56%	4.06%	8.04%	4.29%	2.62%	4.8%	4.13%	2.93%	4.65%	2.31%	2.5%	2.13%	4.83%	5.76%	2.83%	3.29%	6.01%	5.33%	4.76%	2.80%	5.78%	4.10%	3.78%	2.09%	3.52%	5.51%	3.75%	4.18%	0.46%	2.30%	2.15%	6.55%	2.14%	2.94%	1.79%					
28	"11. ""Истинные патриоты России"""	143	0	0	0	2	1	0	1	2	2	0	1	1	2	1	5	1	0	3	2	2	2	0	11	0	4	0	0	0	0	10	0	0	0	0	1	0	11	0	0	1	0	1	0	0	0	1	0	1	3	0	0	5	4	0	35	4	3	0	0	0	14	0	6					
		0.36%	0.0%	0.0%	0.0%	0.18%	0.10%	0.0%	0.17%	0.20%	0.17%	0.0%	0.08%	0.08%	0.19%	0.11%	0.47%	0.10%	0.0%	0.59%	0.22%	0.23%	0.20%	0.0%	0.96%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	3.12%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	1.27%	0.0%	0.0%	0.53%	0.0%	0.64%	0.0%	0.0%	0.0%	0.11%	0.0%	0.46%	0.43%	0.0%	0.0%	0.74%	0.64%	0.0%	16.43%	0.93%	0.69%	0.0%	0.0%	0.0%	1.58%	0.0%	2.15%					
