Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Кромская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №790					
1	"Число избирателей, внесенных в списки"	16866	775	459	246	352	497	1108	547	378	802	448	478	259	221	159	320	317	330	265	1056	1646	967	1562	330	236	138	425	154	317	162	390	199	300	76	303	246	398					
2	"Число бюллетеней, полученных участковыми комиссиями"	16900	780	463	248	347	494	1085	544	402	858	448	490	262	224	163	320	314	322	265	969	1629	935	1513	336	265	166	439	155	321	168	396	199	309	93	306	247	425					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11962	414	399	202	244	292	805	357	212	524	267	316	219	182	96	270	225	272	215	665	1100	650	1245	259	138	138	270	78	263	114	365	194	251	54	183	168	316					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1635	137	0	10	19	57	0	28	119	113	71	119	30	29	51	21	58	7	21	103	50	22	34	28	76	0	128	69	18	40	0	0	10	22	59	40	46					
6	Число погашенных бюллетеней	3303	229	64	36	84	145	280	159	71	221	110	55	13	13	16	29	31	43	29	201	479	263	234	49	51	28	41	8	40	14	31	5	48	17	64	39	63					
7	Число бюллетеней в переносных ящиках для голосования	1635	137	0	10	19	57	0	28	119	113	71	119	30	29	51	21	58	7	21	103	50	22	34	28	76	0	128	69	18	40	0	0	10	22	59	40	46					
8	Число бюллетеней в стационарных ящиках для голосования	11962	414	399	202	244	292	805	357	212	524	267	316	219	182	96	270	225	272	215	665	1100	650	1245	259	138	138	270	78	263	114	365	194	251	54	183	168	316					
9	Число недействительных бюллетеней	135	3	3	0	2	2	9	0	2	2	3	0	3	1	0	0	0	0	3	5	22	11	28	1	7	3	1	6	7	1	3	0	0	1	5	1	0					
10	Число действительных бюллетеней	13462	548	396	212	261	347	796	385	329	635	335	435	246	210	147	291	283	279	233	763	1128	661	1251	286	207	135	397	141	274	153	362	194	261	75	237	207	362					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	13	7	4	6	8	14	9	7	16	7	12	4	3	2	6	5	5	4	25	35	15	35	5	4	2	7	2	5	2	6	3	5	1	5	4	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	157	5	7	1	1	0	7	2	5	7	5	12	3	0	2	1	1	2	3	24	18	15	16	1	3	0	1	0	3	2	3	0	0	0	0	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	105	3	5	0	2	0	6	1	5	3	0	1	5	1	2	5	5	5	5	11	15	0	6	0	0	3	3	1	0	2	1	1	2	2	0	2	2					
14	Число погашенных открепительных удостоверений	143	8	0	3	5	8	7	7	2	9	2	0	1	3	0	5	4	3	1	1	17	0	19	4	1	2	6	2	2	0	3	3	5	1	5	3	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	114	4	13	1	0	2	11	4	2	10	1	2	3	0	0	1	0	7	4	6	8	3	7	5	1	0	4	1	4	1	0	0	1	0	1	0	7					
		0.83%	0.72%	3.25%	0.47%	0.0%	0.57%	1.36%	1.03%	0.60%	1.56%	0.29%	0.45%	1.20%	0.0%	0.0%	0.34%	0.0%	2.50%	1.69%	0.78%	0.69%	0.44%	0.54%	1.74%	0.46%	0.0%	1.00%	0.68%	1.42%	0.64%	0.0%	0.0%	0.38%	0.0%	0.41%	0.0%	1.93%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	83	2	2	2	1	4	4	0	1	3	3	3	3	0	2	5	0	5	0	7	6	4	10	1	0	0	5	0	5	0	2	0	0	0	0	0	3					
		0.61%	0.36%	0.50%	0.94%	0.38%	1.14%	0.49%	0.0%	0.30%	0.47%	0.88%	0.68%	1.20%	0.0%	1.36%	1.71%	0.0%	1.79%	0.0%	0.91%	0.52%	0.59%	0.78%	0.34%	0.0%	0.0%	1.25%	0.0%	1.77%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	139	8	3	2	3	5	9	4	4	7	3	6	0	0	0	0	0	11	1	8	14	14	14	3	1	2	3	0	0	2	1	1	3	1	0	0	6					
		1.02%	1.45%	0.75%	0.94%	1.14%	1.43%	1.11%	1.03%	1.20%	1.09%	0.88%	1.37%	0.0%	0.0%	0.0%	0.0%	0.0%	3.94%	0.42%	1.04%	1.21%	2.08%	1.09%	1.04%	0.46%	1.44%	0.75%	0.0%	0.0%	1.29%	0.27%	0.51%	1.14%	1.31%	0.0%	0.0%	1.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	102	12	3	0	1	2	6	1	2	6	3	1	1	0	1	2	3	4	1	16	8	9	8	5	0	2	0	0	0	0	0	0	1	0	0	0	4					
		0.75%	2.17%	0.75%	0.0%	0.38%	0.57%	0.74%	0.25%	0.60%	0.94%	0.88%	0.22%	0.40%	0.0%	0.68%	0.68%	1.06%	1.43%	0.42%	2.08%	0.69%	1.33%	0.62%	1.74%	0.0%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	1.10%					
22	"5. ""За Русь Святую"""	45	0	0	0	0	1	4	2	1	0	3	1	1	0	0	1	2	1	0	5	6	6	3	1	0	0	0	1	0	0	2	0	0	0	0	2	2					
		0.33%	0.0%	0.0%	0.0%	0.0%	0.28%	0.49%	0.51%	0.30%	0.0%	0.88%	0.22%	0.40%	0.0%	0.0%	0.34%	0.70%	0.35%	0.0%	0.65%	0.52%	0.89%	0.23%	0.34%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.96%	0.55%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	0	0	1	0	2	0	0	1	3	1	1	1	0	0	1	0	0	0	0	0	1	4	0	1	1	1	0	0	0	0	0	0	0	0	0	2					
		0.15%	0.0%	0.0%	0.47%	0.0%	0.57%	0.0%	0.0%	0.30%	0.47%	0.29%	0.22%	0.40%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.31%	0.0%	0.46%	0.72%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%					
24	"7. ""Новый курс - Автомобильная Россия"""	75	2	6	0	0	0	7	3	2	5	3	3	2	1	0	0	0	1	0	6	7	7	14	2	0	0	1	0	0	1	1	0	0	0	0	0	1					
		0.55%	0.36%	1.50%	0.0%	0.0%	0.0%	0.86%	0.77%	0.60%	0.78%	0.88%	0.68%	0.80%	0.47%	0.0%	0.0%	0.0%	0.35%	0.0%	0.78%	0.60%	1.04%	1.09%	0.69%	0.0%	0.0%	0.25%	0.0%	0.0%	0.64%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%					
25	"8. ""Народно-республиканская партия России"""	12	0	2	1	1	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0					
		0.08%	0.0%	0.50%	0.47%	0.38%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.06%	0.0%	0.0%	0.47%	0.0%	0.0%	0.12%	0.0%	0.0%	0.15%	0.29%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.13%	0.0%	0.14%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%					
27	"10. ""Аграрная партия России"""	376	16	0	1	5	7	33	6	7	30	4	12	32	2	11	6	5	3	5	26	28	15	22	5	6	0	15	0	8	7	11	6	9	2	11	10	10					
		2.76%	2.90%	0.0%	0.47%	1.90%	2.00%	4.09%	1.55%	2.11%	4.70%	1.18%	2.75%	12.85%	0.94%	7.48%	2.06%	1.76%	1.07%	2.11%	3.38%	2.43%	2.23%	1.72%	1.74%	2.80%	0.0%	3.76%	0.0%	2.84%	4.54%	3.01%	3.09%	3.44%	2.63%	4.54%	4.80%	2.76%					
28	"11. ""Истинные патриоты России"""	9	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
