Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Гагаринская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в списки"	37949	2684	1186	1391	2014	2706	2811	2949	2556	2765	2630	686	445	424	292	662	515	602	288	400	2130	177	259	280	426	226	1381	203	257	806	191	730	292	650	816	463	414	242					
2	"Число бюллетеней, полученных участковыми комиссиями"	37422	2660	1140	1350	1980	2680	2780	2930	2560	2680	2580	680	430	400	280	660	500	590	290	400	2120	168	260	280	420	220	1380	200	240	800	184	730	280	640	810	460	420	240					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16545	1121	511	639	838	1215	1323	1438	1155	1084	1189	284	228	160	125	294	145	175	117	164	1146	83	117	135	161	46	618	90	131	343	65	279	150	270	306	181	83	136					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2262	62	22	24	89	48	43	20	26	112	22	1	47	71	72	103	105	220	25	54	94	21	28	55	107	100	60	31	48	89	69	25	12	62	95	110	82	8					
6	Число погашенных бюллетеней	18606	1477	607	687	1053	1417	1414	1470	1379	1484	1369	395	155	169	83	263	250	195	148	182	873	64	115	90	152	74	702	79	61	368	50	426	118	308	409	169	255	96					
7	Число бюллетеней в переносных ящиках для голосования	2262	62	22	24	89	48	43	20	26	112	22	1	47	71	72	103	105	220	25	54	94	21	28	55	107	100	60	31	48	89	69	25	12	62	95	110	82	8					
8	Число бюллетеней в стационарных ящиках для голосования	16558	1121	529	639	838	1209	1324	1438	1155	1084	1189	284	228	160	125	294	145	175	117	164	1146	83	117	135	161	46	618	90	131	343	65	279	150	270	306	181	83	136					
9	Число недействительных бюллетеней	260	6	11	8	10	8	17	10	9	6	8	5	15	3	3	4	4	4	3	7	29	2	5	6	2	1	10	1	7	8	2	10	3	13	8	7	2	3					
10	Число действительных бюллетеней	18560	1177	540	655	917	1249	1350	1448	1172	1190	1203	280	260	228	194	393	246	391	139	211	1211	102	140	184	266	145	668	120	172	424	132	294	159	319	393	284	163	141					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	421	28	13	15	22	30	32	33	28	30	30	8	5	5	3	7	6	7	3	4	24	2	3	3	5	3	15	3	3	9	2	8	3	7	9	5	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	187	15	10	7	15	21	17	15	15	18	15	1	2	0	0	0	3	2	2	1	10	0	1	0	3	1	3	1	0	0	0	2	0	4	0	1	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	154	5	4	2	9	19	8	8	4	9	7	3	2	1	3	3	5	2	2	8	4	4	1	4	1	1	2	4	2	3	6	3	2	6	3	2	1	1					
14	Число погашенных открепительных удостоверений	235	13	4	8	7	9	15	18	13	12	15	7	3	5	3	7	3	5	1	3	14	2	2	3	2	2	12	2	3	9	2	6	3	3	9	4	3	3					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
