Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Тетюшская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18146	1070	1152	537	653	1198	1204	1259	698	1272	344	113	216	451	301	259	217	222	190	944	342	530	118	449	337	404	289	307	90	146	218	212	309	302	305	172	317	376	165	335	123									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18516	1094	1169	557	669	1217	1229	1270	702	1294	348	118	222	461	308	263	221	226	196	956	347	544	122	458	351	418	292	307	91	152	221	217	309	315	310	180	331	391	171	341	128									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16365	962	996	494	608	1135	1120	1149	659	1207	326	105	206	426	254	236	204	220	178	884	299	364	106	329	322	346	262	299	70	71	173	180	297	268	292	124	302	318	137	318	119									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1254	55	110	19	19	30	29	73	25	45	17	5	10	23	41	18	9	0	12	43	37	147	6	118	9	38	16	0	18	75	45	11	6	23	11	21	0	44	26	16	4									
6	Число погашенных избирательных бюллетеней	897	77	63	44	42	52	80	48	18	42	5	8	6	12	13	9	8	6	6	29	11	33	10	11	20	34	14	8	3	6	3	26	6	24	7	35	29	29	8	7	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1254	55	110	19	19	30	29	73	25	45	17	5	10	23	41	18	9	0	12	43	37	147	6	118	9	38	16	0	18	75	45	11	6	23	11	21	0	44	26	16	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16362	962	996	494	608	1135	1120	1149	659	1207	323	105	206	426	254	236	204	220	178	884	299	364	106	329	322	346	262	299	70	71	173	180	297	268	292	124	302	318	137	318	119									
9	Число недействительных избирательных бюллетеней	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	17613	1017	1106	513	627	1165	1149	1221	684	1252	340	110	216	449	295	254	213	220	190	927	336	511	112	447	331	384	278	299	88	146	218	191	303	291	303	144	301	362	163	334	123									
