Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Новомосковская 																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №5081	УИК №5082	УИК №5083					
1	"Число избирателей, внесенных в списки"	130170	1708	852	2139	2511	2032	2173	1644	1410	2144	2013	2310	1356	2534	2991	2795	2727	2697	2046	2227	2660	88	25	2623	2411	1991	2051	2139	1579	2306	2073	2165	1708	2593	2125	2146	2098	2313	2201	2457	2065	2153	2784	2746	2234	2471	2238	2111	2912	2823	282	2185	88	712	414	2153	1999	2208	1352	1275	271	259	451	308	433	214	1379	1473	242	250	80	254	1072	411	176	224	251	840	796	397	440	1388	689	606					
2	"Число бюллетеней, полученных участковыми комиссиями"	144400	1600	800	2000	2500	2000	2000	1500	1300	2000	2000	2100	1200	2500	2500	2600	2500	2500	2000	2100	2500	150	100	2500	2200	2000	2000	2000	1500	2000	2000	2000	1600	2500	2000	2000	2000	2100	2000	2500	2000	2000	2500	2500	2100	2300	2100	2000	2700	2600	260	2000	100	650	500	2000	2000	2100	1300	1200	250	250	450	300	450	200	1300	1500	220	250	80	260	1000	400	180	250	250	900	800	400	450	8000	8000	8000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	65327	686	327	1109	1285	929	1103	898	794	947	977	1163	723	1373	1409	1566	1321	1243	1000	1087	1317	49	22	1238	1180	1074	945	1054	842	1181	1098	966	787	1339	947	1096	1013	1090	1020	1271	961	1043	1332	1254	1034	1256	947	966	1354	1340	56	781	86	353	413	1057	1065	1139	687	632	170	104	187	131	125	124	785	937	138	161	48	161	527	157	32	134	145	470	404	239	251	1378	688	606					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3178	38	28	54	52	39	26	19	26	89	53	33	9	57	47	51	37	31	25	38	41	28	3	47	50	47	67	46	24	40	31	39	32	41	19	30	33	41	36	29	41	30	18	36	32	17	35	32	35	47	22	156	1	19	0	40	54	19	29	28	32	51	86	52	142	6	77	57	36	24	11	33	90	27	71	17	15	33	69	30	51	0	1	0					
6	Число погашенных бюллетеней	75895	876	445	837	1163	1032	871	583	480	964	970	904	468	1070	1044	983	1142	1226	975	975	1142	73	75	1215	970	879	988	900	634	779	871	995	781	1120	1034	874	954	969	944	1200	998	927	1150	1210	1034	1027	1118	1002	1311	1213	182	1063	13	278	87	903	881	942	584	540	48	95	177	117	183	70	438	506	46	65	21	66	383	216	77	99	90	397	327	131	148	6622	7311	7394					
7	Число бюллетеней в переносных ящиках для голосования	3178	38	28	54	52	39	26	19	26	89	53	33	9	57	47	51	37	31	25	38	41	28	3	47	50	47	67	46	24	40	31	39	32	41	19	30	33	41	36	29	41	30	18	36	32	17	35	32	35	47	22	156	1	19	0	40	54	19	29	28	32	51	86	52	142	6	77	57	36	24	11	33	90	27	71	17	15	33	69	30	51	0	1	0					
8	Число бюллетеней в стационарных ящиках для голосования	65358	686	327	1109	1285	929	1103	898	794	946	977	1190	722	1371	1406	1566	1326	1243	1000	1087	1317	49	22	1236	1179	1073	945	1052	842	1181	1097	966	787	1339	946	1096	1016	1090	1020	1269	961	1043	1332	1280	1034	1256	947	966	1354	1340	56	781	86	353	413	1057	1065	1139	682	632	170	104	187	130	125	124	785	937	138	161	48	161	527	157	32	134	145	470	404	239	251	1372	687	606					
9	Число недействительных бюллетеней	1043	11	6	7	20	8	14	8	13	18	20	11	12	26	19	12	16	19	21	16	21	5	1	16	12	8	9	11	2	21	23	14	13	18	10	12	12	14	14	19	14	17	18	51	16	29	13	12	21	31	1	22	2	11	22	18	20	28	11	5	7	5	6	9	1	0	10	10	2	2	3	3	7	4	0	2	6	22	9	6	0	13	4	18					
10	Число действительных бюллетеней	67493	713	349	1156	1317	960	1115	909	807	1017	1010	1212	719	1402	1434	1605	1347	1255	1004	1109	1337	72	24	1267	1217	1112	1003	1087	864	1200	1105	991	806	1362	955	1114	1037	1117	1042	1279	988	1056	1332	1265	1050	1244	969	986	1368	1356	77	915	85	361	391	1079	1099	1130	700	655	195	150	267	173	266	130	852	984	172	183	56	191	610	180	103	149	154	481	464	263	302	1359	684	588					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1313	10	15	20	20	20	30	20	15	20	20	30	20	20	30	27	25	25	20	20	35	0	0	40	20	30	20	20	15	20	20	20	10	25	20	20	20	20	20	40	20	20	40	35	20	20	20	20	20	20	5	30	0	5	1	20	20	20	10	10	5	5	5	5	10	5	15	15	5	5	5	5	10	5	5	5	5	5	5	5	5	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	934	5	5	20	20	12	28	13	14	14	14	29	15	20	30	27	25	23	17	13	29	0	0	23	20	23	17	9	12	16	13	10	7	21	17	12	19	12	11	27	14	16	18	21	12	20	13	11	7	19	1	26	0	3	1	10	17	13	6	4	1	0	5	2	7	1	14	12	1	0	0	1	9	0	0	0	0	0	1	4	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	794	10	4	10	3	10	5	3	4	5	6	10	9	9	20	12	4	9	4	5	8	77	25	7	9	9	3	7	9	7	7	6	12	9	8	7	7	14	17	14	14	12	10	15	6	8	8	6	6	6	2	18	87	7	57	4	5	5	5	6	4	9	14	4	3	1	7	9	3	7	7	2	6	3	1	2	1	9	4	2	3	0	0	2					
