Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																									
Дата голосования: 02.12.2007																																																																									
																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Канавинская"																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485					
1	"Число избирателей, внесенных в списки избирателей"	130731	1957	2358	2406	2465	1820	2655	2648	2546	2286	2158	2256	2228	2337	2037	2067	2016	1756	1886	1703	1776	2444	2450	1968	2127	2305	2400	1665	2660	2787	2412	1760	1587	1929	982	1176	1408	1161	1906	2371	1419	1426	2048	1306	1825	1721	1581	1245	1891	1865	1814	2697	2470	2639	2542	2529	2612	2481	2015	2264	1941	2089	1760	1859	1638	73	122					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	127400	1900	2300	2400	2400	1600	2600	2600	2500	2200	1900	2200	2200	2300	2000	2000	2000	1700	1800	1700	1700	2400	2400	1900	2100	2300	2400	1600	2600	2700	2300	1700	1500	1900	900	1100	1200	1100	1800	2300	1400	1400	2000	1300	1800	1700	1500	1200	1700	1700	1800	2600	2400	2600	2500	2500	2500	2400	2000	2200	1900	2000	1700	1800	1600	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	62915	837	1043	1048	1174	673	1304	1187	1287	902	967	1166	988	1071	937	964	888	651	715	837	854	1254	1197	980	1084	1165	1162	817	1153	1348	1238	925	733	927	363	500	590	578	1046	1214	468	547	1013	586	810	840	797	630	877	861	855	1456	1269	1386	1289	1347	1344	1392	954	1258	1062	1113	953	957	889	73	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2065	26	29	15	28	214	9	34	27	29	124	24	15	33	21	9	15	11	23	22	20	14	29	54	28	6	22	13	37	23	10	27	19	16	19	21	208	24	39	21	12	22	41	15	29	16	12	22	119	144	21	16	15	9	23	21	9	21	20	21	17	13	19	27	23	0	0					
6	Число погашенных избирательных бюллетеней	62419	1037	1228	1337	1198	713	1287	1379	1186	1269	809	1010	1197	1196	1042	1027	1097	1038	1062	841	826	1132	1174	866	988	1129	1216	770	1410	1329	1052	748	748	957	518	579	402	498	715	1065	920	831	946	699	961	844	691	548	704	695	924	1128	1116	1205	1188	1132	1146	987	1026	921	821	874	728	816	688	427	378					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2065	26	29	15	28	214	9	34	27	29	124	24	15	33	21	9	15	11	23	22	20	14	29	54	28	6	22	13	37	23	10	27	19	16	19	21	208	24	39	21	12	22	41	15	29	16	12	22	119	144	21	16	15	9	23	21	9	21	20	21	17	13	19	27	23	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62840	837	1043	1048	1174	673	1304	1187	1287	902	967	1166	988	1071	937	964	888	651	715	837	852	1251	1194	980	1081	1165	1162	804	1153	1348	1234	925	714	927	362	500	590	578	1046	1214	468	547	1012	586	809	840	797	630	877	858	855	1456	1265	1382	1289	1344	1338	1392	954	1258	1062	1112	952	955	888	73	122					
9	Число недействительных избирательных бюллетеней	694	6	14	10	13	13	17	6	18	6	9	4	3	13	13	10	3	9	10	10	13	20	10	10	14	13	0	0	7	9	20	6	13	0	2	8	19	7	6	21	11	2	9	3	14	8	7	13	19	9	10	22	18	15	17	17	16	18	7	11	12	6	12	15	15	0	3					
10	Число действительных избирательных бюллетеней	64211	857	1058	1053	1189	874	1296	1215	1296	925	1082	1186	1000	1091	945	963	900	653	728	849	859	1245	1213	1024	1095	1158	1184	817	1183	1362	1224	946	720	943	379	513	779	595	1079	1214	469	567	1044	598	824	848	802	639	977	993	866	1450	1262	1376	1295	1348	1331	1395	967	1268	1067	1119	959	967	896	73	119					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	995	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	22	16	9	15	15	15	15	15	15	15	15	13	17	15	15	15	15	15	15	15	15	15	15	15	15	15	25	15	28	17	15	15	15	17	15	20	15	15	17	14	15	19	15	11	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	835	14	13	13	13	10	14	15	13	11	14	10	6	11	13	9	6	9	7	14	7	22	15	9	15	14	15	13	15	8	15	7	6	17	11	15	15	13	15	15	7	11	12	15	10	15	15	21	15	24	16	15	15	15	17	15	20	14	9	17	14	15	19	4	8	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	864	11	2	13	11	8	9	13	13	13	22	14	8	22	4	14	15	0	21	16	11	10	9	9	16	6	14	17	14	18	6	7	23	11	9	5	8	17	49	9	10	6	14	10	13	10	37	18	7	11	3	14	13	9	8	8	12	10	5	7	14	7	7	10	21	73	10					
14	Число погашенных неиспользованных открепительных удостоверений	160	1	2	2	2	5	1	0	2	4	1	5	9	4	2	6	9	6	8	1	8	0	1	0	0	1	0	2	0	7	0	8	7	0	4	0	0	2	0	0	8	4	3	0	5	0	0	4	0	4	1	0	0	0	0	0	0	1	6	0	0	0	0	11	3	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	1.Политическая партия «Аграрная партия России»	1476	15	38	10	35	16	26	31	47	22	17	28	21	17	16	18	19	10	19	23	22	32	33	25	18	31	30	13	28	24	36	35	18	31	10	10	16	14	28	29	10	14	29	19	22	23	12	15	28	12	13	33	37	21	22	24	32	19	17	34	24	27	18	26	29	2	3					
