Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
"Наименование Избирательной комиссии:    Нижний Новгород, Канавинская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №2195	УИК №2270	УИК №2290	УИК №2291	УИК №2292					
1	"Число избирателей, внесенных в список избирателей"	132062	1860	2223	2229	2356	1510	2515	2542	2375	2321	1882	2189	945	2315	1914	2266	1980	1985	1918	1649	1738	2253	2366	1867	2015	2368	2347	1668	3148	3358	1272	1206	1710	1825	1013	2192	1247	1116	1883	2202	1798	2110	2013	1214	1593	2291	2185	1412	1909	1719	1716	2818	2752	2681	2325	2411	2571	2425	2145	2061	2860	2489	2676	1741	1306	105	119	548	82	219					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	120500	1500	1800	1800	1800	1400	2400	2400	2300	2200	1800	2000	2000	2200	1800	2000	1600	1500	1500	1200	2200	2100	2200	1600	1900	2200	2100	1500	2600	2000	1200	1100	1300	1600	1000	2000	1000	1000	1700	2000	1000	1500	2000	1000	1500	2000	2000	1000	1500	1500	1500	2700	2700	2700	2300	2300	2300	2300	2100	2000	2500	2300	2600	1600	1100	500	500	1000	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	77351	563	855	914	1059	731	1567	1851	1452	1137	1350	1010	741	1470	1077	1440	776	674	624	752	799	1751	1455	1284	1347	1779	1081	791	2072	1247	1002	960	710	1361	671	1662	803	847	1589	1713	461	501	1479	762	1051	1287	623	657	715	746	723	1923	1724	1720	1600	1079	1925	1662	1677	1478	2270	1584	2012	1040	797	105	119	399	69	196					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	14619	18	27	9	22	462	552	533	586	573	446	878	23	288	411	336	4	31	14	26	52	180	301	316	182	81	837	556	528	559	26	109	283	164	48	282	193	88	83	109	49	139	97	146	140	307	937	99	19	7	12	254	342	314	55	15	306	212	117	129	123	117	163	111	22	0	0	149	10	12					
6	Число погашенных избирательных бюллетеней	28530	919	918	877	719	207	281	16	262	490	4	112	1236	442	312	224	820	795	862	422	1349	169	444	0	371	340	182	153	0	194	172	31	307	75	281	56	4	65	28	178	490	860	424	92	309	406	440	244	766	747	765	523	634	666	645	1206	69	426	306	393	107	599	425	449	281	395	381	452	421	292					
7	Число избирательных бюллетеней в переносных ящиках для голосования	14612	18	27	9	22	462	552	533	586	573	446	878	23	288	411	336	4	31	14	26	52	180	301	316	182	81	837	556	528	559	26	109	282	164	48	282	193	88	83	109	49	139	97	146	140	301	937	99	19	7	12	254	342	314	55	15	306	212	117	129	123	117	163	111	22	0	0	149	10	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	77133	563	855	914	1059	731	1567	1753	1451	1137	1350	1007	741	1470	1077	1440	776	674	624	751	799	1751	1454	1284	1347	1779	1081	791	2072	1247	1002	960	710	1361	671	1662	803	847	1589	1713	461	501	1478	762	1049	1287	623	657	700	746	723	1884	1716	1691	1600	1075	1925	1662	1677	1478	2270	1584	2010	1026	797	105	119	399	69	196					
9	Число недействительных избирательных бюллетеней	764	5	7	4	12	5	11	16	12	9	9	11	11	17	10	20	9	9	6	10	7	9	9	9	9	19	17	9	14	17	5	13	12	13	4	23	8	8	13	13	3	9	11	2	5	13	15	8	8	8	9	18	17	1	9	18	30	10	19	22	25	20	17	11	16	4	5	4	0	3					
10	Число действительных избирательных бюллетеней	90981	576	875	919	1069	1188	2108	2270	2025	1701	1787	1874	753	1741	1478	1756	771	696	632	767	844	1922	1746	1591	1520	1841	1901	1338	2586	1789	1023	1056	980	1512	715	1921	988	927	1659	1809	507	631	1564	906	1184	1575	1545	748	711	745	726	2120	2041	2004	1646	1072	2201	1864	1775	1585	2368	1681	2156	1126	803	101	114	544	79	205					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1581	35	35	25	35	20	25	30	10	15	20	20	25	25	25	26	15	20	15	25	25	35	35	20	30	27	30	22	40	20	10	20	22	20	20	35	15	10	25	33	20	10	25	20	35	30	15	22	20	15	25	38	25	18	30	33	40	30	24	35	40	24	30	22	15	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1533	31	35	25	34	20	25	29	10	15	19	18	24	25	22	25	15	18	13	23	25	35	34	20	30	27	30	22	40	20	10	15	21	20	20	35	13	10	25	32	15	10	25	17	34	30	15	22	19	15	24	36	25	18	30	32	40	30	24	35	37	24	29	22	15	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1447	8	6	16	11	19	41	12	14	10	21	19	12	16	14	26	10	52	30	33	28	17	12	33	8	32	22	21	77	39	6	15	18	16	20	20	28	37	30	10	33	25	7	7	10	40	56	91	7	18	4	10	28	21	11	18	14	10	12	12	18	22	9	12	9	63	6	0	6	9					
14	Число погашенных неиспользованных открепительных удостоверений	48	4	0	0	1	0	0	1	0	0	1	2	1	0	3	1	0	2	2	2	0	0	1	0	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	1	5	0	0	3	1	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	707	4	11	8	18	10	12	9	14	16	12	13	14	6	11	16	11	14	8	15	6	14	17	13	8	11	13	14	15	23	6	3	13	13	3	8	1	4	18	20	10	8	10	11	2	13	10	0	12	2	4	14	9	19	13	17	11	15	11	7	10	14	21	12	7	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
