Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																
Дата голосования: 04.12.2011																																																																
																																																																
Наименование Избирательной комиссии:    район Ясенево																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №3359	УИК №3360					
1	"Число избирателей, внесенных в список избирателей"	119275	2208	2261	2939	2328	2617	1680	1687	2308	2366	1839	2103	2404	2050	2565	2999	1744	2366	2123	2182	2852	1907	1870	115	2870	2553	2832	2500	2330	2633	2012	2578	2432	1564	1189	2695	2706	2343	1844	2402	1740	2471	2834	1918	1688	2348	1724	1848	1293	1697	2645	2005	2147	1642	1694	2165	233	187					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	115900	2100	2200	2900	2300	2600	1600	1700	2300	2300	1800	2000	2300	2000	2500	2800	1600	2300	1800	2100	2800	1800	1800	100	2800	2500	2800	2500	2200	2600	2000	2500	2400	1500	1100	2600	2600	2300	1700	2300	1700	2400	2700	1800	1600	2300	1600	1800	1200	1600	2600	2000	2100	1600	1700	2100	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	83176	1196	1745	2181	1608	1751	1529	1408	1931	1696	1380	1554	1726	1438	1890	1597	1436	1351	1620	1396	2203	1391	1322	60	1946	1787	1406	1686	1643	1799	1481	2090	1672	1108	781	1772	1460	1626	1205	1847	1309	1823	1985	1055	986	1592	1312	1493	1006	1326	1768	1527	1627	1230	950	1191	176	102					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1713	49	23	22	43	30	17	16	28	18	19	36	77	15	48	13	38	78	20	74	15	32	19	0	15	22	36	23	32	23	33	24	14	14	14	32	27	24	66	48	40	30	44	27	12	17	37	13	15	13	27	17	26	15	18	43	57	85					
6	Число погашенных избирательных бюллетеней	31011	855	432	697	649	819	54	276	341	586	401	410	497	547	562	1190	126	871	160	630	582	377	459	40	839	691	1358	791	525	778	486	386	714	378	305	796	1113	650	429	405	351	547	671	718	602	691	251	294	179	261	805	456	447	355	732	866	267	313					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1713	49	23	22	43	30	17	16	28	18	19	36	77	15	48	13	38	78	20	74	15	32	19	0	15	22	36	23	32	23	33	24	14	14	14	32	27	24	66	48	40	30	44	27	12	17	37	13	15	13	27	17	26	15	18	43	57	85					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	82746	1175	1744	2181	1605	1749	1529	1408	1931	1696	1380	1513	1649	1438	1883	1597	1436	1351	1620	1396	2203	1389	1320	60	1931	1783	1354	1686	1615	1797	1481	2090	1663	1108	781	1722	1460	1626	1205	1847	1309	1823	1985	1053	960	1558	1311	1493	1006	1326	1766	1527	1627	1230	950	1142	176	102					
9	Число недействительных избирательных бюллетеней	1239	14	83	64	36	40	9	27	16	19	7	13	18	42	1	30	15	60	31	26	42	23	18	1	14	24	33	27	32	27	32	9	5	16	38	25	43	21	17	28	10	0	0	26	16	16	11	22	17	5	27	6	5	22	14	16	0	0					
10	Число действительных избирательных бюллетеней	83220	1210	1684	2139	1612	1739	1537	1397	1943	1695	1392	1536	1708	1411	1930	1580	1459	1369	1609	1444	2176	1398	1321	59	1932	1781	1357	1682	1615	1793	1482	2105	1672	1106	757	1729	1444	1629	1254	1867	1339	1853	2029	1054	956	1559	1337	1484	1004	1334	1766	1538	1648	1223	954	1169	233	187					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2680	30	50	70	30	50	50	50	50	50	50	50	50	50	70	50	50	50	30	50	70	50	50	5	70	50	70	50	50	50	30	50	70	50	30	70	50	50	30	50	30	50	50	50	50	70	30	50	30	50	65	30	50	50	50	50	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1922	27	31	51	21	38	37	39	36	38	34	31	32	39	52	35	34	42	28	36	51	31	23	0	54	34	58	40	39	37	15	39	53	30	18	49	37	39	17	41	24	40	36	30	32	50	21	35	9	29	52	27	29	37	36	49	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1388	77	17	22	39	12	39	11	23	24	35	32	14	30	15	76	41	14	17	19	29	38	4	5	23	19	21	22	39	19	15	19	38	27	16	17	21	29	19	30	33	14	21	20	15	22	24	47	8	13	31	25	17	14	14	21	13	29					
14	Число погашенных неиспользованных открепительных удостоверений	758	3	19	19	9	12	13	11	14	12	16	19	18	11	18	15	16	8	2	14	19	19	27	5	16	16	12	10	11	13	15	11	17	20	12	21	13	11	13	9	6	10	14	20	18	20	9	15	21	21	13	3	21	13	14	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	3	2	1	2	4	1	0	1	1	0	1	2	2	3	1	1	2	1	2	4	0	0	0	4	0	4	1	1	1	0	3	0	0	1	3	8	7	1	0	3	1	4	1	1	2	4	2	1	1	1	0	1	1	5	4	0	0					
