Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Пучежская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11902	1494	1147	699	1393	506	1628	915	474	299	109	563	600	208	155	99	154	122	170	340	418	148	129	132									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11000	1370	1000	650	1300	500	1470	850	450	270	110	500	590	200	150	90	150	110	160	320	390	140	110	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4693	602	452	267	541	233	514	386	166	119	59	227	198	67	53	51	83	67	71	131	205	62	64	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	985	48	50	44	91	130	77	11	50	35	27	78	60	41	27	9	17	16	35	49	19	32	30	9									
6	Число погашенных избирательных бюллетеней	5322	720	498	339	668	137	879	453	234	116	24	195	332	92	70	30	50	27	54	140	166	46	16	36									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	985	48	50	44	91	130	77	11	50	35	27	78	60	41	27	9	17	16	35	49	19	32	30	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4693	602	452	267	541	233	514	386	166	119	59	227	198	67	53	51	83	67	71	131	205	62	64	75									
9	Число недействительных избирательных бюллетеней	115	14	9	7	9	14	14	8	1	2	0	10	10	2	0	0	1	3	1	3	5	0	0	2									
10	Число действительных избирательных бюллетеней	5563	636	493	304	623	349	577	389	215	152	86	295	248	106	80	60	99	80	105	177	219	94	94	82									
