Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
"Наименование Избирательной комиссии:    Владимир, Ленинская"																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №390	УИК №391	УИК №392	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в список избирателей"	104796	2553	2650	2701	2218	1691	2636	2462	2798	2710	1039	2073	2082	2634	2220	356	2930	2785	1750	2458	2432	2585	1308	2756	2530	2951	2706	2814	1395	301	2817	2075	2661	2364	2574	2545	1954	324	2437	2122	1994	400	2701	2007	1633	1587	1587	2029	2959	1502					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91026	2200	2400	2500	2000	1500	2200	2200	2300	2600	900	1800	1800	2400	2000	350	2600	2500	1500	2100	2100	2300	1000	2500	2100	3000	2400	2500	1100	276	2600	1800	2300	2000	2000	2200	1700	300	2000	1700	1600	400	2200	1600	1500	1400	1200	1600	2600	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49224	1371	1499	1244	1054	667	1230	1171	1136	1416	436	1009	1019	1419	995	19	1401	1281	784	1175	1313	1127	639	1237	1102	2951	833	1035	636	203	1343	944	1177	939	1031	1135	851	147	1544	821	783	149	1325	757	678	735	606	836	1317	704					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2188	32	43	121	60	17	49	37	37	147	6	21	33	23	21	0	35	17	106	46	46	77	26	30	121	0	296	46	12	24	44	26	120	30	28	19	10	20	24	20	19	22	22	55	24	39	37	42	28	30					
6	Число погашенных избирательных бюллетеней	39610	797	858	1135	886	816	921	992	1127	1037	458	770	748	958	984	331	1164	1202	610	879	741	1096	335	1233	877	49	1271	1419	452	49	1213	830	999	1031	941	1046	839	133	432	859	798	229	853	788	798	626	557	722	1255	466					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2188	32	43	121	60	17	49	37	37	147	6	21	33	23	21	0	35	17	106	46	46	77	26	30	121	0	296	46	12	24	44	26	120	30	28	19	10	20	24	20	19	22	22	55	24	39	37	42	28	30					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	48866	1371	1499	1244	1054	667	1081	1171	1136	1235	436	1009	1018	1414	995	19	1401	1281	784	1163	1313	1127	639	1237	1101	2951	833	1035	636	203	1343	944	1177	939	1031	1135	851	147	1544	821	783	149	1325	757	678	733	606	832	1314	704					
9	Число недействительных избирательных бюллетеней	800	21	23	24	16	6	19	19	37	10	3	23	20	20	17	0	18	18	94	16	20	8	3	21	16	5	25	25	11	25	25	7	21	12	20	14	4	3	15	9	13	0	18	9	5	11	5	11	23	12					
10	Число действительных избирательных бюллетеней	50254	1382	1519	1341	1098	678	1111	1189	1136	1372	439	1007	1031	1417	999	19	1418	1280	796	1193	1339	1196	662	1246	1206	2946	1104	1056	637	202	1362	963	1276	957	1039	1140	857	164	1553	832	789	171	1329	803	697	761	638	863	1319	722					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2000	50	50	45	50	40	50	50	30	50	30	40	30	30	30	0	50	50	40	50	50	68	30	40	42	0	50	30	40	0	30	50	50	50	50	50	40	20	60	40	40	20	50	125	30	30	30	40	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1161	37	47	34	22	15	25	23	18	19	8	17	13	25	24	0	33	23	12	29	32	59	23	38	32	0	36	25	12	0	26	11	32	8	20	16	14	6	60	28	17	8	21	89	11	8	20	25	42	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	861	12	26	15	16	11	8	20	12	16	16	15	21	19	13	7	10	13	8	21	13	9	11	25	48	0	135	34	10	7	26	30	25	9	13	10	13	3	25	9	8	9	12	15	21	11	10	11	21	9					
14	Число погашенных неиспользованных открепительных удостоверений	839	13	3	11	28	25	25	27	12	31	22	23	17	5	6	0	17	27	28	21	18	9	7	2	10	0	14	5	28	0	4	39	18	42	30	34	26	14	0	12	23	12	29	36	19	22	10	15	8	12					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	981	41	35	24	40	24	35	38	42	29	9	16	28	31	20	0	21	36	31	33	18	31	16	20	23	0	9	40	14	0	29	22	13	15	16	10	19	3	15	8	9	7	19	6	9	10	30	8	13	16					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
