Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Сонковская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  963	УИК  964	УИК  965	УИК  966	УИК  967	УИК  968	УИК  969	УИК  970	УИК  971	УИК  972	УИК  973	УИК  974	УИК  975	УИК  976					
1	"Число избирателей, внесенных в список"	8031	1578	2202	626	487	588	166	141	381	267	240	386	559	153	257					
2	Число полученных избирательных бюллетеней	7800	1400	2165	620	500	590	160	135	370	260	240	390	560	150	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3858	715	1065	463	291	342	91	95	119	109	113	109	184	49	113					
5	"Число избирательных бюллетеней, выданных вне помещения"	1702	95	118	20	131	144	45	33	191	122	101	225	278	90	109					
6	Число погашенных избирательных бюллетеней	2240	590	982	137	78	104	24	7	60	29	26	56	98	11	38					
7	Число избирательных бюллетеней в переносных ящиках	1702	95	118	20	131	144	45	33	191	122	101	225	278	90	109					
8	Число бюллетеней в стационарных ящиках для голосования	3858	715	1065	463	291	342	91	95	119	109	113	109	184	49	113					
9	Число недействительных избирательных бюллетеней	4	3	0	0	0	0	0	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	5556	807	1183	483	422	486	136	128	309	231	214	334	462	139	222					
11	Число полученных открепительных  удостоверений	240	30	30	15	15	15	15	15	15	15	15	15	15	15	15					
12	Число выданных открепительных удостоверений	81	5	14	1	8	0	4	1	0	5	9	12	9	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	4	17	4	0	4	0	1	0	0	1	5	3	1	2					
14	Число неиспользованных открепительных удостоверений	159	25	16	14	7	15	11	14	15	10	6	3	6	10	7					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	125	33	32	7	5	16	1	2	3	3	5	5	7	3	3					
		2.25%	4.07%	2.70%	1.45%	1.18%	3.29%	0.74%	1.56%	0.97%	1.30%	2.34%	1.50%	1.52%	2.16%	1.35%					
19	. Малышкин Олег Александрович	115	20	31	9	7	7	2	1	1	3	3	5	9	6	11					
		2.07%	2.47%	2.62%	1.86%	1.66%	1.44%	1.47%	0.78%	0.32%	1.30%	1.40%	1.50%	1.95%	4.32%	4.95%					
20	. Миронов Сергей Михайлович	36	7	7	2	3	2	0	1	2	5	1	2	3	0	1					
		0.65%	0.86%	0.59%	0.41%	0.71%	0.41%	0.00%	0.78%	0.65%	2.16%	0.47%	0.60%	0.65%	0.00%	0.45%					
21	. Путин Владимир Владимирович	3867	510	800	274	328	385	112	88	226	153	166	250	332	95	148					
		69.55%	62.96%	67.62%	56.73%	77.73%	79.22%	82.35%	68.75%	72.90%	66.23%	77.57%	74.85%	71.86%	68.35%	66.67%					
22	. Хакамада Ирина Муцуовна	98	13	22	4	10	6	2	1	6	6	4	4	12	1	7					
		1.76%	1.60%	1.86%	0.83%	2.37%	1.23%	1.47%	0.78%	1.94%	2.60%	1.87%	1.20%	2.60%	0.72%	3.15%					
23	. Харитонов Николай Михайлович	1149	178	239	176	63	64	15	32	64	55	30	59	97	32	45					
		20.67%	21.98%	20.20%	36.44%	14.93%	13.17%	11.03%	25.00%	20.65%	23.81%	14.02%	17.66%	21.00%	23.02%	20.27%					
																					
24	Против всех	166	46	52	11	6	6	4	3	7	6	5	9	2	2	7					
		2.99%	5.68%	4.40%	2.28%	1.42%	1.23%	2.94%	2.34%	2.26%	2.60%	2.34%	2.69%	0.43%	1.44%	3.15%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
