Выборы Президента Российской Федерации																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Челябинск, Калининская"																																																																																						
																																																																																						
Итоги голосования 																																																																																						
																																																																																						
		Сумма	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585					
1	"Число избирателей, внесенных в список"	152285	1948	2203	2279	1873	1594	1685	1860	1666	1281	1722	1413	1651	1865	2001	2075	2166	1814	1849	1838	1956	2048	2252	2144	2083	2089	1797	1844	1709	1933	1667	2310	2031	2085	1969	1099	2653	1959	2208	1596	1932	1970	2376	2104	2093	2385	1238	1742	1541	2370	2181	2103	1900	1793	1819	2037	2707	2093	2255	1976	2367	2618	2209	2480	2489	2012	2376	1609	1870	2379	2081	2155	1682	1698	1939	2546	628	128	1042	1147					
2	Число полученных избирательных бюллетеней	141090	1700	2000	2100	1700	1500	1500	1400	1500	1200	1600	1300	1600	1800	1800	1900	2000	1800	1700	1700	1800	1900	2100	2000	1900	1900	1700	1700	1600	1800	1500	2200	1900	1900	1900	1000	2500	1800	2000	1500	1700	1800	2200	2000	1900	2200	1200	1600	1500	2200	2000	2000	1700	1700	1700	1900	2500	2000	2100	1800	2200	2500	2000	2300	2300	1900	2200	1500	1700	2200	1900	2000	1500	1600	1800	2400	620	145	1080	1145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	89708	1010	1210	1291	1180	833	875	1119	869	615	893	638	891	1026	1234	1229	1309	1072	1047	1120	1037	1092	1400	1304	1310	1274	1055	1073	953	1026	937	2070	1203	1141	1117	559	1697	1168	1287	912	1155	1188	1403	1313	1200	1446	887	1123	967	1333	1322	1269	1077	1076	1051	1126	1579	1173	1274	1081	1313	1532	1294	1368	1412	1134	1345	915	1039	1432	1182	1142	988	1030	1058	1475	615	128	1042	1145					
5	"Число избирательных бюллетеней, выданных вне помещения"	3789	47	45	99	34	49	90	53	45	66	54	36	61	58	52	53	47	32	43	60	61	66	90	79	59	58	59	78	89	60	36	65	41	45	46	78	43	37	58	45	33	38	66	46	40	50	0	21	13	30	63	101	68	54	32	48	57	53	34	45	39	42	36	60	47	39	65	62	38	28	25	62	31	22	28	56	0	0	0	0					
6	Число погашенных избирательных бюллетеней	47594	643	745	710	486	618	535	228	586	519	653	626	648	716	514	618	644	696	610	520	702	742	610	617	531	569	586	549	558	714	527	65	656	714	737	363	760	595	655	543	512	574	731	641	660	704	313	456	520	837	615	630	555	570	617	726	864	774	792	674	848	926	670	872	841	727	790	523	623	740	693	796	481	548	714	869	5	17	38	0					
7	Число избирательных бюллетеней в переносных ящиках	3789	47	45	99	34	49	90	53	45	66	54	36	61	58	52	53	47	32	43	60	61	66	90	79	59	58	59	78	89	60	36	65	41	45	46	78	43	37	58	45	33	38	66	46	40	50	0	21	13	30	63	101	68	54	32	48	57	53	34	45	39	42	36	60	47	39	65	62	38	28	25	62	31	22	28	56	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	89541	1010	1210	1291	1180	832	875	1119	833	615	893	638	891	1026	1200	1229	1309	1072	1047	1119	1036	1092	1400	1298	1310	1262	1053	1072	953	1026	935	2052	1202	1141	1116	556	1696	1168	1285	912	1154	1188	1401	1313	1200	1434	887	1123	967	1330	1322	1268	1076	1073	1049	1126	1579	1173	1274	1081	1313	1530	1294	1368	1408	1133	1345	915	1038	1431	1178	1140	987	1029	1057	1475	615	128	1042	1143					
9	Число недействительных избирательных бюллетеней	756	22	16	18	10	6	13	12	10	3	14	9	6	5	13	9	3	9	12	7	12	14	14	10	6	10	13	5	4	14	7	13	8	5	17	4	5	10	8	6	5	8	4	9	4	7	5	11	11	22	7	9	3	8	3	7	8	11	9	15	12	5	12	7	11	11	2	8	7	12	7	8	8	7	4	8	7	1	43	28					
10	Число действительных избирательных бюллетеней	92574	1035	1239	1372	1204	875	952	1160	868	678	933	665	946	1079	1239	1273	1353	1095	1078	1172	1085	1144	1476	1367	1363	1310	1099	1145	1038	1072	964	2104	1235	1181	1145	630	1734	1195	1335	951	1182	1218	1463	1350	1236	1477	882	1133	969	1338	1378	1360	1141	1119	1078	1167	1628	1215	1299	1111	1340	1567	1318	1421	1444	1161	1408	969	1069	1447	1196	1194	1010	1044	1081	1523	608	127	999	1115					
